,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2004-05,2005,Royal Ivey,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,ATL,NBA,PG,62,5,13.0,1.4,3.2,0.429,0.0,0.1,0.333,1.3,3.0,0.434,0.437,0.8,1.1,0.701,0.3,1.0,1.4,1.7,0.6,0.1,0.9,2.3,3.5,809,5.5,12.9,0.429,0.2,0.6,0.333,5.3,12.3,0.434,3.1,4.3,0.701,1.2,4.2,5.5,6.7,2.5,0.5,3.8,9.1,14.3,95,111,809,8.9,0.484,0.045,0.338,2.6,9.9,6.0,20.0,2.5,0.7,20.3,15.8,-0.2,0.4,0.2,0.009,-5.4,-0.1,-5.5,-0.7,82.0,19855,2942,6672,0.441,304,973,0.312,2638,5699,0.463,1417,1994,0.711,1100,2335,3435,1614,629,344,1319,2009,7605,82.0,19855,3044,6389,0.476,467,1232,0.379,2577,5157,0.5,1846,2396,0.77,902,2483,3385,1803,716,484,1210,1777,8401,13,69,16,66,-9.71,0.09,-9.62,100.6,111.1,91.4,0.299,0.146,0.464,14.9,30.7,0.212,0.513,14.0,72.1,0.289,Philips Arena,586390
1,2005-06,2006,Royal Ivey,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,ATL,NBA,PG,73,66,13.4,1.6,3.6,0.439,0.1,0.1,0.4,1.5,3.5,0.441,0.447,0.3,0.5,0.727,0.4,0.9,1.3,1.0,0.3,0.1,0.3,2.0,3.6,978,6.3,14.3,0.439,0.2,0.5,0.4,6.1,13.8,0.441,1.3,1.8,0.727,1.7,3.5,5.2,4.0,1.3,0.4,1.2,8.0,14.1,106,114,978,8.4,0.467,0.038,0.125,3.7,8.2,5.9,12.2,1.3,0.5,7.6,14.0,0.6,0.0,0.7,0.034,-3.7,-0.9,-4.6,-0.6,82.0,19880,2946,6496,0.454,424,1154,0.367,2522,5342,0.472,1656,2207,0.75,1069,2232,3301,1625,587,394,1284,2054,7972,82.0,19880,3075,6433,0.478,444,1205,0.368,2631,5228,0.503,1768,2372,0.745,981,2335,3316,1689,597,422,1227,1855,8362,26,56,28,54,-4.76,0.07,-4.69,106.4,111.6,90.4,0.34,0.178,0.486,14.7,31.4,0.255,0.513,14.1,69.5,0.275,Philips Arena,617817
2,2006-07,2007,Royal Ivey,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,25,ATL,NBA,PG,53,18,10.2,1.2,2.7,0.448,0.1,0.3,0.313,1.1,2.4,0.465,0.465,0.5,0.7,0.686,0.3,0.7,1.0,0.8,0.5,0.1,0.6,1.2,3.0,539,6.3,14.1,0.448,0.5,1.6,0.313,5.8,12.6,0.465,2.4,3.5,0.686,1.5,3.6,5.0,4.5,2.4,0.4,3.1,6.1,15.5,97,109,539,9.6,0.496,0.112,0.245,3.3,8.1,5.7,14.1,2.4,0.6,16.4,16.2,0.0,0.4,0.3,0.03,-3.7,-0.1,-3.8,-0.2,82.0,19880,2831,6372,0.444,341,1038,0.329,2490,5334,0.467,1677,2203,0.761,976,2312,3288,1573,609,446,1306,1970,7680,82.0,19880,2953,6335,0.466,465,1236,0.376,2488,5099,0.488,1699,2315,0.734,948,2370,3318,1732,597,421,1247,1853,8070,30,52,27,55,-4.76,-0.1,-4.86,103.0,108.3,90.0,0.346,0.163,0.471,15.1,29.2,0.263,0.503,14.5,70.9,0.268,Philips Arena,639375
3,2007-08,2008,Royal Ivey,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,MIL,NBA,PG,75,20,19.2,2.0,5.0,0.394,0.5,1.4,0.327,1.5,3.6,0.421,0.44,1.1,1.6,0.726,0.5,1.1,1.6,2.1,0.6,0.1,1.0,2.2,5.6,1437,5.4,13.8,0.394,1.3,3.9,0.327,4.2,9.9,0.421,3.1,4.3,0.726,1.4,2.9,4.3,5.9,1.6,0.3,2.7,6.1,15.3,102,115,1437,8.8,0.487,0.283,0.31,3.0,6.8,4.8,16.9,1.6,0.4,14.9,15.8,0.4,0.2,0.5,0.018,-3.3,-1.1,-4.4,-0.9,82.0,19855,3026,6745,0.449,452,1313,0.344,2574,5432,0.474,1452,1980,0.733,1055,2363,3418,1760,544,361,1210,1748,7956,82.0,19855,3147,6562,0.48,588,1530,0.384,2559,5032,0.509,1639,2141,0.766,872,2464,3336,1913,647,404,1125,1727,8521,26,56,23,59,-6.89,-0.03,-6.92,105.3,112.8,91.3,0.294,0.195,0.482,13.7,30.0,0.215,0.524,13.0,73.0,0.25,Bradley Center,639421
4,2008-09,2009,Royal Ivey,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,27,PHI,NBA,SG,71,0,12.1,1.0,2.9,0.332,0.5,1.6,0.342,0.4,1.3,0.319,0.425,0.5,0.6,0.791,0.3,0.8,1.1,0.6,0.5,0.1,0.3,1.1,3.0,861,4.3,12.9,0.332,2.4,7.1,0.342,1.9,5.8,0.319,2.1,2.7,0.791,1.2,3.5,4.7,2.7,2.2,0.4,1.4,4.7,13.1,102,110,861,7.6,0.465,0.548,0.207,2.6,8.0,5.3,7.4,2.2,0.7,9.2,13.2,0.2,0.8,0.9,0.052,-2.8,0.6,-2.2,0.0,82.0,19755,2997,6532,0.459,341,1072,0.318,2656,5460,0.486,1652,2216,0.745,1039,2336,3375,1647,658,415,1157,1650,7987,82.0,19755,2997,6489,0.462,585,1595,0.367,2412,4894,0.493,1402,1792,0.782,935,2285,3220,1799,575,400,1278,1786,7981,41,41,41,41,0.07,0.09,0.16,107.9,107.8,90.0,0.339,0.164,0.485,13.4,31.3,0.253,0.507,14.9,71.4,0.216,Wachovia Center,647898
5,2009-10,2010,Royal Ivey,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,PHI,NBA,SG,26,0,9.1,1.0,2.1,0.473,0.5,0.9,0.5,0.5,1.2,0.452,0.582,0.2,0.3,0.857,0.2,0.8,1.0,0.7,0.4,0.1,0.2,1.0,2.7,236,5.8,12.2,0.473,2.7,5.3,0.5,3.1,6.9,0.452,1.3,1.6,0.857,1.1,4.7,5.8,3.8,2.2,0.4,1.1,5.6,15.5,125,111,236,12.6,0.603,0.436,0.127,2.5,10.7,6.5,10.8,2.2,0.7,7.9,12.2,0.4,0.1,0.6,0.117,-0.3,0.6,0.3,0.1,82.0,19805,3087,6706,0.46,474,1381,0.343,2613,5325,0.491,1366,1808,0.756,941,2421,3362,1723,667,439,1192,1677,8014,82.0,19805,3105,6573,0.472,606,1542,0.393,2499,5031,0.497,1518,1983,0.766,888,2470,3358,1810,621,332,1189,1534,8334,27,55,30,52,-3.9,-0.03,-3.93,106.1,110.3,91.6,0.27,0.206,0.496,13.7,27.6,0.204,0.518,13.8,73.2,0.231,Wachovia Center,583219
6,2009-10,2010,Royal Ivey,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,28,MIL,NBA,SG,18,0,5.0,0.5,1.6,0.321,0.1,0.6,0.182,0.4,0.9,0.412,0.357,0.2,0.3,0.6,0.1,0.4,0.4,0.6,0.5,0.0,0.3,0.8,1.3,90,5.2,16.3,0.321,1.2,6.4,0.182,4.1,9.9,0.412,1.7,2.9,0.6,0.6,4.1,4.7,5.8,5.2,0.0,3.5,8.1,13.4,80,98,90,6.8,0.381,0.393,0.179,1.2,9.3,5.0,16.8,5.2,0.0,16.6,18.2,-0.2,0.2,0.0,0.003,-7.4,4.2,-3.3,0.0,82.0,19980,3050,6998,0.436,645,1813,0.356,2405,5185,0.464,1264,1675,0.755,965,2560,3525,1740,580,385,1085,1823,8009,82.0,19980,2870,6361,0.451,438,1276,0.343,2432,5085,0.478,1692,2211,0.765,790,2722,3512,1581,573,421,1254,1664,7870,46,36,46,36,1.7,-0.32,1.37,104.9,103.1,91.7,0.239,0.259,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,Bradley Center,619453
7,2010-11,2011,Royal Ivey,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,29,OKC,NBA,SG,25,0,6.2,0.6,1.5,0.421,0.3,0.6,0.438,0.4,0.9,0.409,0.513,0.1,0.1,1.0,0.1,0.6,0.6,0.3,0.2,0.0,0.2,0.7,1.6,155,5.3,12.7,0.421,2.3,5.3,0.438,3.0,7.3,0.409,0.7,0.7,1.0,0.7,4.7,5.3,2.3,2.0,0.3,1.7,5.7,13.7,104,109,155,8.2,0.527,0.421,0.053,1.6,10.2,6.0,6.8,2.0,0.5,11.4,12.8,0.1,0.1,0.2,0.06,-3.2,0.8,-2.3,0.0,82.0,20005,3066,6609,0.464,487,1403,0.347,2579,5206,0.495,1977,2401,0.823,903,2604,3507,1672,654,487,1156,1836,8596,82.0,20005,3123,6823,0.458,482,1335,0.361,2641,5488,0.481,1557,2093,0.744,932,2395,3327,1712,587,356,1152,1767,8285,55,27,51,31,3.79,0.02,3.81,111.2,107.2,92.7,0.363,0.212,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.228,Chesapeake Energy Arena,744068
8,2011-12,2012,Royal Ivey,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,30,OKC,NBA,SG,34,0,10.4,0.8,2.1,0.356,0.5,1.6,0.34,0.2,0.6,0.4,0.479,0.0,0.2,0.125,0.0,0.7,0.7,0.3,0.4,0.0,0.3,1.1,2.1,354,3.8,10.6,0.356,2.6,7.7,0.34,1.2,2.9,0.4,0.1,1.2,0.125,0.1,3.4,3.5,1.5,2.0,0.0,1.3,5.2,10.3,92,107,354,4.7,0.464,0.726,0.11,0.3,6.9,3.9,4.1,2.0,0.0,10.5,10.9,-0.1,0.3,0.2,0.025,-4.3,0.5,-3.7,-0.1,66.0,15990,2462,5229,0.471,472,1317,0.358,1990,3912,0.509,1406,1744,0.806,726,2157,2883,1224,498,539,1079,1352,6802,66.0,15990,2405,5629,0.427,421,1231,0.342,1984,4398,0.451,1167,1519,0.768,835,1889,2724,1312,542,321,937,1322,6398,47,19,46,20,6.12,0.32,6.44,109.8,103.2,93.0,0.334,0.252,0.516,15.3,27.8,0.269,0.465,13.0,72.1,0.207,Chesapeake Energy Arena,600699
9,2012-13,2013,Royal Ivey,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,31,PHI,NBA,SG,53,5,13.2,1.2,2.7,0.431,0.7,1.7,0.42,0.5,1.1,0.446,0.559,0.2,0.3,0.563,0.3,0.8,1.1,0.6,0.4,0.1,0.4,1.4,3.2,698,4.7,10.9,0.431,2.8,6.6,0.42,1.9,4.2,0.446,0.7,1.2,0.563,1.2,3.1,4.3,2.4,1.7,0.2,1.5,5.5,12.8,108,109,698,8.1,0.563,0.611,0.111,2.5,6.8,4.6,6.7,1.7,0.3,11.7,11.3,0.5,0.5,1.0,0.066,-3.4,0.6,-2.8,-0.1,82.0,19755,3059,6895,0.444,518,1438,0.36,2541,5457,0.466,1004,1377,0.729,896,2493,3389,1867,609,384,1070,1505,7640,82.0,19755,3017,6643,0.454,549,1574,0.349,2468,5069,0.487,1331,1752,0.76,903,2704,3607,1870,590,396,1175,1331,7914,34,48,31,51,-3.34,-0.17,-3.51,102.0,105.7,91.0,0.2,0.209,0.481,12.5,24.9,0.146,0.495,13.7,73.4,0.2,Wells Fargo Center,685412
