,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2004-05,2005,Devin Harris,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,21,DAL,NBA,PG,76,19,15.4,2.1,4.8,0.429,0.6,1.7,0.336,1.5,3.1,0.481,0.489,1.0,1.4,0.757,0.4,1.0,1.3,2.2,1.0,0.3,1.1,1.8,5.7,1173,6.9,16.2,0.429,1.9,5.8,0.336,5.0,10.4,0.481,3.4,4.5,0.757,1.2,3.3,4.5,7.5,3.4,0.8,3.6,6.1,19.2,106,104,1173,14.7,0.53,0.358,0.281,2.7,6.9,4.9,22.5,3.4,1.2,16.6,18.8,1.1,1.6,2.7,0.111,-0.1,2.0,1.9,1.2,82.0,19730,3058,6691,0.457,463,1273,0.364,2595,5418,0.479,1826,2314,0.789,990,2530,3520,1610,708,461,1102,1827,8405,82.0,19730,2941,6712,0.438,451,1366,0.33,2490,5346,0.466,1601,2123,0.754,1072,2467,3539,1714,584,399,1278,1899,7934,58,24,57,25,5.74,0.11,5.86,110.3,104.1,92.7,0.346,0.19,0.492,12.5,28.6,0.273,0.472,14.3,70.2,0.239,American Airlines Center,822533
1,2005-06,2006,Devin Harris,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,DAL,NBA,PG,56,4,22.8,3.4,7.2,0.469,0.1,0.4,0.238,3.3,6.9,0.482,0.475,3.0,4.2,0.716,0.5,1.8,2.2,3.2,0.9,0.3,1.5,2.2,9.9,1275,8.2,17.4,0.469,0.2,0.9,0.238,7.9,16.5,0.482,7.2,10.1,0.716,1.1,4.2,5.4,7.6,2.3,0.7,3.6,5.2,23.8,111,106,1275,17.4,0.544,0.052,0.583,2.5,9.2,5.9,23.4,2.3,1.0,14.2,21.7,2.3,1.4,3.7,0.139,0.8,0.6,1.4,1.1,82.0,19880,2948,6375,0.462,416,1113,0.374,2532,5262,0.481,1818,2322,0.783,1030,2431,3461,1473,593,488,1112,1834,8130,82.0,19880,2801,6319,0.443,404,1120,0.361,2397,5199,0.461,1626,2163,0.752,935,2209,3144,1433,536,400,1151,1958,7632,60,22,58,24,6.07,-0.11,5.96,111.8,105.0,87.8,0.364,0.175,0.495,13.1,31.8,0.285,0.475,13.7,72.2,0.257,American Airlines Center,824693
2,2006-07,2007,Devin Harris,24T,0.0,1.0,0.0,false,1.0,1.0,500.0,23,DAL,NBA,PG,80,61,26.0,3.7,7.4,0.492,0.2,0.6,0.28,3.5,6.8,0.512,0.504,2.7,3.3,0.824,0.6,1.9,2.5,3.7,1.2,0.3,1.8,3.0,10.2,2081,7.5,15.3,0.492,0.4,1.3,0.28,7.2,14.0,0.512,5.5,6.7,0.824,1.2,3.9,5.0,7.6,2.5,0.5,3.8,6.2,20.9,112,104,2081,16.0,0.574,0.084,0.44,2.7,8.5,5.7,22.9,2.5,0.8,17.1,19.1,3.7,2.9,6.5,0.151,-0.3,1.6,1.2,1.7,82.0,19755,3010,6442,0.467,535,1404,0.381,2475,5038,0.491,1646,2045,0.805,920,2515,3435,1632,560,408,1140,1837,8201,82.0,19755,2790,6241,0.447,375,1074,0.349,2415,5167,0.467,1654,2216,0.746,839,2286,3125,1471,565,312,1190,1811,7609,67,15,61,21,7.22,0.06,7.28,111.3,103.2,89.5,0.317,0.218,0.509,13.4,28.7,0.256,0.477,14.2,75.0,0.265,American Airlines Center,834411
3,2007-08,2008,Devin Harris,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,24,DAL,NBA,PG,39,39,30.4,4.8,9.9,0.483,0.6,1.8,0.357,4.2,8.1,0.511,0.516,4.1,5.0,0.821,0.4,1.9,2.3,5.3,1.4,0.1,2.4,3.3,14.4,1184,8.4,17.4,0.483,1.1,3.1,0.357,7.3,14.3,0.511,7.2,8.8,0.821,0.8,3.3,4.1,9.3,2.5,0.1,4.2,5.7,25.2,115,107,1184,18.0,0.592,0.181,0.506,1.7,7.0,4.4,28.6,2.5,0.1,16.4,22.3,2.6,1.3,3.9,0.158,1.2,0.2,1.4,1.0,82.0,19730,3025,6515,0.464,494,1403,0.352,2531,5112,0.495,1690,2075,0.814,883,2643,3526,1720,490,402,1037,1786,8234,82.0,19730,2903,6551,0.443,408,1168,0.349,2495,5383,0.463,1648,2168,0.76,882,2419,3301,1547,536,357,999,1739,7862,51,31,54,28,4.54,0.16,4.7,111.1,106.1,90.2,0.318,0.215,0.502,12.3,26.7,0.259,0.474,11.7,75.0,0.252,American Airlines Center,831738
4,2007-08,2008,Devin Harris,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,24,NJN,NBA,PG,25,22,33.5,5.4,12.2,0.438,1.2,3.9,0.32,4.1,8.4,0.493,0.489,3.5,4.2,0.829,0.4,2.8,3.3,6.5,1.4,0.3,2.7,2.5,15.4,838,8.4,19.2,0.438,1.9,6.1,0.32,6.4,13.1,0.493,5.4,6.6,0.829,0.7,4.4,5.1,10.2,2.1,0.5,4.3,3.9,24.2,108,110,838,16.7,0.548,0.317,0.343,1.5,9.8,5.7,34.7,2.1,0.7,16.2,23.0,1.1,0.6,1.7,0.096,1.2,-0.9,0.3,0.5,82.0,19830,2856,6450,0.443,498,1430,0.348,2358,5020,0.47,1647,2237,0.736,913,2520,3433,1925,521,390,1229,1855,7857,82.0,19830,2982,6543,0.456,534,1448,0.369,2448,5095,0.48,1774,2311,0.768,896,2517,3413,1810,662,362,1098,1836,8272,34,48,27,55,-5.06,-0.09,-5.15,104.0,109.4,91.5,0.347,0.222,0.481,14.2,26.6,0.255,0.497,12.7,73.8,0.271,Izod Center,641921
5,2008-09,2009,Devin Harris,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,25,NJN,NBA,PG,69,69,36.1,6.6,15.1,0.438,0.9,3.2,0.291,5.7,11.9,0.477,0.469,7.2,8.8,0.82,0.4,2.9,3.3,6.9,1.7,0.2,3.1,2.4,21.3,2494,9.7,22.2,0.438,1.4,4.7,0.291,8.4,17.5,0.477,10.6,13.0,0.82,0.6,4.3,4.9,10.2,2.4,0.3,4.5,3.5,31.5,113,111,2494,21.6,0.563,0.212,0.582,1.4,9.7,5.5,34.4,2.4,0.4,14.0,28.4,5.9,1.7,7.5,0.145,3.3,-0.5,2.8,3.0,82.0,19830,2925,6536,0.448,652,1735,0.376,2273,4801,0.473,1542,1980,0.779,850,2415,3265,1636,559,391,1075,1838,8044,82.0,19830,2953,6385,0.462,600,1536,0.391,2353,4849,0.485,1738,2281,0.762,872,2523,3395,1793,567,393,1103,1680,8244,34,48,34,48,-2.44,0.13,-2.31,108.3,111.0,89.9,0.303,0.265,0.497,12.7,25.2,0.236,0.509,13.0,73.5,0.272,Izod Center,621062
6,2009-10,2010,Devin Harris,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,26,NJN,NBA,PG,64,61,34.7,5.6,13.8,0.403,0.9,3.4,0.276,4.6,10.4,0.444,0.437,4.8,6.0,0.798,0.4,2.8,3.2,6.6,1.2,0.3,2.8,2.8,16.9,2221,8.4,20.9,0.403,1.4,5.1,0.276,7.0,15.8,0.444,7.3,9.1,0.798,0.6,4.2,4.8,10.0,1.9,0.4,4.3,4.2,25.6,103,112,2221,16.2,0.512,0.245,0.437,1.2,9.7,5.3,34.6,1.9,0.6,14.7,25.5,1.5,1.2,2.7,0.057,0.7,-1.5,-0.8,0.7,82.0,19780,2813,6554,0.429,377,1185,0.318,2436,5369,0.454,1572,2015,0.78,897,2358,3255,1540,573,393,1182,1643,7575,82.0,19780,3172,6593,0.481,468,1278,0.366,2704,5315,0.509,1511,2021,0.748,925,2683,3608,1960,638,421,1149,1647,8323,12,70,17,65,-9.12,0.19,-8.93,100.6,110.5,91.4,0.307,0.181,0.458,13.7,25.1,0.24,0.517,13.3,71.8,0.229,Izod Center,537230
7,2010-11,2011,Devin Harris,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,27,NJN,NBA,PG,54,54,31.9,4.8,11.3,0.425,0.6,2.0,0.3,4.2,9.3,0.452,0.452,4.8,5.7,0.84,0.2,2.2,2.4,7.6,1.1,0.1,2.9,2.4,15.0,1724,8.1,19.0,0.425,1.0,3.4,0.3,7.0,15.5,0.452,8.0,9.5,0.84,0.3,3.7,4.0,12.7,1.8,0.2,4.9,4.0,25.1,108,112,1724,17.6,0.543,0.18,0.502,0.7,8.3,4.4,41.2,1.8,0.2,17.5,24.4,2.6,0.9,3.4,0.096,2.0,-0.8,1.2,1.4,82.0,20005,2918,6638,0.44,459,1337,0.343,2459,5301,0.464,1427,1881,0.759,909,2440,3349,1723,458,384,1152,1807,7722,82.0,20005,3069,6602,0.465,507,1393,0.364,2562,5209,0.492,1589,2115,0.751,849,2575,3424,1824,561,375,1010,1638,8234,24,58,24,58,-6.24,-0.04,-6.28,103.1,109.9,89.9,0.283,0.201,0.474,13.4,26.1,0.215,0.503,11.8,74.2,0.241,Prudential Center,581378
8,2010-11,2011,Devin Harris,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,27,UTA,NBA,PG,17,16,31.2,4.9,11.8,0.413,1.5,4.1,0.357,3.4,7.7,0.443,0.475,4.5,5.6,0.811,0.4,2.0,2.4,5.4,0.8,0.1,2.9,1.9,15.8,530,8.3,20.0,0.413,2.5,7.0,0.357,5.8,13.0,0.443,7.7,9.4,0.811,0.6,3.4,4.0,9.2,1.3,0.2,4.9,3.3,26.7,107,114,530,15.7,0.552,0.348,0.473,1.4,7.8,4.6,28.3,1.3,0.3,16.8,25.2,0.7,0.1,0.8,0.068,1.5,-3.0,-1.5,0.1,82.0,19880,3064,6590,0.465,435,1256,0.346,2629,5334,0.493,1590,2061,0.771,898,2338,3236,1921,629,484,1175,1865,8153,82.0,19880,2967,6460,0.459,592,1573,0.376,2375,4887,0.486,1777,2285,0.778,925,2426,3351,1700,609,411,1199,1802,8303,39,43,36,46,-1.83,0.39,-1.44,108.1,110.1,91.0,0.313,0.191,0.498,13.5,27.0,0.241,0.505,13.8,71.7,0.275,EnergySolutions Arena,799982
9,2011-12,2012,Devin Harris,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,28,UTA,NBA,PG,63,63,27.6,3.8,8.6,0.445,1.2,3.4,0.362,2.6,5.2,0.498,0.516,2.5,3.3,0.746,0.2,1.6,1.8,5.0,1.0,0.2,1.9,2.2,11.3,1741,7.3,16.3,0.445,2.3,6.4,0.362,4.9,9.9,0.498,4.7,6.3,0.746,0.4,3.0,3.4,9.5,1.9,0.4,3.7,4.1,21.6,112,109,1741,16.0,0.564,0.393,0.386,0.8,6.7,3.7,28.3,1.9,0.6,16.1,19.5,3.3,0.8,4.2,0.115,1.6,-0.8,0.8,1.2,66.0,16165,2523,5531,0.456,273,845,0.323,2250,4686,0.48,1258,1668,0.754,861,2055,2916,1439,545,385,936,1441,6577,66.0,16165,2403,5310,0.453,428,1259,0.34,1975,4051,0.488,1302,1727,0.754,728,1988,2716,1355,494,375,968,1366,6536,36,30,34,32,0.62,0.3,0.92,106.8,106.1,91.4,0.302,0.153,0.481,13.0,30.2,0.227,0.493,13.8,73.8,0.245,EnergySolutions Arena,637124
