,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1992-93,1993,Vernon Maxwell,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,27,HOU,NBA,SG,71,68,31.7,4.9,12.1,0.407,1.7,5.1,0.332,3.2,7.0,0.461,0.477,2.3,3.2,0.719,0.4,2.7,3.1,4.2,1.2,0.1,2.0,1.7,13.8,2251,7.9,19.4,0.407,2.7,8.2,0.332,5.2,11.2,0.461,3.7,5.1,0.719,0.7,4.3,5.0,6.7,1.9,0.2,3.2,2.8,22.2,104,108,2251,13.4,0.512,0.421,0.266,1.6,9.1,5.6,19.6,1.9,0.2,12.7,21.5,1.4,2.5,3.9,0.082,0.1,-0.2,-0.1,1.1,82.0,19780,3280,6744,0.486,387,1073,0.361,2893,5671,0.51,1584,2090,0.758,985,2532,3517,2115,682,543,1295,1699,8531,82.0,19780,3255,7129,0.457,242,730,0.332,3013,6399,0.471,1432,1877,0.763,1167,2295,3462,1965,717,327,1228,1793,8184,55,27,53,29,4.23,-0.66,3.57,109.6,105.2,94.4,0.31,0.159,0.515,14.5,30.0,0.235,0.474,13.4,68.5,0.201,The Summit,554210
1,1993-94,1994,Vernon Maxwell,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,28,HOU,NBA,SG,75,73,34.3,5.1,13.0,0.389,1.6,5.4,0.298,3.5,7.6,0.454,0.451,1.9,2.5,0.749,0.6,2.5,3.1,5.1,1.7,0.3,2.5,1.9,13.6,2571,7.5,19.2,0.389,2.4,7.9,0.298,5.1,11.3,0.454,2.8,3.8,0.749,0.8,3.7,4.5,7.5,2.5,0.4,3.6,2.8,20.1,98,103,2571,12.5,0.483,0.413,0.196,1.9,7.7,5.0,22.4,2.5,0.5,14.9,21.4,-0.1,3.6,3.5,0.066,-0.8,0.6,-0.2,1.2,82.0,19780,3197,6733,0.475,429,1285,0.334,2768,5448,0.508,1469,1978,0.743,926,2619,3545,2087,717,485,1338,1646,8292,82.0,19780,3152,7166,0.44,257,841,0.306,2895,6325,0.458,1377,1871,0.736,1138,2434,3572,1901,767,312,1221,1743,7938,58,24,53,29,4.32,-0.12,4.19,105.9,101.4,95.0,0.294,0.191,0.507,15.0,27.6,0.218,0.458,13.3,69.7,0.192,The Summit,615227
2,1994-95,1995,Vernon Maxwell,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,29,HOU,NBA,SG,64,54,31.8,4.8,12.1,0.394,2.2,6.9,0.324,2.5,5.3,0.485,0.486,1.5,2.3,0.688,0.3,2.3,2.6,4.3,1.2,0.2,2.1,2.5,13.3,2038,7.7,19.4,0.394,3.6,11.0,0.324,4.1,8.4,0.485,2.5,3.6,0.688,0.5,3.7,4.1,6.9,1.9,0.3,3.4,3.9,21.4,101,111,2038,11.9,0.508,0.568,0.185,1.1,7.8,4.6,20.7,1.9,0.4,14.0,21.5,0.3,1.6,1.9,0.044,-0.9,-0.8,-1.7,0.2,82.0,19730,3159,6579,0.48,646,1757,0.368,2513,4822,0.521,1527,2039,0.749,880,2440,3320,2060,721,514,1322,1714,8491,82.0,19730,3202,7061,0.453,506,1345,0.376,2696,5716,0.472,1407,1874,0.751,1165,2386,3551,1940,744,365,1274,1779,8317,47,35,47,35,2.12,0.2,2.32,109.7,107.4,94.2,0.31,0.267,0.529,15.0,26.9,0.232,0.489,13.9,67.7,0.199,The Summit,653389
3,1995-96,1996,Vernon Maxwell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,PHI,NBA,PG,75,57,32.9,5.5,14.0,0.39,1.9,6.1,0.317,3.5,7.9,0.446,0.459,3.3,4.4,0.756,0.5,2.5,3.1,4.4,1.3,0.2,2.9,2.4,16.2,2467,8.7,22.2,0.39,3.1,9.7,0.317,5.6,12.5,0.446,5.3,7.0,0.756,0.8,4.0,4.8,7.0,2.0,0.3,4.5,3.8,25.7,100,115,2467,13.9,0.508,0.437,0.316,1.8,9.1,5.4,24.7,2.0,0.4,15.2,25.6,0.4,0.5,0.9,0.018,0.0,-1.7,-1.7,0.2,82.0,19730,2796,6418,0.436,492,1438,0.342,2304,4980,0.463,1662,2263,0.734,1031,2161,3192,1629,643,420,1414,1777,7746,82.0,19730,3284,6796,0.483,526,1421,0.37,2758,5375,0.513,1472,1986,0.741,1164,2478,3642,2109,723,469,1288,1912,8566,18,64,16,66,-10.0,0.55,-9.45,102.2,113.0,92.2,0.353,0.224,0.474,16.0,29.4,0.259,0.522,14.4,65.0,0.217,CoreStates Spectrum,476016
4,1996-97,1997,Vernon Maxwell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,31,SAS,NBA,SG,72,31,28.7,4.7,12.6,0.375,1.6,5.2,0.309,3.1,7.4,0.421,0.439,1.9,2.5,0.744,0.4,1.8,2.2,2.1,1.2,0.3,1.7,2.3,12.9,2068,9.0,24.1,0.375,3.1,9.9,0.309,6.0,14.2,0.421,3.6,4.8,0.744,0.7,3.5,4.2,4.1,2.3,0.5,3.2,4.5,24.7,97,114,2068,11.8,0.471,0.411,0.199,1.5,7.9,4.6,13.4,2.3,0.7,10.9,24.9,-0.4,0.3,0.0,-0.001,-1.7,-1.5,-3.2,-0.6,82.0,19730,2827,6391,0.442,378,1180,0.32,2449,5211,0.47,1386,1929,0.719,1101,2129,3230,1661,646,431,1243,1764,7418,82.0,19730,3002,6379,0.471,552,1425,0.387,2450,4954,0.495,1508,2042,0.738,1048,2302,3350,1955,664,448,1180,1646,8064,20,62,19,63,-7.88,-0.05,-7.93,103.3,112.3,87.3,0.302,0.185,0.472,14.7,32.4,0.217,0.514,14.0,67.0,0.236,Alamodome,706641
5,1997-98,1998,Vernon Maxwell,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,32,ORL,NBA,SG,11,0,15.4,2.4,7.1,0.333,0.5,2.4,0.231,1.8,4.7,0.385,0.372,2.1,2.4,0.885,0.5,0.7,1.2,1.1,0.2,0.1,1.1,1.8,7.4,169,8.5,25.4,0.333,2.0,8.5,0.231,6.5,17.0,0.385,7.5,8.5,0.885,1.6,2.6,4.2,3.9,0.7,0.3,3.9,6.5,26.4,96,110,169,9.4,0.453,0.333,0.333,3.4,5.7,4.5,13.0,0.7,0.4,11.8,27.5,0.0,0.1,0.0,0.013,-2.9,-2.8,-5.7,-0.2,82.0,19830,2771,6455,0.429,293,907,0.323,2478,5548,0.447,1552,2138,0.726,1178,2203,3381,1694,649,441,1258,1617,7387,82.0,19830,2930,6460,0.454,313,967,0.324,2617,5493,0.476,1302,1769,0.736,1089,2268,3357,1740,747,388,1259,1866,7475,41,41,38,44,-1.07,0.54,-0.53,102.6,103.8,87.1,0.331,0.141,0.452,14.5,34.2,0.24,0.478,14.8,66.9,0.202,Orlando Arena,667322
6,1997-98,1998,Vernon Maxwell,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,32,CHH,NBA,SG,31,0,15.1,2.5,5.8,0.428,1.0,2.8,0.36,1.5,3.0,0.489,0.514,0.8,1.1,0.735,0.3,1.1,1.4,1.3,0.5,0.1,0.9,1.6,6.8,467,8.9,20.7,0.428,3.6,9.9,0.36,5.3,10.8,0.489,2.9,3.9,0.735,1.0,4.0,5.1,4.6,1.6,0.3,3.2,5.9,24.1,104,108,467,13.2,0.539,0.478,0.189,2.4,9.0,5.7,14.6,1.6,0.5,12.6,22.1,0.5,0.3,0.8,0.08,0.0,-1.3,-1.2,0.1,82.0,19780,2968,6344,0.468,346,904,0.383,2622,5440,0.482,1641,2186,0.751,985,2341,3326,1941,691,312,1247,1757,7923,82.0,19780,2977,6417,0.464,369,1063,0.347,2608,5354,0.487,1436,1964,0.731,965,2259,3224,1806,582,372,1240,1902,7759,51,31,47,35,2.0,0.45,2.45,107.5,105.3,89.4,0.345,0.142,0.495,14.6,30.4,0.259,0.493,14.6,70.8,0.224,Charlotte Coliseum,959634
7,1998-99,1999,Vernon Maxwell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,33,SAC,NBA,SG,46,1,21.9,3.6,9.2,0.39,1.7,5.0,0.346,1.8,4.1,0.442,0.485,1.8,2.5,0.737,0.3,1.6,1.8,1.7,0.7,0.1,1.5,2.4,10.7,1007,8.1,20.9,0.39,4.0,11.5,0.346,4.2,9.4,0.442,4.2,5.7,0.737,0.6,3.6,4.2,3.8,1.5,0.1,3.3,5.5,24.4,102,107,1007,12.6,0.522,0.549,0.271,1.4,7.5,4.5,12.1,1.5,0.2,12.4,22.8,1.1,0.5,1.6,0.074,-0.4,-1.1,-1.5,0.1,50.0,12200,1918,4307,0.445,290,943,0.308,1628,3364,0.484,883,1293,0.683,706,1573,2279,1129,444,232,842,1016,5009,50.0,12200,2009,4500,0.446,219,652,0.336,1790,3848,0.465,793,1113,0.712,750,1598,2348,1165,490,221,790,1102,5030,27,23,24,26,-0.42,-0.47,-0.89,102.7,103.1,96.0,0.3,0.219,0.479,14.7,30.6,0.205,0.471,13.7,67.7,0.176,ARCO Arena (II),418751
8,1999-00,2000,Vernon Maxwell,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,34,SEA,NBA,SG,47,0,21.0,3.6,10.4,0.345,1.4,4.7,0.3,2.2,5.7,0.382,0.413,2.3,3.1,0.73,0.3,1.4,1.7,1.6,0.8,0.2,1.1,1.8,10.9,989,8.8,25.5,0.345,3.5,11.6,0.3,5.3,13.9,0.382,5.6,7.7,0.73,0.8,3.3,4.1,3.9,2.0,0.5,2.8,4.3,26.7,96,107,989,12.6,0.462,0.455,0.302,1.6,7.2,4.4,12.3,2.0,0.6,8.7,27.1,0.1,0.7,0.8,0.036,-0.9,-1.3,-2.2,0.0,82.0,19780,3108,6946,0.447,546,1611,0.339,2562,5335,0.48,1363,1960,0.695,1042,2483,3525,1878,657,345,1152,1776,8125,82.0,19780,3132,6941,0.451,440,1293,0.34,2692,5648,0.477,1343,1795,0.748,1084,2611,3695,1939,590,433,1258,1839,8047,45,37,44,38,0.95,0.22,1.17,105.6,104.6,93.4,0.282,0.232,0.487,12.9,28.5,0.196,0.483,14.0,69.6,0.193,KeyArena at Seattle Center,615730
9,2000-01,2001,Vernon Maxwell,-1.0,0.0,0.0,0.0,false,2.0,0.0,500.0,35,PHI,NBA,PG,24,6,15.6,1.8,5.2,0.336,0.9,2.7,0.328,0.9,2.5,0.344,0.42,0.6,0.9,0.682,0.1,1.4,1.5,1.2,0.5,0.0,0.8,1.4,5.0,375,5.9,17.7,0.336,3.0,9.0,0.328,3.0,8.6,0.344,2.1,3.1,0.682,0.4,4.8,5.2,4.1,1.7,0.0,2.5,4.7,17.0,93,102,375,8.1,0.446,0.512,0.176,0.9,10.0,5.6,12.5,1.7,0.0,11.8,18.4,-0.1,0.4,0.4,0.046,-2.3,0.5,-1.8,0.0,82.0,19855,2902,6487,0.447,262,803,0.326,2640,5684,0.464,1697,2277,0.745,1075,2600,3675,1692,690,408,1292,1673,7763,82.0,19855,2871,6699,0.429,427,1248,0.342,2444,5451,0.448,1243,1660,0.749,985,2366,3351,1771,672,458,1261,1938,7412,56,26,54,28,4.28,-0.65,3.64,103.6,98.9,90.6,0.351,0.124,0.468,14.7,31.2,0.262,0.46,14.5,72.5,0.186,First Union Center,805692
