,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2016-17,2017,Juancho Hernangómez,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,21,DEN,NBA,PF,62,9,13.6,1.6,3.6,0.451,0.7,1.8,0.407,0.9,1.8,0.495,0.554,0.9,1.2,0.75,0.7,2.3,3.0,0.5,0.5,0.2,0.5,1.0,4.9,842,5.9,13.0,0.451,2.7,6.6,0.407,3.2,6.4,0.495,3.3,4.4,0.75,2.5,8.4,10.8,1.7,1.7,0.7,1.8,3.6,17.7,117,112,842,13.4,0.592,0.504,0.339,5.7,18.7,12.3,4.7,1.7,1.1,10.7,14.6,1.2,0.6,1.8,0.104,0.1,-0.2,-0.1,0.4,82.0,19755,3377,7194,0.469,870,2365,0.368,2507,4829,0.519,1537,1986,0.774,966,2837,3803,2077,568,323,1226,1567,9161,82.0,19755,3454,7248,0.477,808,2153,0.375,2646,5095,0.519,1403,1794,0.782,770,2576,3346,1972,681,404,982,1653,9119,40,42,42,40,0.51,0.19,0.7,113.2,112.7,98.3,0.276,0.329,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.194,Pepsi Center,605585
1,2017-18,2018,Juancho Hernangómez,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,DEN,NBA,PF,25,3,11.1,1.2,3.0,0.387,0.6,2.0,0.28,0.6,1.0,0.6,0.48,0.4,0.5,0.833,0.7,1.4,2.2,0.5,0.2,0.1,0.4,1.0,3.3,277,5.2,13.4,0.387,2.5,8.9,0.28,2.7,4.5,0.6,1.8,2.1,0.833,3.2,6.4,9.7,2.1,1.1,0.5,1.6,4.5,14.7,109,113,277,9.7,0.511,0.667,0.16,7.4,14.6,11.0,5.9,1.1,0.9,10.1,14.0,0.2,0.1,0.4,0.061,-1.6,-1.7,-3.3,-0.1,82.0,19880,3338,7102,0.47,940,2536,0.371,2398,4566,0.525,1404,1830,0.767,902,2748,3650,2059,627,404,1227,1533,9020,82.0,19880,3386,7113,0.476,893,2364,0.378,2493,4749,0.525,1234,1671,0.738,800,2613,3413,2028,654,391,1131,1699,8899,46,36,45,37,1.48,0.09,1.57,112.5,111.0,96.8,0.258,0.357,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.173,Pepsi Center,702796
2,2018-19,2019,Juancho Hernangómez,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,DEN,NBA,PF,70,25,19.4,2.0,4.5,0.439,0.9,2.6,0.365,1.0,1.9,0.541,0.545,0.9,1.2,0.767,0.9,2.9,3.8,0.8,0.4,0.3,0.5,1.3,5.8,1358,5.0,11.4,0.439,2.4,6.5,0.365,2.6,4.8,0.541,2.4,3.1,0.767,2.3,7.3,9.6,2.0,1.0,0.9,1.3,3.4,14.8,118,110,1358,11.0,0.58,0.576,0.274,5.1,16.1,10.6,5.3,1.0,1.6,9.5,12.2,1.6,1.4,3.0,0.105,-0.9,-0.2,-1.1,0.3,82.0,19730,3439,7384,0.466,903,2571,0.351,2536,4813,0.527,1294,1714,0.755,972,2832,3804,2245,634,363,1102,1644,9075,82.0,19730,3246,7084,0.458,887,2618,0.339,2359,4466,0.528,1372,1822,0.753,799,2685,3484,2016,610,407,1109,1675,8751,54,28,51,31,3.95,0.24,4.19,113.0,108.9,97.7,0.232,0.348,0.527,11.9,26.6,0.175,0.521,12.3,78.0,0.194,Pepsi Center,756457
3,2019-20,2020,Juancho Hernangómez,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,DEN,NBA,PF,34,0,12.4,1.1,3.2,0.345,0.4,1.8,0.25,0.7,1.5,0.46,0.414,0.5,0.7,0.64,0.7,2.1,2.8,0.6,0.1,0.1,0.5,0.9,3.1,422,4.5,12.9,0.345,1.8,7.0,0.25,2.7,5.9,0.46,1.9,2.9,0.64,2.8,8.3,11.1,2.6,0.6,0.6,2.1,3.4,12.5,95,113,422,6.9,0.442,0.545,0.227,6.4,18.8,12.6,6.7,0.6,1.1,12.9,14.3,-0.2,0.3,0.1,0.007,-4.0,-1.2,-5.2,-0.3,73.0,17745,3069,6488,0.473,801,2234,0.359,2268,4254,0.533,1185,1526,0.777,786,2436,3222,1952,586,337,1005,1485,8124,73.0,17745,2919,6311,0.463,885,2473,0.358,2034,3838,0.53,1247,1643,0.759,736,2377,3113,1852,525,324,1041,1494,7970,46,27,41,32,2.11,0.24,2.35,113.1,111.0,97.1,0.235,0.344,0.535,12.3,24.8,0.183,0.533,12.9,76.8,0.198,Pepsi Center,633153
4,2019-20,2020,Juancho Hernangómez,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,MIN,NBA,PF,14,14,29.4,4.4,9.8,0.453,2.1,4.9,0.42,2.4,4.9,0.485,0.558,2.0,3.3,0.609,1.4,5.9,7.3,1.3,1.0,0.3,1.0,2.5,12.9,411,7.0,15.5,0.453,3.3,7.8,0.42,3.7,7.7,0.485,3.2,5.2,0.609,2.1,9.4,11.5,2.0,1.6,0.5,1.6,4.0,20.4,114,112,411,14.1,0.576,0.504,0.336,4.7,22.1,13.1,6.4,1.6,0.8,8.2,17.1,0.5,0.4,0.8,0.098,-0.4,-1.0,-1.5,0.1,64.0,15560,2586,5865,0.441,853,2540,0.336,1733,3325,0.521,1223,1624,0.753,675,2193,2868,1525,555,362,981,1370,7248,64.0,15560,2760,5786,0.477,740,2040,0.363,2020,3746,0.539,1263,1613,0.783,647,2383,3030,1560,499,355,992,1383,7523,19,45,24,40,-4.3,0.28,-4.02,108.1,112.2,103.4,0.277,0.433,0.514,13.0,22.1,0.209,0.541,13.2,77.2,0.218,Target Center,482112
5,2020-21,2021,Juancho Hernangómez,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,MIN,NBA,PF,52,6,17.3,2.5,5.8,0.435,1.1,3.2,0.327,1.4,2.5,0.573,0.527,1.2,1.9,0.619,0.9,3.1,3.9,0.7,0.4,0.1,0.5,1.0,7.2,900,6.8,15.7,0.435,2.9,8.8,0.327,3.9,6.9,0.573,3.1,5.1,0.619,2.4,8.4,10.8,1.8,1.0,0.4,1.4,2.7,19.7,111,117,900,12.1,0.549,0.562,0.324,5.2,20.0,12.3,5.6,1.0,0.7,7.3,17.2,0.6,0.5,1.1,0.06,-1.1,-1.8,-2.9,-0.2,72.0,17405,2932,6546,0.448,944,2706,0.349,1988,3840,0.518,1265,1662,0.761,757,2376,3133,1846,632,398,1027,1507,8073,72.0,17405,3098,6426,0.482,945,2412,0.392,2153,4014,0.536,1332,1695,0.786,718,2579,3297,1932,550,398,1102,1432,8473,23,49,24,48,-5.56,0.31,-5.25,109.5,115.0,101.6,0.254,0.413,0.52,12.4,22.7,0.193,0.556,13.3,76.8,0.207,Target Center,15774
6,2021-22,2022,Juancho Hernangómez,-1.0,0.0,0.0,0.0,false,3.0,0.0,500.0,26,BOS,NBA,PF,18,0,5.3,0.3,1.5,0.185,0.2,1.0,0.167,0.1,0.5,0.222,0.241,0.3,0.5,0.667,0.5,0.9,1.4,0.2,0.2,0.1,0.3,0.4,1.1,96,2.6,14.0,0.185,1.6,9.3,0.167,1.0,4.7,0.222,3.1,4.7,0.667,4.7,8.3,12.9,1.6,2.1,1.0,3.1,3.6,9.8,75,105,96,3.8,0.307,0.667,0.333,10.4,17.6,14.1,4.0,2.1,1.9,16.2,17.0,-0.3,0.2,-0.1,-0.05,-6.9,-1.4,-8.3,-0.2,82.0,19905,3341,7167,0.466,1085,3044,0.356,2256,4123,0.547,1397,1713,0.816,863,2915,3778,2036,591,478,1118,1521,9164,82.0,19905,3137,7221,0.434,969,2860,0.339,2168,4361,0.497,1324,1692,0.783,858,2727,3585,1773,618,376,1133,1592,8567,51,31,59,23,7.28,-0.26,7.02,114.4,106.9,96.6,0.239,0.425,0.542,12.4,24.0,0.195,0.502,12.5,77.3,0.183,TD Garden,785396
7,2021-22,2022,Juancho Hernangómez,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,SAS,NBA,PF,5,0,10.2,0.4,1.2,0.333,0.0,0.6,0.0,0.4,0.6,0.667,0.333,0.6,0.8,0.75,0.8,2.2,3.0,0.6,0.2,0.2,0.4,0.0,1.4,51,1.9,5.6,0.333,0.0,2.8,0.0,1.9,2.8,0.667,2.8,3.8,0.75,3.8,10.3,14.1,2.8,0.9,0.9,1.9,0.0,6.6,105,112,51,9.0,0.451,0.5,0.667,8.2,22.8,15.4,6.9,0.9,1.6,20.5,8.1,0.0,0.1,0.1,0.055,-2.4,-0.1,-2.5,0.0,82.0,19805,3546,7601,0.467,925,2626,0.352,2621,4975,0.527,1262,1673,0.754,901,2815,3716,2289,626,403,1042,1483,9279,82.0,19805,3482,7475,0.466,992,2756,0.36,2490,4719,0.528,1313,1711,0.767,933,2902,3835,1970,601,403,1131,1553,9269,34,48,41,41,0.12,-0.1,0.02,112.4,112.3,100.0,0.22,0.345,0.527,11.1,23.7,0.166,0.532,12.1,75.1,0.176,AT&T Center,615588
8,2021-22,2022,Juancho Hernangómez,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,26,UTA,NBA,PF,17,9,17.5,2.2,4.3,0.507,1.2,2.8,0.438,0.9,1.5,0.64,0.651,0.6,1.2,0.476,0.9,2.6,3.5,0.8,0.5,0.4,0.5,1.1,6.2,298,6.1,12.1,0.507,3.5,8.0,0.438,2.7,4.1,0.64,1.7,3.5,0.476,2.5,7.5,10.0,2.3,1.5,1.2,1.3,3.0,17.4,128,110,298,14.5,0.638,0.658,0.288,5.7,16.0,11.0,6.5,1.5,2.1,8.9,13.2,0.6,0.4,0.9,0.149,1.5,0.7,2.2,0.3,82.0,19730,3327,7067,0.471,1192,3308,0.36,2135,3759,0.568,1470,1916,0.767,884,2916,3800,1836,588,402,1149,1547,9316,82.0,19730,3314,7318,0.453,994,2837,0.35,2320,4481,0.518,1199,1581,0.758,809,2599,3408,1917,636,352,982,1664,8821,49,33,56,26,6.04,-0.37,5.67,116.7,110.5,97.1,0.271,0.468,0.555,12.7,25.4,0.208,0.521,10.9,78.3,0.164,Vivint Smart Home Arena,750546
9,2022-23,2023,Juancho Hernangómez,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,27,TOR,NBA,PF,42,10,14.6,1.1,2.7,0.421,0.4,1.6,0.254,0.7,1.1,0.66,0.496,0.2,0.4,0.563,0.6,2.3,2.9,0.6,0.4,0.1,0.4,1.0,2.9,614,3.9,9.2,0.421,1.4,5.4,0.254,2.5,3.8,0.66,0.7,1.3,0.563,2.2,7.7,9.9,2.0,1.3,0.5,1.2,3.5,9.8,108,115,614,7.6,0.504,0.588,0.14,4.6,19.1,11.3,5.2,1.3,0.9,11.0,9.4,0.1,0.6,0.7,0.053,-3.5,0.2,-3.3,-0.2,82.0,19805.0,3434.0,7489.0,0.459,880.0,2626.0,0.335,2554.0,4863.0,0.525,1506.0,1922.0,0.784,1043.0,2485.0,3528.0,1961.0,772.0,424.0,956.0,1641.0,9254.0,82.0,19805.0,3312.0,6752.0,0.491,1001.0,2676.0,0.374,2311.0,4076.0,0.567,1508.0,1893.0,0.797,757.0,2709.0,3466.0,2148.0,492.0,376.0,1367.0,1604.0,9133.0,41,41,45,37,1.48,0.12,1.59,115.5,114.0,97.1,0.257,0.351,0.517,10.3,27.8,0.201,0.565,15.3,76.7,0.223,Scotiabank Arena,811261
