,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2001-02,2002,Brian Scalabrine,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,NJN,NBA,PF,28,0,10.4,0.8,2.4,0.343,0.1,0.4,0.3,0.7,2.0,0.351,0.366,0.4,0.5,0.733,0.4,1.4,1.8,0.8,0.3,0.1,0.9,1.4,2.1,290,4.1,12.1,0.343,0.5,1.8,0.3,3.6,10.3,0.351,2.0,2.7,0.733,2.2,7.0,9.2,3.8,1.6,0.4,4.3,7.0,10.8,77,101,290,4.2,0.408,0.149,0.224,4.6,15.2,9.9,10.5,1.6,0.5,24.6,15.1,-0.5,0.4,-0.1,-0.015,-6.4,0.0,-6.4,-0.3,82.0,19830,3042,6816,0.446,403,1194,0.338,2639,5622,0.469,1402,1907,0.735,1039,2515,3554,1990,716,490,1189,1734,7889,82.0,19830,2858,6668,0.429,409,1175,0.348,2449,5493,0.446,1423,1890,0.753,999,2517,3516,1563,669,439,1317,1667,7548,52,30,53,29,4.16,-0.49,3.67,104.0,99.5,91.8,0.28,0.175,0.476,13.4,29.2,0.206,0.459,14.9,71.6,0.213,Continental Airlines Arena,564194,28,10.4,-4.37,-1.31,-5.69,-0.56,588,304,-4.811279749,-1.665470379,-6.476750128,-0.583162377,-0.557296665,-0.025865712,-4.751030755,-2.276303035,-7.02733379,0.688179913,28,19,9,10.4,100.0,1.4,14.7,25.3,0.3,14.1,0.1,11.1,3.3,2.5,2.3,8.7,0.037,0.0
1,2002-03,2003,Brian Scalabrine,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,NJN,NBA,PF,59,7,12.3,1.2,2.9,0.402,0.2,0.7,0.359,0.9,2.2,0.415,0.444,0.5,0.6,0.833,0.7,1.7,2.4,0.8,0.3,0.3,0.8,1.3,3.1,724,4.9,12.2,0.402,1.0,2.8,0.359,3.9,9.4,0.415,2.2,2.6,0.833,2.9,7.3,10.2,3.3,1.2,1.3,3.3,5.6,13.0,93,99,724,8.9,0.487,0.231,0.213,6.3,15.9,11.1,9.9,1.2,1.9,19.9,14.4,-0.1,1.2,1.0,0.068,-2.9,0.8,-2.1,0.0,82.0,19755,2906,6585,0.441,346,1041,0.332,2560,5544,0.462,1662,2195,0.757,991,2528,3519,1887,717,374,1212,1772,7820,82.0,19755,2757,6461,0.427,425,1185,0.359,2332,5276,0.442,1453,1941,0.749,932,2461,3393,1607,693,423,1358,1880,7392,49,33,56,26,5.22,-0.8,4.42,103.8,98.1,91.6,0.333,0.158,0.468,13.8,28.7,0.252,0.46,15.7,73.1,0.225,Continental Airlines Arena,622574,59,12.3,-2.66,0.3,-2.36,0.34,1436,744,-2.942624749,-1.235986307,-4.178611056,-0.54461116,-0.503170952,-0.041440208,-3.054754242,-2.101111701,-5.155865943,0.069636616,59,39,20,12.2,96.4,1.7,14.6,23.2,0.3,12.7,0.3,34.0,3.7,3.3,2.7,9.2,0.055,0.0
2,2003-04,2004,Brian Scalabrine,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,NJN,NBA,PF,69,2,13.4,1.2,3.2,0.394,0.1,0.6,0.244,1.1,2.6,0.429,0.417,0.8,1.0,0.829,0.6,1.9,2.5,0.9,0.3,0.2,0.6,1.6,3.5,928,5.0,12.6,0.394,0.6,2.4,0.244,4.4,10.2,0.429,3.4,4.0,0.829,2.4,7.6,10.0,3.8,1.2,0.8,2.4,6.5,13.9,98,99,928,9.5,0.482,0.188,0.321,5.4,16.6,11.0,11.3,1.2,1.2,14.4,14.7,0.3,1.4,1.7,0.089,-3.2,0.7,-2.6,-0.1,82.0,19705,2813,6372,0.441,377,1123,0.336,2436,5249,0.464,1398,1856,0.753,862,2473,3335,2009,709,322,1209,1722,7401,82.0,19705,2693,6302,0.427,418,1193,0.35,2275,5109,0.445,1392,1830,0.761,873,2471,3344,1627,656,374,1321,1739,7196,47,35,49,33,2.5,-0.63,1.88,100.8,98.0,89.4,0.291,0.176,0.471,14.4,25.9,0.219,0.46,15.7,73.9,0.221,Continental Airlines Arena,613051,69,13.4,-2.41,0.82,-1.58,1.06,1885,1001,-2.721139696,-0.475895582,-3.197035278,-0.219574861,-0.459569416,0.239994554,-2.908525633,-0.971625191,-3.880150824,0.351593462,69,43,26,13.3,94.5,1.9,14.5,23.1,0.3,14.8,0.2,21.2,5.0,3.3,3.3,9.3,0.064,0.0
3,2004-05,2005,Brian Scalabrine,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,NJN,NBA,PF,54,14,21.6,2.4,6.1,0.398,0.4,1.3,0.324,2.0,4.9,0.417,0.431,1.0,1.3,0.768,1.5,3.0,4.5,1.6,0.6,0.3,1.2,2.1,6.3,1167,6.1,15.3,0.398,1.0,3.1,0.324,5.1,12.2,0.417,2.4,3.2,0.768,3.8,7.4,11.3,4.1,1.6,0.8,3.0,5.1,15.6,96,103,1167,11.0,0.468,0.205,0.208,8.4,16.8,12.6,13.0,1.6,1.3,15.4,17.2,-0.2,1.6,1.4,0.058,-2.0,0.2,-1.8,0.1,82.0,19905,2753,6419,0.429,435,1203,0.362,2318,5216,0.444,1555,2039,0.763,855,2387,3242,1772,650,308,1164,1985,7496,82.0,19905,2710,6167,0.439,485,1319,0.368,2225,4848,0.459,1714,2304,0.744,874,2503,3377,1666,601,402,1283,1881,7619,42,40,36,46,-1.5,-0.32,-1.82,101.4,103.1,89.1,0.318,0.187,0.463,13.7,25.5,0.242,0.479,15.2,73.2,0.278,Continental Airlines Arena,618681,54,21.6,-1.87,3.29,1.41,3.33,2308,1228,-1.886321507,0.09774507,-1.788576437,0.600133782,0.776899746,-0.176765965,-1.928563592,-0.565720762,-2.494284354,-0.10920038,54,28,26,21.6,97.7,3.0,14.9,23.6,0.6,18.0,0.3,22.8,6.9,5.7,5.4,14.1,0.103,0.0
4,2005-06,2006,Brian Scalabrine,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,BOS,NBA,PF,71,1,13.2,1.0,2.7,0.383,0.4,1.2,0.356,0.6,1.5,0.406,0.464,0.4,0.5,0.722,0.4,1.2,1.6,0.7,0.3,0.3,0.7,1.8,2.9,938,4.1,10.7,0.383,1.7,4.8,0.356,2.4,5.9,0.406,1.4,2.0,0.722,1.5,4.8,6.3,2.8,1.2,1.1,2.8,7.1,11.4,92,109,938,5.9,0.491,0.451,0.187,3.6,11.0,7.4,8.2,1.2,1.5,19.3,12.7,-0.4,0.7,0.3,0.015,-3.5,-0.1,-3.6,-0.4,82.0,19880,2951,6322,0.467,467,1290,0.362,2484,5032,0.494,1664,2204,0.755,813,2432,3245,1716,578,422,1359,2033,8033,82.0,19880,2944,6462,0.456,446,1265,0.353,2498,5197,0.481,1825,2457,0.743,910,2369,3279,1763,688,404,1210,1837,8159,33,49,37,45,-1.54,-0.05,-1.59,105.2,106.9,92.2,0.349,0.204,0.504,15.7,25.5,0.263,0.49,13.8,72.8,0.282,TD Banknorth Garden,692873,71,13.2,-3.37,2.23,-1.14,1.1,1822,938,-3.754894957,0.093865358,-3.661029599,-0.438953666,-0.438953666,0.0,-3.667850916,-0.57614723,-4.243998145,0.623020915,71,29,42,13.2,97.0,1.2,9.6,15.2,0.3,13.9,0.3,20.2,5.0,3.4,2.2,10.1,0.067,0.0
5,2006-07,2007,Brian Scalabrine,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,BOS,NBA,PF,54,17,19.0,1.4,3.5,0.403,0.8,2.0,0.4,0.6,1.5,0.407,0.518,0.3,0.4,0.783,0.4,1.5,1.9,1.1,0.4,0.3,0.8,2.4,4.0,1027,3.9,9.7,0.403,2.2,5.6,0.4,1.7,4.1,0.407,0.9,1.2,0.783,1.2,4.1,5.3,3.0,1.2,0.9,2.2,6.6,11.0,101,109,1027,6.6,0.537,0.576,0.12,2.7,9.7,6.1,8.9,1.2,1.4,18.0,10.8,0.2,0.7,0.9,0.043,-2.7,0.0,-2.7,-0.2,82.0,19855,2858,6454,0.443,471,1283,0.367,2387,5171,0.462,1670,2178,0.767,918,2391,3309,1630,589,382,1350,1971,7857,82.0,19855,2966,6337,0.468,429,1212,0.354,2537,5125,0.495,1776,2376,0.747,848,2476,3324,1811,604,449,1250,1757,8137,24,58,31,51,-3.41,-0.29,-3.7,103.2,106.9,92.0,0.337,0.199,0.479,15.4,27.0,0.259,0.502,14.5,73.8,0.28,TD Banknorth Garden,690576,54,19.0,-2.88,-0.14,-3.02,0.08,1991,1027,-2.303402934,-0.801246192,-3.104649127,-0.18677274,-0.18677274,0.0,-2.382758726,-0.872033116,-3.254791842,0.47331341,54,19,35,19.0,104.0,1.5,8.4,13.0,0.4,15.0,0.3,21.4,6.7,4.7,4.0,16.1,0.058,0.0
6,2007-08,2008,Brian Scalabrine,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,29,BOS,NBA,PF,48,9,10.7,0.6,2.0,0.309,0.3,1.0,0.326,0.3,1.0,0.292,0.388,0.3,0.4,0.75,0.5,1.2,1.6,0.8,0.2,0.2,0.5,1.3,1.8,512,3.0,9.7,0.309,1.5,4.7,0.326,1.4,4.9,0.292,1.5,2.1,0.75,2.3,5.9,8.1,4.1,0.9,0.8,2.7,6.5,9.1,92,102,512,5.1,0.428,0.489,0.213,5.4,12.5,9.2,11.2,0.9,1.3,20.2,11.7,-0.3,0.9,0.6,0.057,-3.8,1.0,-2.8,-0.1,82.0,19755,2986,6286,0.475,596,1564,0.381,2390,4722,0.506,1677,2176,0.771,830,2615,3445,1833,696,379,1246,1864,8245,82.0,19755,2657,6341,0.419,485,1535,0.316,2172,4806,0.452,1605,2160,0.743,899,2290,3189,1539,594,389,1308,1818,7404,66,16,67,15,10.26,-0.95,9.3,110.2,98.9,90.9,0.346,0.249,0.522,14.7,26.6,0.267,0.457,15.2,74.4,0.253,TD Banknorth Garden,763584,48,10.7,-4.34,-0.23,-4.57,-0.62,981,512,-3.678250635,0.478216106,-3.200034529,-0.118148305,-0.118148305,0.0,-3.718181553,-0.495923754,-4.214105307,0.468888122,48,40,8,10.7,95.3,1.2,10.6,16.7,0.2,9.6,0.2,17.8,4.7,3.2,1.8,8.0,0.066,0.0
7,2008-09,2009,Brian Scalabrine,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,30,BOS,NBA,C,39,8,12.9,1.2,2.9,0.421,0.6,1.6,0.393,0.6,1.4,0.453,0.526,0.4,0.5,0.889,0.2,1.1,1.3,0.5,0.2,0.3,0.3,1.9,3.5,504,5.1,12.0,0.421,2.5,6.4,0.393,2.5,5.6,0.453,1.7,1.9,0.889,0.7,4.5,5.3,1.9,0.7,1.1,1.3,7.7,14.3,112,106,504,7.4,0.558,0.535,0.158,1.8,9.9,6.0,5.3,0.7,1.6,9.0,12.4,0.4,0.7,1.1,0.105,-2.5,1.1,-1.5,0.1,82.0,19880,3075,6333,0.486,538,1355,0.397,2537,4978,0.51,1587,2075,0.765,869,2586,3455,1862,621,387,1280,1897,8275,82.0,19880,2763,6418,0.431,507,1452,0.349,2256,4966,0.454,1626,2110,0.771,834,2249,3083,1553,585,389,1195,1820,7659,62,20,61,21,7.51,-0.07,7.44,110.5,102.3,90.4,0.328,0.214,0.528,15.0,27.9,0.251,0.47,14.0,75.6,0.253,TD Banknorth Garden,763584,39,12.9,-1.52,0.0,-1.51,0.44,1434,750,-2.072714425,-0.402816993,-2.475531418,0.106749304,0.08134588,0.025403424,-2.126029683,-0.43890658,-2.564936263,0.725587054,39,31,8,12.9,98.4,1.1,8.6,12.0,0.2,9.1,0.3,20.4,5.3,3.0,3.7,10.1,0.071,0.0
8,2009-10,2010,Brian Scalabrine,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,31,BOS,NBA,PF,52,3,9.1,0.6,1.6,0.341,0.3,0.9,0.327,0.3,0.7,0.361,0.435,0.1,0.1,0.667,0.2,0.8,0.9,0.5,0.2,0.1,0.3,1.1,1.5,472,3.2,9.4,0.341,1.8,5.4,0.327,1.4,4.0,0.361,0.4,0.7,0.667,1.0,4.3,5.3,3.0,1.0,0.4,1.9,6.5,8.7,89,108,472,3.6,0.445,0.576,0.071,2.4,9.9,6.2,8.1,1.0,0.7,16.2,10.4,-0.3,0.5,0.2,0.019,-4.4,0.1,-4.3,-0.3,82.0,19780,3039,6294,0.483,499,1433,0.348,2540,4861,0.523,1559,2090,0.746,716,2449,3165,1930,701,402,1219,1816,8136,82.0,19780,2880,6390,0.451,470,1375,0.342,2410,5015,0.481,1606,2152,0.746,868,2418,3286,1585,578,386,1283,1777,7836,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,91.6,0.332,0.228,0.522,14.5,22.8,0.248,0.487,14.9,73.8,0.251,TD Garden,763584,52,9.1,-4.71,-1.19,-5.9,-0.91,913,473,-4.159959514,-1.858348167,-6.018307681,-0.794475742,-0.791939103,-0.00253664,-4.211096753,-2.398037004,-6.609133757,0.681448349,52,32,20,9.1,105.2,0.8,9.4,14.6,0.2,11.5,0.1,9.3,2.9,2.5,1.6,7.0,0.028,-1.07
9,2010-11,2011,Brian Scalabrine,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,32,CHI,NBA,PF,18,0,4.9,0.6,1.1,0.526,0.0,0.3,0.0,0.6,0.8,0.714,0.526,0.0,0.0,,0.1,0.4,0.4,0.3,0.2,0.2,0.3,1.0,1.1,88,6.0,11.5,0.526,0.0,3.0,0.0,6.0,8.5,0.714,0.0,0.0,,0.6,4.2,4.8,3.6,1.8,2.4,3.0,10.9,12.1,93,100,88,6.5,0.526,0.263,0.0,1.4,9.1,5.3,10.4,1.8,3.5,20.8,12.5,0.0,0.2,0.1,0.071,-6.5,2.7,-3.8,0.0,82.0,19830,3042,6587,0.462,511,1415,0.361,2531,5172,0.489,1492,2008,0.743,967,2654,3621,1827,592,468,1161,1639,8087,82.0,19830,2805,6523,0.43,427,1308,0.326,2378,5215,0.456,1450,1898,0.764,828,2322,3150,1556,568,477,1159,1645,7487,62,20,61,21,7.32,-0.79,6.53,108.3,100.3,90.4,0.305,0.215,0.501,13.5,29.4,0.227,0.463,13.6,76.2,0.222,United Center,893462,18,4.9,-2.05,-0.82,-2.87,0.01,168,88,-3.092787818,-0.340686601,-3.433474419,-0.031336276,-0.031336276,0.0,-3.279648111,-0.096996757,-3.376644868,1.973789325,18,12,6,4.9,104.3,0.4,6.8,12.5,0.2,18.8,0.2,25.0,2.2,2.4,1.6,3.8,0.017,-0.79
