,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1997-98,1998,Chauncey Billups,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,BOS,NBA,PG,51,44,25.4,3.5,8.9,0.39,1.3,3.7,0.339,2.2,5.2,0.426,0.46,2.9,3.5,0.817,0.8,1.4,2.2,4.3,1.5,0.0,2.3,2.3,11.1,1296,7.0,18.0,0.39,2.5,7.5,0.339,4.5,10.5,0.426,5.8,7.1,0.817,1.6,2.9,4.5,8.6,3.1,0.1,4.7,4.7,22.4,105,107,1296,15.4,0.53,0.416,0.396,3.3,7.3,5.1,26.7,3.1,0.1,18.1,21.7,1.6,1.0,2.6,0.096,1.2,-0.4,0.8,0.9,82.0,19730.0,3012.0,6934.0,0.434,415.0,1249.0,0.332,2597.0,5685.0,0.457,1425.0,1964.0,0.726,1196.0,2044.0,3240.0,1816.0,987.0,366.0,1330.0,2203.0,7864.0,82.0,19730.0,2864.0,5981.0,0.479,299.0,940.0,0.318,2565.0,5041.0,0.509,2052.0,2756.0,0.745,1015.0,2446.0,3461.0,1826.0,696.0,406.0,1688.0,1719.0,8079.0,36,46,33,49,-2.62,0.66,-1.96,102.6,105.4,93.3,0.283,0.18,0.464,14.6,32.8,0.206,0.504,19.0,66.8,0.343,FleetCenter,739422,80,27.7,0.22,-2.21,-1.99,1.38,4343,2216,0.635806357,-1.674801223,-1.038994866,1.960311294,1.960311294,0.0,0.700632015,-1.526087434,-0.825455419,1.2697595,80,28,52,27.7,105.9,1.6,6.4,11.4,1.3,21.2,0.1,1.4,10.8,9.0,10.3,27.5,0.051,0.0
1,1997-98,1998,Chauncey Billups,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,TOR,NBA,PG,29,26,31.7,3.6,10.2,0.349,1.5,4.7,0.316,2.1,5.5,0.377,0.422,2.7,3.0,0.919,0.8,1.9,2.7,3.3,1.0,0.1,1.9,1.9,11.3,920,5.8,16.6,0.349,2.4,7.7,0.316,3.4,9.0,0.377,4.4,4.8,0.919,1.2,3.1,4.3,5.5,1.7,0.1,3.2,3.0,18.5,102,115,920,11.1,0.493,0.461,0.292,2.6,7.0,4.7,16.7,1.7,0.1,14.4,18.5,0.6,-0.2,0.4,0.02,-1.2,-2.8,-4.0,-0.4,82.0,19930.0,2965.0,6813.0,0.435,372.0,1086.0,0.343,2593.0,5727.0,0.453,1479.0,2060.0,0.718,1187.0,2149.0,3336.0,1746.0,769.0,663.0,1371.0,1851.0,7781.0,82.0,19930.0,3271.0,6826.0,0.479,396.0,1034.0,0.383,2875.0,5792.0,0.496,1603.0,2289.0,0.7,1270.0,2506.0,3776.0,2219.0,737.0,514.0,1370.0,1748.0,8541.0,16,66,17,65,-9.27,0.94,-8.33,101.2,111.0,92.6,0.302,0.159,0.462,15.1,32.1,0.217,0.508,14.9,62.9,0.235,SkyDome,674685,80,27.7,0.22,-2.21,-1.99,1.38,4343,2216,0.635806357,-1.674801223,-1.038994866,1.960311294,1.960311294,0.0,0.700632015,-1.526087434,-0.825455419,1.2697595,80,28,52,27.7,105.9,1.6,6.4,11.4,1.3,21.2,0.1,1.4,10.8,9.0,10.3,27.5,0.051,0.0
2,1998-99,1999,Chauncey Billups,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,DEN,NBA,SG,45,41,33.1,4.2,11.0,0.386,1.9,5.2,0.362,2.4,5.8,0.408,0.472,3.5,3.8,0.913,0.5,1.6,2.1,3.8,1.3,0.3,2.2,2.6,13.9,1488,6.8,17.7,0.386,3.0,8.4,0.362,3.8,9.3,0.408,5.6,6.1,0.913,0.9,2.6,3.4,6.2,2.1,0.5,3.5,4.1,22.3,109,113,1488,15.1,0.547,0.475,0.347,1.8,5.8,3.7,20.4,2.1,0.7,14.7,20.3,2.8,-0.5,2.3,0.075,1.1,-1.6,-0.6,0.5,50.0,12025.0,1681.0,3989.0,0.421,302.0,922.0,0.328,1379.0,3067.0,0.45,1010.0,1325.0,0.762,647.0,1392.0,2039.0,969.0,376.0,275.0,739.0,1145.0,4674.0,50.0,12025.0,1885.0,4017.0,0.469,237.0,640.0,0.37,1648.0,3377.0,0.488,997.0,1339.0,0.745,620.0,1502.0,2122.0,1175.0,396.0,274.0,701.0,1103.0,5004.0,14,36,14,36,-6.6,-0.07,-6.67,103.1,110.4,90.5,0.332,0.231,0.459,13.9,30.1,0.253,0.499,13.2,69.2,0.248,McNichols Sports Arena,296965,45,33.1,1.82,-4.04,-2.23,1.09,2838,1488,2.504543576,-1.968886018,0.535657558,2.498377355,2.498377355,0.0,2.442163765,-1.641063594,0.80110017,0.143587746,45,14,31,33.1,111.9,1.6,5.2,8.6,1.3,24.8,0.3,8.5,11.5,9.9,9.9,32.4,-0.037,0.0
3,1999-00,2000,Chauncey Billups,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,DEN,NBA,SG,13,5,23.5,2.6,7.8,0.337,0.5,3.2,0.171,2.1,4.6,0.45,0.371,2.8,3.4,0.841,0.6,2.0,2.6,3.0,0.8,0.2,1.8,2.1,8.6,305,5.6,16.8,0.337,1.2,6.8,0.171,4.5,10.0,0.45,6.1,7.3,0.841,1.3,4.3,5.6,6.5,1.7,0.3,4.0,4.5,18.6,95,108,305,10.5,0.465,0.406,0.436,2.8,9.4,6.1,19.4,1.7,0.4,16.6,20.6,0.0,0.2,0.1,0.023,-2.3,-0.4,-2.6,0.0,82.0,19855.0,3057.0,6911.0,0.442,470.0,1397.0,0.336,2587.0,5514.0,0.469,1531.0,2116.0,0.724,1073.0,2590.0,3663.0,1911.0,554.0,618.0,1281.0,1962.0,8115.0,82.0,19855.0,3129.0,6953.0,0.45,399.0,1126.0,0.354,2730.0,5827.0,0.469,1632.0,2174.0,0.751,1027.0,2606.0,3633.0,2003.0,616.0,462.0,1179.0,1937.0,8289.0,35,47,35,47,-2.12,0.36,-1.76,103.5,105.8,94.7,0.306,0.202,0.476,14.0,29.2,0.222,0.479,13.0,71.6,0.235,Pepsi Center,637698,13,23.5,0.48,-0.22,0.27,0.56,609,305,-0.263335775,-1.622358779,-1.885694554,0.135516618,0.135516618,0.0,-0.277491372,-1.760769196,-2.038260568,0.715375368,13,7,6,23.5,97.1,2.0,8.4,12.5,0.8,20.0,0.2,4.0,8.1,7.3,6.8,20.2,0.101,0.0
4,2000-01,2001,Chauncey Billups,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,MIN,NBA,SG,77,33,23.2,3.2,7.6,0.422,0.9,2.5,0.376,2.3,5.1,0.445,0.485,1.9,2.2,0.842,0.4,1.6,2.1,3.4,0.7,0.1,1.4,2.3,9.3,1790,7.2,17.1,0.422,2.1,5.7,0.376,5.1,11.5,0.445,4.2,5.0,0.842,0.9,3.7,4.6,7.6,1.5,0.3,3.2,5.2,20.8,107,107,1790,14.1,0.538,0.33,0.291,2.0,8.1,5.0,22.2,1.5,0.4,14.4,19.5,2.7,0.9,3.7,0.098,0.4,-0.9,-0.5,0.7,82.0,19830.0,3148.0,6871.0,0.458,322.0,901.0,0.357,2826.0,5970.0,0.473,1364.0,1737.0,0.785,1002.0,2470.0,3472.0,2083.0,682.0,456.0,1136.0,1900.0,7982.0,82.0,19830.0,2977.0,6588.0,0.452,350.0,996.0,0.351,2627.0,5592.0,0.47,1567.0,2164.0,0.724,967.0,2505.0,3472.0,1834.0,583.0,357.0,1246.0,1655.0,7871.0,47,35,45,37,1.35,0.46,1.81,105.2,103.7,91.8,0.253,0.131,0.482,13.0,28.6,0.199,0.478,14.2,71.9,0.238,Target Center,717371,77,23.2,0.65,-1.29,-0.64,2.56,3511,1816,1.557901895,-1.795912935,-0.23801104,2.324999617,2.393410745,-0.068411128,1.308407577,-1.912024949,-0.603617372,0.215701338,77,42,35,23.3,101.7,1.6,7.3,11.5,0.7,18.5,0.1,5.3,7.7,6.2,5.7,19.9,0.059,0.0
5,2001-02,2002,Chauncey Billups,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,MIN,NBA,PG,82,54,28.7,4.2,10.0,0.423,1.5,3.8,0.394,2.7,6.2,0.441,0.498,2.5,2.9,0.885,0.4,2.3,2.8,5.5,0.8,0.2,1.7,2.1,12.5,2355,7.8,18.5,0.423,2.8,7.1,0.394,5.0,11.4,0.441,4.7,5.3,0.885,0.8,4.3,5.1,10.1,1.5,0.4,3.1,3.8,23.1,116,108,2355,17.6,0.555,0.383,0.284,1.7,9.2,5.5,29.2,1.5,0.5,13.0,20.4,6.1,1.5,7.6,0.156,3.1,-0.6,2.5,2.7,82.0,19805.0,3175.0,6887.0,0.461,396.0,1047.0,0.378,2779.0,5840.0,0.476,1399.0,1754.0,0.798,1059.0,2562.0,3621.0,1993.0,524.0,427.0,1097.0,1739.0,8145.0,82.0,19805.0,2962.0,6654.0,0.445,492.0,1321.0,0.372,2470.0,5333.0,0.463,1452.0,1958.0,0.742,912.0,2326.0,3238.0,1855.0,542.0,407.0,1097.0,1676.0,7868.0,50,32,51,31,3.38,0.2,3.58,109.0,105.3,90.5,0.255,0.152,0.49,12.5,31.3,0.203,0.482,12.7,73.7,0.218,Target Center,731673,82,28.7,2.83,-0.64,2.19,7.34,4764,2489,3.784419153,-1.204827673,2.57959148,6.768300709,6.505267527,0.263033182,3.722939444,-0.926027551,2.796911893,-0.197115632,82,50,32,28.7,104.3,2.3,8.3,12.6,0.8,22.3,0.2,7.0,8.4,7.7,6.7,22.8,0.064,0.0
6,2002-03,2003,Chauncey Billups,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,DET,NBA,PG,74,74,31.4,4.9,11.8,0.421,2.0,5.1,0.392,2.9,6.6,0.443,0.506,4.3,4.9,0.878,0.5,3.2,3.7,3.9,0.9,0.2,1.8,1.8,16.2,2327,8.7,20.7,0.421,3.5,9.0,0.392,5.2,11.6,0.443,7.6,8.6,0.878,0.9,5.6,6.5,6.8,1.5,0.4,3.2,3.2,28.5,116,102,2327,20.4,0.582,0.437,0.416,1.9,12.2,7.0,23.7,1.5,0.5,11.5,24.1,7.0,2.9,9.9,0.204,4.3,0.3,4.6,3.8,82.0,19905.0,2700.0,6277.0,0.43,533.0,1488.0,0.358,2167.0,4789.0,0.452,1559.0,2021.0,0.771,883.0,2445.0,3328.0,1620.0,556.0,468.0,1104.0,1748.0,7492.0,82.0,19905.0,2744.0,6269.0,0.438,289.0,839.0,0.344,2455.0,5430.0,0.452,1413.0,1895.0,0.746,859.0,2528.0,3387.0,1501.0,568.0,355.0,1149.0,1904.0,7190.0,50,32,52,30,3.68,-0.71,2.97,104.1,99.9,86.8,0.322,0.237,0.473,13.3,25.9,0.248,0.461,13.9,74.0,0.225,The Palace of Auburn Hills,839278,74,31.4,2.13,0.18,2.3,7.98,5140,2812,4.236427071,-0.540234795,3.696192275,9.27137726,8.033733758,1.237643502,4.039663545,-0.410187257,3.629476288,-0.113577766,74,45,29,31.5,98.9,3.2,10.9,16.7,0.9,18.9,0.2,5.6,8.6,7.4,6.0,22.2,0.115,0.0
7,2003-04,2004,Chauncey Billups,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,DET,NBA,PG,78,78,35.4,5.0,12.8,0.394,1.7,4.3,0.388,3.4,8.5,0.396,0.459,5.2,5.9,0.878,0.4,3.1,3.5,5.7,1.1,0.1,2.4,2.3,16.9,2758,7.8,19.7,0.394,2.6,6.6,0.388,5.2,13.1,0.396,8.0,9.1,0.878,0.7,4.8,5.5,8.8,1.7,0.2,3.7,3.5,26.1,112,99,2758,18.6,0.55,0.336,0.462,1.5,10.0,5.8,29.3,1.7,0.2,13.6,23.5,7.1,4.2,11.3,0.198,3.1,0.5,3.6,3.9,82.0,19780.0,2747.0,6314.0,0.435,333.0,968.0,0.344,2414.0,5346.0,0.452,1561.0,2074.0,0.753,1014.0,2492.0,3506.0,1702.0,659.0,570.0,1241.0,1664.0,7388.0,82.0,19780.0,2633.0,6378.0,0.413,356.0,1180.0,0.302,2277.0,5198.0,0.438,1287.0,1730.0,0.744,980.0,2353.0,3333.0,1561.0,649.0,410.0,1310.0,1877.0,6909.0,54,28,59,23,5.84,-0.81,5.04,102.0,95.4,87.9,0.328,0.153,0.461,14.7,30.1,0.247,0.441,15.5,71.8,0.202,The Palace of Auburn Hills,872902,78,35.4,1.33,0.44,1.77,9.41,6707,3639,3.526969671,0.303617358,3.830587029,12.30001098,8.811371996,3.488638982,3.391696133,0.626964219,4.018660352,-0.243828761,78,51,27,35.5,93.8,3.1,8.7,13.7,1.1,18.5,0.1,1.9,10.6,9.3,7.4,25.9,0.179,0.0
8,2004-05,2005,Chauncey Billups,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,28,DET,NBA,PG,80,80,35.8,5.1,11.4,0.442,2.1,4.8,0.426,3.0,6.6,0.454,0.533,4.3,4.8,0.898,0.6,2.8,3.4,5.8,1.0,0.1,2.3,2.4,16.5,2866,7.8,17.5,0.442,3.2,7.4,0.426,4.6,10.1,0.454,6.6,7.3,0.898,0.9,4.3,5.2,8.9,1.6,0.2,3.5,3.7,25.3,121,105,2866,19.0,0.609,0.424,0.418,2.0,9.0,5.5,28.2,1.6,0.2,14.3,20.7,8.6,3.5,12.1,0.202,3.6,0.6,4.2,4.5,82.0,19955.0,2851.0,6421.0,0.444,363.0,1053.0,0.345,2488.0,5368.0,0.463,1588.0,2150.0,0.739,1054.0,2507.0,3561.0,1787.0,576.0,497.0,1133.0,1638.0,7653.0,82.0,19955.0,2791.0,6496.0,0.43,410.0,1213.0,0.338,2381.0,5283.0,0.451,1344.0,1790.0,0.751,928.0,2321.0,3249.0,1618.0,610.0,367.0,1135.0,1851.0,7336.0,54,28,53,29,3.87,-0.55,3.31,105.6,101.2,87.2,0.335,0.164,0.472,13.3,31.2,0.247,0.461,13.5,73.0,0.207,The Palace of Auburn Hills,905116,80,35.8,1.47,1.44,2.91,11.01,7037,3851,3.830071533,0.249725932,4.079797464,13.52072652,9.125332426,4.395394099,3.61483639,0.533287453,4.148123843,-0.349857113,80,53,27,35.9,98.3,2.8,7.8,12.2,1.0,20.3,0.1,2.5,10.5,9.0,9.0,25.5,0.162,0.0
9,2005-06,2006,Chauncey Billups,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,29,DET,NBA,PG,81,81,36.1,5.2,12.5,0.418,2.3,5.2,0.433,3.0,7.2,0.407,0.509,5.7,6.4,0.894,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2.0,18.5,2925,8.0,19.1,0.418,3.5,8.0,0.433,4.5,11.1,0.407,8.8,9.8,0.894,0.8,4.0,4.8,13.2,1.3,0.2,3.2,3.0,28.3,127,107,2925,23.4,0.602,0.42,0.514,1.6,8.7,5.1,39.3,1.3,0.2,12.0,22.9,12.7,2.8,15.5,0.254,6.2,0.1,6.2,6.1,82.0,19830.0,2983.0,6558.0,0.455,557.0,1451.0,0.384,2426.0,5107.0,0.475,1418.0,1950.0,0.727,975.0,2347.0,3322.0,1971.0,580.0,490.0,931.0,1513.0,7941.0,82.0,19830.0,2915.0,6450.0,0.452,329.0,1012.0,0.325,2586.0,5438.0,0.476,1235.0,1677.0,0.736,951.0,2399.0,3350.0,1541.0,481.0,285.0,1145.0,1726.0,7394.0,64,18,60,22,6.67,-0.44,6.24,110.8,103.1,86.8,0.297,0.221,0.497,11.2,28.9,0.216,0.477,13.7,71.2,0.191,The Palace of Auburn Hills,905116,81,36.1,3.49,-0.19,3.3,11.47,6611,3630,6.536574306,-0.950099502,5.586474804,15.38496229,12.73788644,2.647075856,6.238447608,-0.642932293,5.595515315,-0.730761324,81,64,17,36.1,100.5,2.6,7.7,12.4,0.9,16.6,0.1,2.2,9.0,9.2,8.0,29.5,0.142,0.0
