,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2004-05,2005,Matt Bonner,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,TOR,NBA,C,82,0,18.9,3.0,5.6,0.533,0.5,1.1,0.424,2.5,4.5,0.561,0.576,0.7,0.9,0.789,1.3,2.2,3.5,0.6,0.5,0.2,0.5,2.7,7.2,1553,8.2,15.4,0.533,1.3,3.1,0.424,6.9,12.4,0.561,1.9,2.4,0.789,3.6,5.9,9.5,1.6,1.3,0.6,1.3,7.3,19.6,120,110,1553,14.7,0.596,0.199,0.153,7.7,13.1,10.4,5.3,1.3,0.9,7.5,15.7,3.3,0.9,4.2,0.13,0.0,-0.6,-0.6,0.5,82.0,19805.0,2952.0,6656.0,0.444,648.0,1681.0,0.385,2304.0,4975.0,0.463,1626.0,2101.0,0.774,844.0,2444.0,3288.0,1670.0,621.0,317.0,1087.0,1876.0,8178.0,82.0,19805.0,3133.0,6708.0,0.467,435.0,1222.0,0.356,2698.0,5486.0,0.492,1610.0,2165.0,0.744,991.0,2720.0,3711.0,1814.0,507.0,360.0,1182.0,1795.0,8311.0,33,49,36,46,-1.62,-0.19,-1.81,106.9,108.7,92.7,0.316,0.253,0.492,12.5,23.7,0.244,0.499,13.4,71.1,0.24,Air Canada Centre,703388,82,18.9,0.16,0.09,0.25,3.56,3034,1553,-0.312441691,-1.440850357,-1.753292048,0.791894912,0.791894912,0.0,-0.450528017,-1.032871328,-1.483399344,0.252039425,82,33,49,18.8,105.8,2.2,11.8,19.0,0.5,15.5,0.2,16.5,6.4,5.5,4.6,15.7,0.042,0.0
1,2005-06,2006,Matt Bonner,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,TOR,NBA,PF,78,6,21.9,2.7,6.0,0.448,1.3,3.1,0.42,1.4,2.9,0.478,0.557,0.8,1.0,0.829,1.1,2.5,3.6,0.7,0.6,0.4,0.4,2.8,7.5,1710,6.4,14.4,0.448,3.1,7.5,0.42,3.3,6.9,0.478,1.9,2.3,0.829,2.7,6.1,8.8,1.7,1.5,1.0,1.0,6.7,18.0,122,112,1710,13.7,0.582,0.52,0.163,5.9,14.8,10.2,5.2,1.5,1.4,6.0,14.4,3.5,0.5,4.1,0.114,1.3,-0.6,0.7,1.2,82.0,19955.0,3013.0,6639.0,0.454,608.0,1620.0,0.375,2405.0,5019.0,0.479,1653.0,2089.0,0.791,864.0,2291.0,3155.0,1593.0,529.0,272.0,1071.0,1965.0,8287.0,82.0,19955.0,3164.0,6448.0,0.491,508.0,1363.0,0.373,2656.0,5085.0,0.522,1696.0,2267.0,0.748,835.0,2539.0,3374.0,1938.0,518.0,359.0,1165.0,1834.0,8532.0,27,55,33,49,-2.99,-0.04,-3.03,109.5,112.7,91.1,0.315,0.244,0.5,12.4,25.4,0.249,0.53,13.5,73.3,0.263,Air Canada Centre,699332,78,21.9,0.24,0.39,0.63,4.03,3283,1710,0.807772926,-1.573622243,-0.765849317,1.73662568,1.73662568,0.0,0.931800982,-1.184643666,-0.252842684,0.294800126,78,26,52,21.9,109.6,2.5,13.1,20.9,0.6,22.6,0.4,25.6,6.6,5.5,5.2,18.4,0.025,0.0
2,2006-07,2007,Matt Bonner,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,26,SAS,NBA,PF,56,0,11.7,1.9,4.2,0.447,0.6,1.7,0.383,1.3,2.6,0.49,0.523,0.5,0.7,0.711,1.1,1.6,2.8,0.4,0.3,0.2,0.4,1.2,4.9,653,8.7,19.4,0.447,2.9,7.7,0.383,5.7,11.7,0.49,2.2,3.1,0.711,5.2,7.5,12.8,1.8,1.4,0.9,2.0,5.5,22.5,111,100,653,16.4,0.542,0.397,0.16,12.3,16.4,14.4,5.7,1.4,1.2,9.0,20.3,1.1,1.2,2.2,0.163,0.9,-0.7,0.2,0.4,82.0,19780.0,2999.0,6328.0,0.474,595.0,1561.0,0.381,2404.0,4767.0,0.504,1486.0,1980.0,0.751,761.0,2577.0,3338.0,1814.0,587.0,417.0,1137.0,1588.0,8079.0,82.0,19780.0,2860.0,6463.0,0.443,368.0,1101.0,0.334,2492.0,5362.0,0.465,1300.0,1756.0,0.74,829.0,2379.0,3208.0,1416.0,580.0,337.0,1176.0,1739.0,7388.0,58,24,64,18,8.43,-0.08,8.35,109.2,99.9,89.8,0.313,0.247,0.521,13.6,24.2,0.235,0.471,14.0,75.7,0.201,AT&T Center,764823,56,11.7,1.22,0.06,1.28,1.85,1283,678,0.702789549,-0.614445436,0.088344114,0.978810072,1.020935519,-0.042125447,0.998355804,-0.774026326,0.224329477,0.138609411,56,46,10,11.7,102.2,1.6,15.1,22.4,0.3,17.5,0.2,20.0,3.6,3.1,3.2,9.1,0.042,0.0
3,2007-08,2008,Matt Bonner,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,27,SAS,NBA,PF,68,3,12.5,1.8,4.3,0.416,0.7,2.0,0.336,1.1,2.3,0.487,0.495,0.6,0.6,0.864,0.8,2.0,2.8,0.5,0.2,0.3,0.6,1.6,4.8,853,7.7,18.4,0.416,2.9,8.7,0.336,4.8,9.8,0.487,2.4,2.8,0.864,3.4,8.8,12.2,2.0,0.9,1.1,2.5,7.0,20.7,104,102,853,12.4,0.525,0.471,0.151,7.4,19.0,13.3,6.2,0.9,1.5,11.2,19.6,0.5,1.5,2.0,0.11,-1.8,0.3,-1.5,0.1,82.0,19730.0,2938.0,6424.0,0.457,594.0,1610.0,0.369,2344.0,4814.0,0.487,1350.0,1774.0,0.761,771.0,2612.0,3383.0,1718.0,521.0,337.0,1035.0,1537.0,7820.0,82.0,19730.0,2857.0,6431.0,0.444,420.0,1227.0,0.342,2437.0,5204.0,0.468,1293.0,1710.0,0.756,776.0,2527.0,3303.0,1490.0,566.0,361.0,1058.0,1625.0,7427.0,56,26,55,27,4.79,0.31,5.1,107.2,101.8,88.8,0.276,0.251,0.504,12.6,23.4,0.21,0.477,12.8,77.1,0.201,AT&T Center,761149,68,12.5,-0.27,1.97,1.7,2.44,1613,862,-0.735305208,0.035988874,-0.699316334,0.908823724,0.864652535,0.044171189,-0.509461981,-0.207172698,-0.716634679,0.728021808,68,45,23,12.5,95.9,2.0,16.6,24.4,0.2,11.6,0.3,22.7,3.7,2.8,2.6,9.5,0.074,0.0
4,2008-09,2009,Matt Bonner,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,SAS,NBA,PF,81,67,23.8,3.3,6.6,0.496,1.5,3.3,0.44,1.8,3.3,0.552,0.606,0.2,0.3,0.739,1.2,3.6,4.8,1.0,0.6,0.3,0.5,2.3,8.2,1928,7.5,15.1,0.496,3.3,7.5,0.44,4.2,7.5,0.552,0.5,0.6,0.739,2.7,8.1,10.9,2.3,1.3,0.7,1.0,5.4,18.8,123,104,1928,15.0,0.611,0.5,0.043,6.1,17.6,11.9,6.8,1.3,1.0,6.3,14.6,3.8,3.0,6.8,0.169,1.1,1.0,2.1,2.0,82.0,19905.0,3042.0,6534.0,0.466,625.0,1620.0,0.386,2417.0,4914.0,0.492,1249.0,1641.0,0.761,728.0,2638.0,3366.0,1736.0,474.0,329.0,963.0,1546.0,7958.0,82.0,19905.0,2973.0,6568.0,0.453,447.0,1180.0,0.379,2526.0,5388.0,0.469,1257.0,1635.0,0.769,745.0,2570.0,3315.0,1481.0,531.0,352.0,961.0,1511.0,7650.0,54,28,52,30,3.76,-0.4,3.36,108.5,104.3,88.4,0.251,0.248,0.513,11.7,22.1,0.191,0.487,11.7,78.0,0.191,AT&T Center,749048,81,23.8,0.66,3.64,4.3,8.73,3773,2028,1.604000375,2.188266042,3.792266417,6.758240305,6.746863126,0.01137718,1.6367808,2.311923169,3.948703968,-0.002483487,81,54,27,23.8,101.2,3.6,15.6,22.4,0.6,21.3,0.3,16.1,6.0,5.3,5.7,18.2,0.104,0.0
5,2009-10,2010,Matt Bonner,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,SAS,NBA,PF,65,8,17.9,2.6,5.7,0.446,1.4,3.6,0.39,1.2,2.2,0.539,0.567,0.5,0.7,0.729,0.8,2.5,3.3,1.0,0.5,0.4,0.6,1.7,7.0,1161,7.5,16.8,0.446,4.1,10.4,0.39,3.4,6.4,0.539,1.6,2.2,0.729,2.3,7.3,9.7,3.1,1.4,1.1,1.8,4.9,20.6,117,104,1161,14.9,0.581,0.621,0.129,5.3,16.1,10.8,9.0,1.4,1.5,9.0,17.0,2.1,1.6,3.7,0.153,1.8,0.9,2.6,1.3,82.0,19780.0,3150.0,6659.0,0.473,554.0,1547.0,0.358,2596.0,5112.0,0.508,1458.0,1969.0,0.74,887.0,2621.0,3508.0,1829.0,516.0,381.0,1116.0,1669.0,8312.0,82.0,19780.0,3025.0,6691.0,0.452,412.0,1200.0,0.343,2613.0,5491.0,0.476,1433.0,1896.0,0.756,814.0,2427.0,3241.0,1576.0,567.0,417.0,1032.0,1672.0,7895.0,50,32,55,27,5.09,-0.02,5.07,110.0,104.5,91.7,0.296,0.232,0.515,12.9,26.8,0.219,0.483,12.1,76.3,0.214,AT&T Center,741676,65,17.9,2.01,-0.11,1.9,3.72,2574,1334,1.60394842,0.076233461,1.680181882,3.017891248,3.04488455,-0.026993303,1.822841832,-0.100422748,1.722419084,0.265696855,65,40,25,17.9,103.0,2.5,14.0,21.2,0.5,20.4,0.4,20.9,5.5,5.0,5.1,15.2,0.067,0.32
6,2010-11,2011,Matt Bonner,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,30,SAS,NBA,PF,66,1,21.7,2.6,5.6,0.464,1.6,3.5,0.457,1.0,2.1,0.475,0.605,0.5,0.7,0.744,0.9,2.7,3.6,0.9,0.4,0.3,0.4,1.7,7.3,1432,6.2,13.5,0.464,3.8,8.4,0.457,2.4,5.1,0.475,1.2,1.6,0.744,2.2,6.5,8.7,2.2,0.9,0.8,1.0,4.0,17.5,125,108,1432,13.5,0.617,0.62,0.116,5.0,14.2,9.7,6.2,0.9,1.0,6.5,13.4,3.0,1.4,4.4,0.147,1.7,0.2,1.9,1.4,82.0,19780.0,3148.0,6628.0,0.475,685.0,1727.0,0.397,2463.0,4901.0,0.503,1521.0,1984.0,0.767,829.0,2603.0,3432.0,1836.0,602.0,372.0,1101.0,1556.0,8502.0,82.0,19780.0,3127.0,6860.0,0.456,479.0,1305.0,0.367,2648.0,5555.0,0.477,1301.0,1698.0,0.766,884.0,2494.0,3378.0,1685.0,567.0,374.0,1095.0,1701.0,8034.0,61,21,56,26,5.71,0.16,5.86,111.8,105.6,92.3,0.299,0.261,0.527,12.8,24.9,0.229,0.491,12.6,74.6,0.19,AT&T Center,750879,66,21.7,0.38,1.41,1.79,4.68,3020,1555,1.601245928,-0.616639297,0.984606631,2.961399409,2.695193051,0.266206357,1.60040755,-0.66074415,0.9396634,-0.326437085,66,48,18,21.7,102.4,2.7,12.7,19.2,0.4,12.8,0.3,15.9,6.3,6.3,6.0,18.2,0.082,-0.14
7,2011-12,2012,Matt Bonner,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,SAS,NBA,PF,65,2,20.4,2.4,5.4,0.44,1.6,3.8,0.42,0.8,1.5,0.49,0.59,0.2,0.3,0.762,0.4,2.8,3.3,0.9,0.2,0.3,0.2,1.0,6.6,1326,6.0,13.6,0.44,4.1,9.7,0.42,1.9,3.9,0.49,0.6,0.8,0.762,1.1,7.2,8.3,2.4,0.6,0.8,0.5,2.6,16.7,124,106,1326,13.2,0.597,0.714,0.06,2.6,15.7,9.3,6.5,0.6,1.1,3.8,12.8,2.7,1.2,4.0,0.143,2.4,0.3,2.6,1.5,66.0,15940.0,2611.0,5463.0,0.478,552.0,1405.0,0.393,2059.0,4058.0,0.507,1067.0,1427.0,0.748,683.0,2153.0,2836.0,1528.0,490.0,293.0,895.0,1143.0,6841.0,66.0,15940.0,2512.0,5560.0,0.452,412.0,1166.0,0.353,2100.0,4394.0,0.478,932.0,1233.0,0.756,680.0,2039.0,2719.0,1291.0,489.0,330.0,906.0,1244.0,6368.0,50,16,48,18,7.17,0.11,7.28,110.9,103.2,92.9,0.261,0.257,0.528,12.8,25.1,0.195,0.489,12.9,76.0,0.168,AT&T Center,607095,65,20.4,1.45,1.52,2.97,4.72,2917,1491,1.659044007,-0.527146664,1.131897343,2.937572307,2.891837534,0.045734773,1.704409756,-0.753630296,0.95077946,-0.346051398,65,49,16,20.4,99.5,2.8,13.8,20.8,0.2,8.3,0.3,16.7,5.6,4.9,5.7,15.4,0.079,0.41
8,2012-13,2013,Matt Bonner,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,32,SAS,NBA,PF,68,4,13.4,1.6,3.4,0.487,0.8,1.8,0.442,0.9,1.6,0.536,0.602,0.2,0.2,0.733,0.4,1.5,1.9,0.5,0.3,0.3,0.2,1.3,4.2,909,6.3,12.9,0.487,3.0,6.7,0.442,3.3,6.2,0.536,0.6,0.8,0.733,1.4,5.8,7.2,2.0,1.0,1.1,0.9,4.8,16.1,119,104,909,11.8,0.609,0.522,0.065,3.4,12.5,8.2,5.8,1.0,1.5,6.3,12.8,1.4,1.1,2.5,0.133,-0.2,0.4,0.2,0.5,82.0,19880.0,3210.0,6675.0,0.481,663.0,1764.0,0.376,2547.0,4911.0,0.519,1365.0,1725.0,0.791,666.0,2721.0,3387.0,2058.0,695.0,446.0,1206.0,1427.0,8448.0,82.0,19880.0,3079.0,6960.0,0.442,519.0,1471.0,0.353,2560.0,5489.0,0.466,1246.0,1639.0,0.76,912.0,2577.0,3489.0,1756.0,675.0,405.0,1221.0,1565.0,7923.0,58,24,58,24,6.4,0.27,6.67,108.3,101.6,94.2,0.258,0.264,0.531,14.0,20.5,0.204,0.48,13.7,74.9,0.179,AT&T Center,755700,68,13.4,0.18,-1.38,-1.2,0.83,2308,1176,0.313791352,-0.680709854,-0.366918502,1.457540227,0.900285106,0.557255122,0.090208232,-0.740547746,-0.650339514,-0.025085462,68,47,21,13.4,101.1,1.5,11.6,17.7,0.3,11.5,0.3,27.9,4.9,3.1,4.6,11.1,0.051,-0.07
9,2013-14,2014,Matt Bonner,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,33,SAS,NBA,PF,61,0,11.3,1.2,2.7,0.445,0.7,1.6,0.429,0.5,1.1,0.47,0.573,0.1,0.2,0.75,0.3,1.9,2.1,0.5,0.2,0.2,0.3,0.8,3.2,690,5.3,12.0,0.445,3.1,7.2,0.429,2.3,4.8,0.47,0.7,0.9,0.75,1.2,8.3,9.5,2.3,1.1,0.8,1.2,3.6,14.4,114,103,690,11.2,0.582,0.598,0.073,2.7,17.9,10.6,6.1,1.1,1.2,8.6,12.1,0.8,1.0,1.8,0.123,0.0,1.1,1.0,0.5,82.0,19755.0,3326.0,6844.0,0.486,698.0,1757.0,0.397,2628.0,5087.0,0.517,1289.0,1642.0,0.785,762.0,2786.0,3548.0,2064.0,604.0,420.0,1180.0,1495.0,8639.0,82.0,19755.0,3096.0,6976.0,0.444,529.0,1500.0,0.353,2567.0,5476.0,0.469,1285.0,1691.0,0.76,862.0,2600.0,3462.0,1669.0,628.0,379.0,1137.0,1585.0,8006.0,62,20,61,21,7.72,0.28,8.0,110.5,102.4,95.0,0.24,0.257,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,AT&T Center,755031,61,11.3,-1.3,1.5,0.2,1.4,1653,826,-0.3680028,0.960507952,0.592505151,1.420802941,0.928864489,0.491938452,-1.228829788,0.297756131,-0.931073656,-0.514935576,61,43,18,11.3,100.9,1.9,16.3,24.3,0.2,15.0,0.2,19.0,3.0,2.5,2.9,9.8,0.046,0.63
