,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2015-16,2016,Delon Wright,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,TOR,NBA,PG,27,1,8.5,1.3,3.0,0.45,0.2,0.5,0.385,1.1,2.5,0.463,0.481,1.0,1.3,0.743,0.3,1.1,1.4,1.1,0.3,0.1,0.6,0.3,3.8,229,8.1,18.1,0.45,1.1,2.9,0.385,7.0,15.1,0.463,5.9,7.9,0.743,1.8,6.5,8.3,7.0,1.8,0.7,3.6,1.6,23.2,109,106,229,17.8,0.54,0.163,0.438,4.1,14.3,9.3,22.5,1.8,1.1,14.4,22.1,0.3,0.2,0.6,0.124,1.1,-0.3,0.9,0.2,82.0,19780.0,3006.0,6669.0,0.451,708.0,1915.0,0.37,2298.0,4754.0,0.483,1702.0,2190.0,0.777,836.0,2724.0,3560.0,1536.0,636.0,449.0,1073.0,1610.0,8422.0,82.0,19780.0,2991.0,6732.0,0.444,717.0,1922.0,0.373,2274.0,4810.0,0.473,1354.0,1809.0,0.748,782.0,2561.0,3343.0,1781.0,534.0,442.0,1094.0,1801.0,8053.0,56,26,53,29,4.5,-0.42,4.08,110.0,105.2,92.9,0.328,0.287,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,Air Canada Centre,812863,27,8.5,-2.26,-0.12,-2.38,-0.01,541,270,-0.513511538,1.902009476,1.388497939,0.574753587,0.368323947,0.20642964,-0.736867598,-0.407366933,-1.144234532,-0.776551467,27,19,8,8.5,99.6,1.1,12.0,17.0,0.3,22.2,0.1,12.5,2.6,2.3,1.6,6.8,0.039,-0.65
1,2016-17,2017,Delon Wright,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,TOR,NBA,PG,27,0,16.5,1.8,4.3,0.422,0.4,1.1,0.333,1.4,3.2,0.453,0.466,1.6,2.0,0.764,0.6,1.2,1.8,2.1,1.0,0.4,0.9,1.1,5.6,446,5.6,13.2,0.422,1.1,3.4,0.333,4.4,9.8,0.453,4.8,6.3,0.764,1.8,3.6,5.5,6.5,3.1,1.3,2.8,3.5,17.0,111,107,446,15.0,0.535,0.259,0.474,4.1,8.1,6.1,18.2,3.1,2.1,15.1,16.6,0.5,0.6,1.1,0.117,-0.1,2.1,2.0,0.5,82.0,19780.0,3211.0,6918.0,0.464,725.0,1996.0,0.363,2486.0,4922.0,0.505,1615.0,2028.0,0.796,871.0,2676.0,3547.0,1517.0,677.0,400.0,1041.0,1708.0,8762.0,82.0,19780.0,3052.0,6801.0,0.449,794.0,2240.0,0.354,2258.0,4561.0,0.495,1519.0,1948.0,0.78,831.0,2619.0,3450.0,1786.0,547.0,392.0,1200.0,1666.0,8417.0,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,94.7,0.293,0.289,0.517,11.8,25.0,0.233,0.507,13.5,76.3,0.223,Air Canada Centre,813050,27,16.5,-1.84,2.09,0.25,0.63,1062,538,-0.34621078,4.033265627,3.687054847,1.760251713,1.404950674,0.355301039,-0.8914515,3.02592861,2.13447711,-0.980542782,27,19,8,16.5,95.7,1.2,7.3,10.4,1.0,32.1,0.4,21.6,5.4,3.6,3.0,11.6,0.104,0.32
2,2017-18,2018,Delon Wright,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,TOR,NBA,PG,69,4,20.8,2.9,6.3,0.465,0.8,2.2,0.366,2.1,4.0,0.52,0.53,1.4,1.7,0.829,0.7,2.2,2.9,2.9,1.0,0.5,1.1,1.2,8.0,1433,6.9,14.9,0.465,1.9,5.3,0.366,5.0,9.6,0.52,3.3,4.0,0.829,1.5,5.3,6.8,6.9,2.5,1.1,2.7,2.8,19.1,116,105,1433,16.5,0.574,0.354,0.271,3.6,11.7,7.7,19.6,2.5,1.8,13.9,17.2,2.5,2.1,4.5,0.152,1.4,1.8,3.3,1.9,82.0,19830.0,3383.0,7169.0,0.472,968.0,2705.0,0.358,2415.0,4464.0,0.541,1422.0,1790.0,0.794,800.0,2807.0,3607.0,1995.0,626.0,500.0,1095.0,1783.0,9156.0,82.0,19830.0,3149.0,7017.0,0.449,731.0,2046.0,0.357,2418.0,4971.0,0.486,1489.0,1941.0,0.767,806.0,2672.0,3478.0,1785.0,588.0,401.0,1176.0,1633.0,8518.0,59,23,60,22,7.78,-0.49,7.29,113.8,105.9,97.4,0.25,0.377,0.539,12.1,23.0,0.198,0.501,13.0,77.7,0.212,Air Canada Centre,813431,69,20.8,-0.05,2.5,2.46,3.59,3352,1648,1.394976489,2.240844937,3.635821426,5.35095193,4.481345501,0.869606428,1.397815186,1.648876185,3.046691371,-0.869023602,69,49,20,20.8,102.7,2.2,10.7,15.9,1.0,27.7,0.5,16.3,6.5,6.0,4.7,19.2,0.086,0.19
3,2018-19,2019,Delon Wright,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,TOR,NBA,PG,49,2,18.3,2.6,6.0,0.433,0.6,1.8,0.333,2.0,4.1,0.478,0.485,1.1,1.2,0.869,0.8,1.8,2.6,2.2,0.9,0.3,0.8,1.1,6.9,897,6.8,15.7,0.433,1.6,4.8,0.333,5.2,10.8,0.478,2.8,3.3,0.869,2.1,4.6,6.7,5.9,2.5,0.8,2.0,2.8,18.0,113,107,897,14.5,0.527,0.307,0.208,4.8,10.1,7.5,16.8,2.5,1.4,10.4,17.1,1.0,1.3,2.3,0.123,0.1,1.6,1.7,0.8,82.0,19880.0,3460.0,7305.0,0.474,1015.0,2771.0,0.366,2445.0,4534.0,0.539,1449.0,1803.0,0.804,786.0,2920.0,3706.0,2085.0,680.0,437.0,1150.0,1724.0,9384.0,82.0,19880.0,3302.0,7352.0,0.449,882.0,2559.0,0.345,2420.0,4793.0,0.505,1399.0,1829.0,0.765,867.0,2804.0,3671.0,2012.0,622.0,368.0,1225.0,1683.0,8885.0,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,100.2,0.247,0.379,0.543,12.4,21.9,0.198,0.509,13.1,77.1,0.19,Scotiabank Arena,812822,75,22.7,-0.52,0.37,-0.15,1.34,3586,1699,0.482275973,2.004638512,2.486914485,4.504778666,4.504778666,0.0,-0.119078261,2.254855784,2.135777523,-0.800096356,75,45,30,22.6,106.4,2.6,11.3,16.7,1.2,27.5,0.4,17.0,7.2,6.0,7.8,22.6,0.085,0.06
4,2018-19,2019,Delon Wright,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,MEM,NBA,PG,26,11,30.8,4.4,10.2,0.434,0.8,3.0,0.256,3.7,7.2,0.508,0.472,2.5,3.4,0.742,1.1,4.3,5.4,5.3,1.6,0.6,1.5,1.9,12.2,802,7.1,16.4,0.434,1.2,4.8,0.256,5.9,11.6,0.508,4.1,5.5,0.742,1.8,6.9,8.7,8.6,2.6,0.9,2.5,3.1,19.6,110,107,802,16.6,0.519,0.294,0.336,4.0,15.9,9.9,26.9,2.6,1.8,11.6,19.2,0.9,1.1,2.0,0.119,0.0,1.2,1.2,0.6,82.0,19880.0,3113.0,6924.0,0.45,811.0,2368.0,0.342,2302.0,4556.0,0.505,1453.0,1882.0,0.772,723.0,2703.0,3426.0,1963.0,684.0,448.0,1147.0,1801.0,8490.0,82.0,19880.0,3083.0,6836.0,0.451,951.0,2639.0,0.36,2132.0,4197.0,0.508,1586.0,2023.0,0.784,781.0,2883.0,3664.0,1920.0,625.0,402.0,1249.0,1758.0,8703.0,33,49,34,48,-2.6,0.51,-2.08,106.1,108.8,96.6,0.272,0.342,0.508,12.9,20.0,0.21,0.521,13.9,77.6,0.232,FedEx Forum,638332,75,22.7,-0.52,0.37,-0.15,1.34,3586,1699,0.482275973,2.004638512,2.486914485,4.504778666,4.504778666,0.0,-0.119078261,2.254855784,2.135777523,-0.800096356,75,45,30,22.6,106.4,2.6,11.3,16.7,1.2,27.5,0.4,17.0,7.2,6.0,7.8,22.6,0.085,0.06
5,2019-20,2020,Delon Wright,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,DAL,NBA,PG,73,5,21.5,2.6,5.6,0.462,0.6,1.7,0.37,2.0,3.9,0.504,0.519,1.1,1.4,0.77,1.0,2.9,3.8,3.3,1.2,0.3,1.0,1.3,6.9,1570,5.8,12.7,0.462,1.4,3.9,0.37,4.4,8.7,0.504,2.4,3.1,0.77,2.2,6.5,8.6,7.5,2.6,0.7,2.2,2.9,15.5,120,110,1570,15.4,0.554,0.309,0.243,4.7,13.8,9.4,21.0,2.6,1.2,13.8,14.4,2.6,1.8,4.4,0.134,0.0,1.9,1.9,1.5,75.0,18175.0,3124.0,6772.0,0.461,1136.0,3095.0,0.367,1988.0,3677.0,0.541,1392.0,1787.0,0.779,791.0,2729.0,3520.0,1849.0,460.0,363.0,953.0,1462.0,8776.0,75.0,18175.0,3143.0,6868.0,0.458,919.0,2615.0,0.351,2224.0,4253.0,0.523,1200.0,1578.0,0.76,782.0,2625.0,3407.0,1794.0,525.0,311.0,896.0,1601.0,8405.0,43,32,49,26,4.95,-0.07,4.87,116.7,111.7,99.3,0.264,0.457,0.545,11.2,23.2,0.206,0.525,10.6,77.7,0.175,American Airlines Center,682096,73,21.5,-0.68,-0.96,-1.64,0.54,3440,1623,0.363790186,0.424905359,0.788695545,2.915670723,2.887300061,0.028370662,0.389799527,0.372512216,0.762311743,-0.593816171,73,42,31,21.5,109.5,2.9,12.4,18.2,1.2,39.5,0.3,13.8,6.6,6.0,7.0,22.2,0.06,-0.11
6,2020-21,2021,Delon Wright,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,DET,NBA,PG,36,31,29.2,3.8,8.1,0.464,0.9,2.5,0.348,2.9,5.7,0.515,0.517,2.0,2.5,0.789,1.0,3.5,4.6,5.0,1.6,0.5,1.3,1.3,10.4,1052,6.3,13.7,0.464,1.4,4.1,0.348,4.9,9.5,0.515,3.3,4.2,0.789,1.7,5.9,7.6,8.4,2.7,0.9,2.2,2.1,17.4,119,111,1052,16.5,0.562,0.304,0.307,3.9,13.6,8.7,25.7,2.7,1.6,12.6,15.8,1.7,1.3,2.9,0.134,0.7,2.2,2.8,1.2,72.0,17430.0,2783.0,6162.0,0.452,832.0,2370.0,0.351,1951.0,3792.0,0.515,1278.0,1683.0,0.759,694.0,2381.0,3075.0,1743.0,531.0,371.0,1075.0,1477.0,7676.0,72.0,17430.0,2980.0,6260.0,0.476,817.0,2260.0,0.362,2163.0,4000.0,0.541,1221.0,1607.0,0.76,717.0,2475.0,3192.0,1785.0,578.0,419.0,1004.0,1469.0,7998.0,20,52,26,46,-4.47,0.09,-4.38,108.0,112.5,97.9,0.273,0.385,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,Little Caesars Arena,14250,63,27.7,-1.24,0.19,-1.05,1.6,3602,1748,0.9157397604589792,1.70784589446429,2.62358565492327,4.746659369428078,4.746659369428078,0.0,0.833911996307376,1.832711767886028,2.666623764193404,-1.300450610780216,63,21,42,27.7,111.8,3.2,12.2,18.3,1.6,32.1,0.5,16.9,9.1,7.5,6.7,29.5,0.07,0.86
7,2020-21,2021,Delon Wright,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,SAC,NBA,PG,27,8,25.8,3.9,8.3,0.462,1.2,3.1,0.398,2.6,5.3,0.5,0.536,1.1,1.3,0.833,1.0,2.9,3.9,3.6,1.6,0.4,1.3,1.1,10.0,696,7.2,15.5,0.462,2.3,5.7,0.398,4.9,9.8,0.5,2.1,2.5,0.833,1.9,5.3,7.2,6.7,3.0,0.8,2.4,2.1,18.7,115,115,696,15.9,0.563,0.369,0.16,4.4,12.5,8.4,18.9,3.0,1.3,12.7,17.1,0.8,0.5,1.3,0.092,0.5,0.6,1.2,0.6,72.0,17305.0,3067.0,6382.0,0.481,874.0,2400.0,0.364,2193.0,3982.0,0.551,1181.0,1585.0,0.745,674.0,2307.0,2981.0,1836.0,543.0,358.0,963.0,1400.0,8189.0,72.0,17305.0,3139.0,6438.0,0.488,893.0,2349.0,0.38,2246.0,4089.0,0.549,1283.0,1631.0,0.787,767.0,2489.0,3256.0,1823.0,545.0,336.0,988.0,1348.0,8454.0,31,41,28,44,-3.68,0.23,-3.45,113.6,117.2,100.0,0.248,0.376,0.549,12.0,21.3,0.185,0.557,12.1,75.0,0.199,Golden 1 Center,0,63,27.7,-1.24,0.19,-1.05,1.6,3602,1748,0.9157397604589792,1.70784589446429,2.62358565492327,4.746659369428078,4.746659369428078,0.0,0.833911996307376,1.832711767886028,2.666623764193404,-1.300450610780216,63,21,42,27.7,111.8,3.2,12.2,18.3,1.6,32.1,0.5,16.9,9.1,7.5,6.7,29.5,0.07,0.86
8,2021-22,2022,Delon Wright,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,ATL,NBA,SG,77,8,18.9,1.6,3.5,0.454,0.6,1.5,0.379,1.0,2.0,0.51,0.535,0.7,0.8,0.857,0.6,2.2,2.9,2.4,1.2,0.2,0.6,0.7,4.4,1452,4.1,9.1,0.454,1.5,3.9,0.379,2.6,5.2,0.51,1.8,2.1,0.857,1.7,5.8,7.4,6.4,3.1,0.6,1.5,1.9,11.6,126,112,1452,13.8,0.576,0.431,0.234,3.8,12.7,8.3,16.6,3.1,1.2,13.2,10.3,2.2,1.5,3.6,0.121,-0.2,2.4,2.2,1.6,82.0,19705.0,3401.0,7241.0,0.47,1056.0,2821.0,0.374,2345.0,4420.0,0.531,1485.0,1829.0,0.812,823.0,2783.0,3606.0,2017.0,587.0,348.0,972.0,1534.0,9343.0,82.0,19705.0,3435.0,7294.0,0.471,1051.0,2888.0,0.364,2384.0,4406.0,0.541,1294.0,1634.0,0.792,838.0,2758.0,3596.0,2085.0,576.0,367.0,1046.0,1668.0,9215.0,43,39,45,37,1.56,-0.01,1.55,116.5,114.9,97.7,0.253,0.39,0.543,10.8,23.0,0.205,0.543,11.5,76.9,0.177,State Farm Arena,672742,77,18.9,-1.67,-0.62,-2.29,2.39,3272,1589,-0.2547511620299737,2.544225362262006,2.289474200232032,4.07124251452159,3.200053400018408,0.8711891145031824,-0.3434305098525545,2.1049460801916,1.761515570339046,-1.497641321197389,77,42,35,18.9,108.8,2.2,11.6,17.1,1.2,38.1,0.2,14.1,5.9,5.1,4.2,18.3,0.064,0.87
9,2022-23,2023,Delon Wright,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,WAS,NBA,PG,50,14,24.4,2.8,5.8,0.474,0.8,2.4,0.345,1.9,3.4,0.564,0.545,1.0,1.2,0.867,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,7.4,1221,5.5,11.6,0.474,1.6,4.7,0.345,3.9,6.9,0.564,2.1,2.4,0.867,2.3,4.9,7.2,7.7,3.7,0.7,1.8,2.4,14.7,127,112,1221,16.3,0.581,0.409,0.206,5.5,10.7,8.2,20.9,3.7,1.2,12.2,12.9,2.1,1.6,3.7,0.146,0.4,3.1,3.4,1.7,82.0,19755.0,3456.0,7127.0,0.485,925.0,2601.0,0.356,2531.0,4526.0,0.559,1442.0,1838.0,0.785,774.0,2804.0,3578.0,2083.0,561.0,424.0,1158.0,1539.0,9279.0,82.0,19755.0,3481.0,7363.0,0.473,984.0,2688.0,0.366,2497.0,4675.0,0.534,1432.0,1794.0,0.798,883.0,2645.0,3528.0,2035.0,581.0,406.0,1008.0,1590.0,9378.0,35,47,38,44,-1.21,0.15,-1.06,114.4,115.6,98.6,0.258,0.365,0.55,12.7,22.6,0.202,0.54,11.0,76.1,0.194,Capital One Arena,710481,50,24.4,-0.14,0.44,0.3,3.61,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,26,24,24.4,110.9,2.4,9.7,14.4,1.8,45.5,0.3,12.2,9.7,7.5,7.0,26.1,0.086,0.87
