,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2001-02,2002,Gerald Wallace,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,19,SAC,NBA,SF,54,1,8.0,1.4,3.2,0.429,0.0,0.1,0.0,1.4,3.1,0.446,0.429,0.4,0.9,0.5,0.9,0.7,1.6,0.5,0.4,0.1,0.4,0.9,3.2,430,8.8,20.4,0.429,0.0,0.8,0.0,8.8,19.6,0.446,2.7,5.4,0.5,5.7,4.7,10.4,3.2,2.2,0.7,2.6,5.4,20.2,97,102,430,13.3,0.443,0.04,0.263,12.4,9.8,11.1,9.6,2.2,0.9,10.1,22.0,0.1,0.6,0.6,0.071,-2.0,-0.4,-2.4,0.0,82.0,19755.0,3267.0,7003.0,0.467,426.0,1160.0,0.367,2841.0,5843.0,0.486,1618.0,2154.0,0.751,1013.0,2702.0,3715.0,1958.0,741.0,375.0,1128.0,1560.0,8578.0,82.0,19755.0,3128.0,7108.0,0.44,386.0,1145.0,0.337,2742.0,5963.0,0.46,1312.0,1764.0,0.744,1065.0,2617.0,3682.0,1839.0,633.0,387.0,1246.0,1827.0,7954.0,61,21,61,21,7.61,0.0,7.61,109.0,101.1,95.6,0.308,0.166,0.497,12.4,27.9,0.231,0.467,13.6,71.7,0.185,ARCO Arena (II),709997,54,8.0,0.46,-1.11,-0.64,0.6,894,444,-1.667673647,-0.053999067,-1.721672714,0.231898075,0.263367619,-0.031469544,-1.773556863,-1.015854146,-2.789411009,0.137557948,54,43,11,8.0,96.6,0.7,7.7,12.3,0.4,24.4,0.1,14.6,3.0,3.3,1.6,6.4,0.039,0.0
1,2002-03,2003,Gerald Wallace,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,20,SAC,NBA,SF,47,7,12.1,1.9,3.9,0.492,0.0,0.1,0.25,1.9,3.8,0.497,0.495,0.8,1.6,0.527,0.8,1.9,2.7,0.5,0.5,0.3,0.9,1.4,4.7,571,7.9,16.1,0.492,0.1,0.4,0.25,7.8,15.8,0.497,3.4,6.5,0.527,3.3,7.9,11.3,2.0,2.1,1.3,3.9,6.0,19.4,94,98,571,12.5,0.51,0.022,0.404,7.5,16.0,12.0,6.1,2.1,1.7,17.0,20.1,-0.1,1.0,0.9,0.074,-3.0,0.8,-2.3,0.0,82.0,19830.0,3242.0,6990.0,0.464,491.0,1288.0,0.381,2751.0,5702.0,0.482,1367.0,1832.0,0.746,900.0,2751.0,3651.0,2034.0,736.0,457.0,1192.0,1666.0,8342.0,82.0,19830.0,2991.0,7125.0,0.42,373.0,1166.0,0.32,2618.0,5959.0,0.439,1454.0,1962.0,0.741,1145.0,2614.0,3759.0,1759.0,684.0,356.0,1262.0,1635.0,7809.0,59,23,59,23,6.5,0.18,6.68,105.9,99.1,95.4,0.262,0.184,0.499,13.3,25.6,0.196,0.446,13.6,70.6,0.204,ARCO Arena (II),709997,47,12.1,-1.37,-0.44,-1.81,0.49,1184,589,-2.723890033,0.119116878,-2.604773155,0.040228227,0.121430124,-0.081201898,-2.836235901,-0.621398481,-3.457634382,0.521019928,47,35,12,12.2,95.3,1.9,14.1,22.6,0.5,23.5,0.3,19.5,3.6,3.5,3.2,9.8,0.059,0.0
2,2003-04,2004,Gerald Wallace,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,SAC,NBA,SF,37,1,9.1,0.9,2.4,0.36,0.0,0.1,0.0,0.9,2.4,0.368,0.36,0.3,0.6,0.458,0.9,1.1,2.0,0.5,0.4,0.4,0.2,1.0,2.0,337,4.9,13.7,0.36,0.0,0.3,0.0,4.9,13.4,0.368,1.7,3.7,0.458,5.4,6.0,11.4,2.9,2.1,2.1,1.2,5.7,11.5,96,104,337,10.6,0.377,0.022,0.27,12.1,12.8,12.4,8.2,2.1,2.9,7.4,14.4,0.0,0.3,0.4,0.052,-2.5,-0.4,-3.0,-0.1,82.0,19780.0,3103.0,6711.0,0.462,601.0,1498.0,0.401,2502.0,5213.0,0.48,1626.0,2044.0,0.795,888.0,2492.0,3380.0,2152.0,710.0,325.0,1137.0,1586.0,8433.0,82.0,19780.0,3140.0,6920.0,0.454,409.0,1205.0,0.339,2731.0,5715.0,0.478,1333.0,1780.0,0.749,1080.0,2521.0,3601.0,1743.0,651.0,413.0,1225.0,1817.0,8022.0,55,27,55,27,5.01,0.4,5.41,110.3,104.9,92.8,0.305,0.223,0.507,13.0,26.0,0.242,0.483,13.7,69.8,0.193,ARCO Arena (II),709997,37,9.1,-2.12,1.43,-0.68,0.59,698,357,-3.255846902,0.161008369,-3.094838533,-0.06654759,0.002626553,-0.069174143,-3.40889222,-0.574151644,-3.983043864,-0.134120282,37,24,13,9.1,98.5,1.1,11.6,19.7,0.4,21.9,0.4,42.4,3.0,2.9,2.1,6.9,0.032,0.0
3,2004-05,2005,Gerald Wallace,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,CHA,NBA,SF,70,68,30.7,4.1,9.1,0.449,0.2,0.9,0.274,3.8,8.2,0.468,0.462,2.7,4.1,0.661,1.7,3.8,5.5,2.0,1.7,1.3,2.3,2.6,11.1,2147,6.9,15.4,0.449,0.4,1.5,0.274,6.5,13.9,0.468,4.6,7.0,0.661,2.9,6.5,9.4,3.3,2.8,2.2,3.9,4.4,18.9,97,104,2147,14.1,0.51,0.097,0.454,6.0,15.1,10.3,10.4,2.8,3.2,17.2,19.1,-0.2,2.7,2.4,0.055,-1.2,1.4,0.2,1.2,82.0,19880.0,2961.0,6859.0,0.432,320.0,881.0,0.363,2641.0,5978.0,0.442,1487.0,2096.0,0.709,1083.0,2335.0,3418.0,1794.0,695.0,440.0,1192.0,1894.0,7729.0,82.0,19880.0,3015.0,6507.0,0.463,442.0,1224.0,0.361,2573.0,5283.0,0.487,1748.0,2279.0,0.767,959.0,2586.0,3545.0,1768.0,624.0,446.0,1297.0,1858.0,8220.0,18,64,24,58,-5.99,-0.16,-6.15,101.1,107.5,92.3,0.306,0.128,0.455,13.3,29.5,0.217,0.497,14.7,70.9,0.269,Charlotte Coliseum,591701,70,30.7,-0.89,1.26,0.37,5.16,4176,2147,-1.758390186,2.68899795,0.930607765,4.032874051,4.032874051,0.0,-1.638719676,2.436186178,0.797466502,0.025989098,70,16,54,30.7,103.7,3.8,13.4,21.3,1.7,29.1,1.3,36.1,10.8,8.1,8.7,25.7,0.089,0.0
4,2005-06,2006,Gerald Wallace,9,0.0,1.0,0.0,False,0.0,27.0,500.0,23,CHA,NBA,SF,55,52,34.5,5.8,10.7,0.538,0.3,0.9,0.28,5.5,9.8,0.562,0.55,3.4,5.6,0.614,2.2,5.3,7.5,1.7,2.5,2.1,1.8,2.7,15.2,1895,8.6,16.0,0.538,0.4,1.4,0.28,8.2,14.6,0.562,5.1,8.3,0.614,3.3,7.8,11.2,2.6,3.7,3.1,2.7,4.1,22.7,112,100,1895,21.3,0.578,0.085,0.52,7.1,18.9,12.6,8.8,3.7,4.7,12.0,19.3,3.0,3.4,6.4,0.163,2.0,2.9,4.9,3.2,82.0,19905.0,2961.0,6843.0,0.433,428.0,1261.0,0.339,2533.0,5582.0,0.454,1593.0,2186.0,0.729,990.0,2270.0,3260.0,1717.0,822.0,354.0,1167.0,1960.0,7943.0,82.0,19905.0,3065.0,6410.0,0.478,458.0,1285.0,0.356,2607.0,5125.0,0.509,1683.0,2283.0,0.737,940.0,2667.0,3607.0,1881.0,577.0,441.0,1464.0,1929.0,8271.0,26,56,30,52,-4.0,0.1,-3.9,102.5,106.7,93.4,0.319,0.184,0.464,13.0,27.1,0.233,0.514,16.5,70.7,0.263,Charlotte Bobcats Arena,671011,55,34.5,1.39,1.45,2.84,7.56,3730,1895,1.580578179,3.236703647,4.817281826,7.310357914,7.310357914,0.0,1.467082304,3.503630068,4.970712372,-0.074013012,55,19,36,34.5,105.6,5.3,16.8,27.2,2.5,34.8,2.1,54.0,10.6,9.9,7.5,32.1,0.082,0.0
5,2006-07,2007,Gerald Wallace,7,0.0,2.0,3.0,False,1.0,27.0,500.0,24,CHA,NBA,SF,72,71,36.7,6.6,13.2,0.502,0.5,1.7,0.325,6.1,11.6,0.528,0.523,4.3,6.2,0.691,2.0,5.2,7.2,2.6,2.0,1.0,2.2,2.9,18.1,2640,9.4,18.8,0.502,0.8,2.4,0.325,8.7,16.4,0.528,6.1,8.8,0.691,2.8,7.4,10.2,3.7,2.8,1.4,3.2,4.1,25.8,110,104,2640,19.8,0.568,0.126,0.47,6.2,17.4,11.6,12.5,2.8,2.0,12.2,22.5,4.2,3.5,7.7,0.141,2.2,1.5,3.7,3.7,82.0,20005.0,2960.0,6643.0,0.446,457.0,1280.0,0.357,2503.0,5363.0,0.467,1568.0,2136.0,0.734,920.0,2346.0,3266.0,1836.0,638.0,369.0,1224.0,1985.0,7945.0,82.0,20005.0,2999.0,6450.0,0.465,452.0,1245.0,0.363,2547.0,5205.0,0.489,1802.0,2404.0,0.75,929.0,2562.0,3491.0,1717.0,603.0,437.0,1296.0,1786.0,8252.0,33,49,30,52,-3.74,-0.22,-3.97,103.6,107.6,92.0,0.322,0.193,0.48,13.9,26.4,0.236,0.5,14.7,71.6,0.279,Charlotte Bobcats Arena,637520,72,36.7,0.58,0.71,1.29,7.9,5118,2640,0.943764517,1.907304379,2.851068896,7.546231889,7.546231889,0.0,0.965927235,2.189114267,3.155041502,0.02460851,72,29,43,36.7,106.3,5.2,15.6,24.8,2.0,31.6,1.0,26.6,12.3,9.6,10.1,32.6,0.084,0.0
6,2007-08,2008,Gerald Wallace,-1,0.0,2.0,0.0,False,0.0,0.0,500.0,25,CHA,NBA,PF,62,59,38.3,6.6,14.6,0.449,1.1,3.6,0.321,5.4,11.1,0.491,0.488,5.0,6.9,0.731,0.9,5.1,6.0,3.5,2.1,0.9,2.9,3.0,19.4,2376,9.0,20.0,0.449,1.6,4.9,0.321,7.4,15.1,0.491,6.9,9.4,0.731,1.3,6.9,8.2,4.8,2.9,1.3,4.0,4.2,26.4,104,106,2376,17.5,0.547,0.243,0.471,2.8,15.3,9.0,15.9,2.9,1.9,14.1,24.6,1.8,2.8,4.6,0.094,0.8,1.3,2.1,2.5,82.0,19880.0,2960.0,6554.0,0.452,529.0,1443.0,0.367,2431.0,5111.0,0.476,1510.0,2115.0,0.714,892.0,2440.0,3332.0,1748.0,614.0,402.0,1204.0,1777.0,7959.0,82.0,19880.0,3115.0,6684.0,0.466,517.0,1456.0,0.355,2598.0,5228.0,0.497,1571.0,2102.0,0.747,999.0,2588.0,3587.0,1785.0,625.0,476.0,1177.0,1721.0,8318.0,32,50,29,53,-4.38,-0.11,-4.49,104.6,109.4,91.8,0.323,0.22,0.492,13.9,25.6,0.23,0.505,13.4,71.0,0.235,Charlotte Bobcats Arena,603403,62,38.3,0.89,1.95,2.84,8.93,4596,2376,-0.367934731,1.884560523,1.516625792,5.196934583,5.196934583,0.0,0.282684059,2.097021613,2.379705671,0.448228869,62,23,39,38.3,105.7,5.1,13.7,21.8,2.1,32.0,0.9,22.9,13.1,11.8,9.1,34.6,0.106,0.0
7,2008-09,2009,Gerald Wallace,-1,0.0,2.0,0.0,False,0.0,0.0,500.0,26,CHA,NBA,SF,71,71,37.6,5.5,11.4,0.48,0.5,1.8,0.298,4.9,9.6,0.515,0.504,5.1,6.4,0.804,1.6,6.2,7.8,2.7,1.7,0.9,2.1,3.0,16.6,2669,7.9,16.5,0.48,0.8,2.7,0.298,7.1,13.8,0.515,7.4,9.2,0.804,2.3,9.0,11.3,3.8,2.5,1.4,3.0,4.3,24.1,115,102,2669,18.6,0.585,0.162,0.56,5.2,20.3,12.8,12.4,2.5,2.1,12.8,20.5,4.9,4.6,9.5,0.172,1.3,2.3,3.5,3.7,82.0,19930.0,2866.0,6299.0,0.455,490.0,1339.0,0.366,2376.0,4960.0,0.479,1455.0,1965.0,0.74,886.0,2366.0,3252.0,1741.0,580.0,397.0,1279.0,1754.0,7677.0,82.0,19930.0,2883.0,6349.0,0.454,558.0,1526.0,0.366,2325.0,4823.0,0.482,1457.0,1928.0,0.756,877.0,2310.0,3187.0,1604.0,626.0,488.0,1206.0,1714.0,7781.0,35,47,37,45,-1.27,0.07,-1.2,104.7,106.1,88.3,0.312,0.213,0.494,15.1,27.7,0.231,0.498,14.4,73.0,0.229,Time Warner Cable Arena,597548,71,37.6,-0.09,3.55,3.46,10.85,4966,2669,1.124712951,3.099404591,4.224117542,9.495456353,9.495456353,0.0,0.941810133,3.34146851,4.283278643,-0.013343496,71,32,39,37.6,102.5,6.2,17.6,27.0,1.7,28.9,0.9,25.2,12.4,10.1,7.8,28.8,0.151,0.0
8,2009-10,2010,Gerald Wallace,3,0.0,3.0,1.0,False,0.0,113.0,500.0,27,CHA,NBA,SF,76,76,41.0,6.0,12.4,0.484,0.7,1.8,0.371,5.3,10.6,0.503,0.511,5.6,7.2,0.776,2.0,8.1,10.0,2.1,1.5,1.1,2.3,2.6,18.2,3119,7.8,16.1,0.484,0.9,2.4,0.371,6.9,13.7,0.503,7.2,9.3,0.776,2.6,10.4,13.0,2.7,2.0,1.4,3.0,3.3,23.6,113,100,3119,18.3,0.586,0.148,0.577,5.9,23.2,14.7,9.0,2.0,2.2,13.1,20.3,5.3,6.2,11.5,0.177,1.0,1.7,2.7,3.7,82.0,19880.0,2858.0,6306.0,0.453,460.0,1331.0,0.346,2398.0,4975.0,0.482,1637.0,2180.0,0.751,858.0,2490.0,3348.0,1658.0,632.0,446.0,1290.0,1597.0,7813.0,82.0,19880.0,2925.0,6536.0,0.448,573.0,1696.0,0.338,2352.0,4840.0,0.486,1270.0,1710.0,0.743,868.0,2382.0,3250.0,1666.0,614.0,502.0,1256.0,1804.0,7693.0,44,38,45,37,1.46,-0.17,1.3,104.4,102.8,90.4,0.346,0.211,0.49,15.1,26.5,0.26,0.491,14.7,74.2,0.194,Time Warner Cable Arena,648520,76,41.0,-0.73,3.27,2.54,11.09,6237,3283,0.582973642,2.735194696,3.318168338,10.15852617,9.437107509,0.721418658,0.441448064,2.94374092,3.385188984,-0.350478417,76,41,35,41.0,101.4,8.1,20.6,31.3,1.5,23.0,1.1,24.3,14.4,10.3,10.9,33.3,0.171,2.5
9,2010-11,2011,Gerald Wallace,23T,0.0,4.0,0.0,False,-1.0,2.0,500.0,28,CHA,NBA,SF,48,48,39.0,5.3,12.1,0.433,0.7,2.2,0.33,4.5,9.9,0.456,0.463,4.4,5.9,0.739,1.5,6.7,8.2,2.4,1.2,1.0,2.1,2.5,15.6,1872,7.2,16.6,0.433,1.0,3.0,0.33,6.2,13.6,0.456,6.0,8.1,0.739,2.1,9.2,11.3,3.3,1.7,1.4,2.9,3.4,21.4,105,106,1872,15.0,0.53,0.182,0.488,4.6,21.0,12.7,10.5,1.7,2.1,12.4,20.2,1.3,2.3,3.6,0.092,-0.3,0.7,0.4,1.1,82.0,19805.0,2873.0,6365.0,0.451,393.0,1203.0,0.327,2480.0,5162.0,0.48,1511.0,1999.0,0.756,848.0,2444.0,3292.0,1728.0,524.0,433.0,1192.0,1637.0,7650.0,82.0,19805.0,2956.0,6492.0,0.455,577.0,1609.0,0.359,2379.0,4883.0,0.487,1489.0,1908.0,0.78,804.0,2446.0,3250.0,1777.0,601.0,496.0,1082.0,1730.0,7978.0,34,48,29,53,-4.0,-0.08,-4.08,103.4,107.8,89.6,0.314,0.189,0.482,14.1,25.7,0.237,0.5,12.9,75.2,0.229,Time Warner Cable Arena,649694,71,37.9,-0.56,2.99,2.43,9.57,5451,2919,0.793541048,1.739348009,2.532889057,7.968386405,7.170559105,0.7978273,0.937381428,2.015875163,2.953256591,0.477173414,71,36,35,37.9,104.7,6.5,18.1,27.5,1.5,25.3,0.9,23.2,11.6,9.7,9.8,30.0,0.118,0.0
