,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2013-14,2014,Dewayne Dedmon,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,24,GSW,NBA,C,4,0,1.5,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,6,0.0,8.3,0.0,0.0,0.0,,0.0,8.3,0.0,8.3,16.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,8.3,62,111,6,-5.1,0.266,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,-0.107,-10.3,-3.2,-13.6,0.0,82.0,19830,3236,7005,0.462,774,2037,0.38,2462,4968,0.496,1303,1731,0.753,896,2819,3715,1912,642,407,1247,1784,8549,82.0,19830,3019,6920,0.436,569,1656,0.344,2450,5264,0.465,1548,2023,0.765,878,2671,3549,1683,649,342,1232,1584,8155,51,31,54,28,4.8,0.34,5.15,107.5,102.6,96.2,0.247,0.291,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,Oracle Arena,803436,31,12.6,-2.74,-0.53,-3.27,-0.14,780,390,-2.312134836,1.189751671,-1.122383165,0.33703573,0.33703573,0.0,-2.545268223,0.582564299,-1.962703924,0.171655422,31,7,24,12.6,102.0,2.9,25.5,38.5,0.2,11.9,0.7,64.7,5.3,3.4,3.3,10.8,0.048,0.85
1,2013-14,2014,Dewayne Dedmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,PHI,NBA,C,11,0,13.6,1.4,2.6,0.517,0.0,0.0,,1.4,2.6,0.517,0.517,0.6,1.2,0.538,1.0,3.5,4.5,0.3,0.0,0.8,0.8,2.5,3.4,150,4.8,9.4,0.517,0.0,0.0,,4.8,9.4,0.517,2.3,4.2,0.538,3.6,12.3,15.8,1.0,0.0,2.9,2.9,9.0,11.9,96,108,150,8.7,0.533,0.0,0.448,7.6,28.5,17.6,2.9,0.0,4.8,20.6,12.3,0.0,0.1,0.1,0.035,-5.8,0.0,-5.8,-0.1,82.0,19855,3108,7150,0.435,577,1847,0.312,2531,5303,0.477,1362,1918,0.71,949,2556,3505,1791,765,330,1384,1844,8155,82.0,19855,3284,6975,0.471,739,1998,0.37,2545,4977,0.511,1705,2261,0.754,976,2871,3847,2144,736,558,1391,1686,9012,19,63,16,66,-10.45,-0.21,-10.66,99.4,109.9,99.2,0.268,0.258,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,Wells Fargo Center,568632,31,12.6,-2.74,-0.53,-3.27,-0.14,780,390,-2.312134836,1.189751671,-1.122383165,0.33703573,0.33703573,0.0,-2.545268223,0.582564299,-1.962703924,0.171655422,31,7,24,12.6,102.0,2.9,25.5,38.5,0.2,11.9,0.7,64.7,5.3,3.4,3.3,10.8,0.048,0.85
2,2013-14,2014,Dewayne Dedmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,ORL,NBA,C,16,6,14.6,1.4,3.3,0.434,0.0,0.0,,1.4,3.3,0.434,0.434,0.8,1.1,0.765,1.7,3.2,4.9,0.1,0.4,0.8,0.6,2.3,3.7,234,5.0,11.6,0.434,0.0,0.0,,5.0,11.6,0.434,2.8,3.7,0.765,5.9,11.2,17.1,0.4,1.5,2.8,2.0,8.1,12.9,104,103,234,12.5,0.488,0.0,0.321,13.0,24.8,18.9,1.3,1.5,4.4,13.0,13.5,0.1,0.4,0.5,0.096,-3.5,-0.4,-3.8,-0.1,82.0,19955,3022,6784,0.445,563,1596,0.353,2459,5188,0.474,1307,1714,0.763,794,2654,3448,1726,630,350,1222,1678,7914,82.0,19955,3126,6861,0.456,659,1778,0.371,2467,5083,0.485,1449,1881,0.77,859,2746,3605,1848,581,445,1146,1500,8360,23,59,26,56,-5.44,-0.44,-5.88,101.7,107.4,93.6,0.253,0.235,0.487,13.9,22.4,0.193,0.504,13.0,75.5,0.211,Amway Center,666046,31,12.6,-2.74,-0.53,-3.27,-0.14,780,390,-2.312134836,1.189751671,-1.122383165,0.33703573,0.33703573,0.0,-2.545268223,0.582564299,-1.962703924,0.171655422,31,7,24,12.6,102.0,2.9,25.5,38.5,0.2,11.9,0.7,64.7,5.3,3.4,3.3,10.8,0.048,0.85
3,2014-15,2015,Dewayne Dedmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,ORL,NBA,C,59,15,14.3,1.5,2.7,0.562,0.0,0.0,0.0,1.5,2.7,0.565,0.562,0.6,1.1,0.531,2.0,3.0,5.0,0.2,0.3,0.8,0.9,2.4,3.7,845,5.5,9.8,0.562,0.0,0.1,0.0,5.5,9.7,0.565,2.1,3.9,0.531,7.1,10.7,17.9,0.5,1.0,3.0,3.1,8.5,13.1,107,104,845,13.3,0.568,0.006,0.395,15.5,24.1,19.7,1.6,1.0,4.8,21.1,13.0,0.7,1.0,1.7,0.099,-3.3,-0.2,-3.5,-0.3,82.0,19755,3076,6792,0.453,554,1598,0.347,2522,5194,0.486,1141,1565,0.729,822,2607,3429,1692,647,314,1221,1714,7847,82.0,19755,3112,6720,0.463,682,1853,0.368,2430,4867,0.499,1410,1878,0.751,825,2739,3564,1921,635,441,1185,1467,8316,25,57,25,57,-5.72,-0.15,-5.87,101.6,107.7,93.8,0.23,0.235,0.494,14.0,23.1,0.168,0.514,13.6,76.0,0.21,Amway Center,688194,59,14.3,-2.03,3.18,1.15,2.17,1684,845,-3.241148703,1.676289025,-1.564859678,0.5113155,0.5113155,0.0,-3.703921761,0.782650209,-2.921271551,0.071130182,59,17,42,14.3,97.6,3.0,20.8,30.8,0.3,10.6,0.8,57.5,5.0,2.9,3.5,11.4,0.07,1.94
4,2015-16,2016,Dewayne Dedmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,ORL,NBA,C,58,20,12.2,1.7,3.1,0.559,0.0,0.0,,1.7,3.1,0.559,0.559,1.0,1.3,0.75,1.2,2.8,3.9,0.2,0.4,0.8,0.6,1.9,4.4,705,7.0,12.6,0.559,0.0,0.0,,7.0,12.6,0.559,4.0,5.4,0.75,4.8,11.4,16.2,0.9,1.6,3.3,2.3,7.7,18.1,117,102,705,17.0,0.606,0.0,0.429,10.4,25.7,17.9,2.7,1.6,5.4,13.2,15.2,1.2,1.1,2.4,0.162,-1.6,0.7,-0.9,0.2,82.0,19905,3242,7120,0.455,636,1818,0.35,2606,5302,0.492,1249,1649,0.757,843,2709,3552,1933,673,417,1155,1701,8369,82.0,19905,3150,6850,0.46,732,2041,0.359,2418,4809,0.503,1470,1971,0.746,832,2800,3632,1899,620,448,1240,1497,8502,35,47,36,46,-1.62,-0.06,-1.68,105.1,106.8,96.0,0.232,0.255,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,Amway Center,719275,58,12.2,-1.94,-0.78,-2.72,-0.2,1434,705,-1.024454829,1.089795794,0.065340966,1.015862264,1.015862264,0.0,-1.686799931,0.577861402,-1.108938529,0.309676037,58,21,37,12.2,103.5,2.8,22.3,34.3,0.4,18.0,0.8,48.9,4.7,3.3,2.9,11.7,0.04,1.28
5,2016-17,2017,Dewayne Dedmon,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,27,SAS,NBA,C,76,37,17.5,2.1,3.4,0.622,0.0,0.0,,2.1,3.4,0.622,0.622,0.9,1.2,0.699,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,5.1,1330,6.2,9.9,0.622,0.0,0.0,,6.2,9.9,0.622,2.5,3.6,0.699,4.9,14.1,19.0,1.7,1.4,2.3,2.3,6.9,14.8,122,99,1330,16.0,0.645,0.0,0.359,11.2,30.6,21.1,4.8,1.4,3.7,16.9,12.3,2.3,3.0,5.2,0.189,-1.4,2.0,0.6,0.9,82.0,19805,3222,6864,0.469,753,1927,0.391,2469,4937,0.5,1440,1806,0.797,821,2777,3598,1954,655,484,1101,1498,8637,82.0,19805,3032,6839,0.443,668,1942,0.344,2364,4897,0.483,1315,1705,0.771,800,2600,3400,1757,614,333,1184,1623,8047,61,21,60,22,7.2,-0.06,7.13,111.1,103.5,94.2,0.263,0.281,0.524,12.6,24.0,0.21,0.492,13.5,77.6,0.192,AT&T Center,755347,76,17.5,-1.72,3.24,1.52,3.02,2851,1427,-1.693167983,3.763519193,2.07035121,3.508942943,3.527896903,-0.01895396,-1.802888797,3.694329017,1.891440221,-0.146703589,76,55,21,17.5,98.0,4.8,26.6,38.3,0.5,16.4,0.8,35.9,5.7,4.2,4.2,13.2,0.1,3.12
6,2017-18,2018,Dewayne Dedmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,ATL,NBA,C,62,46,24.9,4.0,7.7,0.524,0.8,2.3,0.355,3.2,5.4,0.595,0.577,1.1,1.4,0.779,1.6,6.3,7.9,1.5,0.6,0.8,1.4,2.6,10.0,1542,7.9,15.1,0.524,1.6,4.5,0.355,6.3,10.6,0.595,2.1,2.7,0.779,3.2,12.3,15.5,2.9,1.3,1.6,2.7,5.1,19.5,111,107,1542,15.8,0.599,0.296,0.18,7.2,28.1,17.7,9.2,1.3,2.8,14.3,17.0,1.8,1.9,3.7,0.114,-0.4,0.5,0.1,0.8,82.0,19705,3130,7015,0.446,917,2544,0.36,2213,4471,0.495,1298,1654,0.785,743,2693,3436,1946,638,348,1276,1606,8475,82.0,19705,3336,7107,0.469,949,2519,0.377,2387,4588,0.52,1301,1686,0.772,841,2785,3626,2137,710,453,1238,1661,8922,24,58,27,55,-5.45,0.15,-5.3,105.0,110.6,98.3,0.236,0.363,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,Philips Arena,590769,62,24.9,-1.0,1.31,0.32,1.94,3200,1542,-1.522958882,1.11102808,-0.411930802,1.840296146,1.840296146,0.0,-1.290316624,0.500848156,-0.789468468,0.046955432,62,18,44,24.9,108.3,6.3,24.9,35.5,0.6,16.0,0.8,35.9,9.4,6.3,6.3,21.7,0.061,0.57
7,2018-19,2019,Dewayne Dedmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,ATL,NBA,C,64,52,25.1,4.0,8.2,0.492,1.3,3.4,0.382,2.8,4.8,0.57,0.571,1.4,1.8,0.814,1.6,5.9,7.5,1.4,1.1,1.1,1.3,3.3,10.8,1609,7.4,15.1,0.492,2.4,6.2,0.382,5.1,8.9,0.57,2.6,3.2,0.814,3.0,10.8,13.8,2.6,2.0,2.0,2.4,6.1,19.9,115,109,1609,16.0,0.602,0.413,0.215,6.7,25.0,15.7,8.1,2.0,3.8,12.7,16.7,2.1,1.9,4.0,0.119,-0.3,0.8,0.5,1.0,82.0,19855,3392,7524,0.451,1067,3034,0.352,2325,4490,0.518,1443,1918,0.752,955,2825,3780,2118,675,419,1397,1932,9294,82.0,19855,3508,7417,0.473,1013,2820,0.359,2495,4597,0.543,1759,2321,0.758,871,2904,3775,2202,810,448,1234,1817,9788,29,53,27,55,-6.02,-0.04,-6.06,108.1,113.9,103.9,0.255,0.403,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,State Farm Arena,628440,64,25.1,-0.52,0.24,-0.28,1.19,3482,1609,-0.891659562,1.146982037,0.255322475,2.466204847,2.466204847,0.0,-0.431952084,1.191371267,0.759419183,-0.037171255,64,24,40,25.1,112.0,5.9,22.9,33.2,1.1,25.2,1.1,42.8,11.2,6.9,8.3,25.8,0.049,0.93
8,2019-20,2020,Dewayne Dedmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,SAC,NBA,C,34,10,15.9,2.0,5.0,0.404,0.4,2.1,0.197,1.6,2.9,0.55,0.444,0.7,0.8,0.821,1.4,3.6,4.9,0.4,0.4,0.8,1.4,2.7,5.1,541,6.2,15.3,0.404,1.3,6.4,0.197,4.9,9.0,0.55,2.1,2.5,0.821,4.1,10.9,15.0,1.3,1.3,2.3,4.2,8.3,15.7,89,108,541,8.5,0.477,0.415,0.164,9.3,25.8,17.4,3.9,1.3,4.6,20.4,18.5,-0.8,0.7,-0.1,-0.007,-6.3,-0.1,-6.4,-0.6,72.0,17455,2943,6364,0.462,914,2511,0.364,2029,3853,0.527,1127,1464,0.77,695,2372,3067,1713,556,293,1043,1595,7927,72.0,17455,2898,6158,0.471,894,2506,0.357,2004,3652,0.549,1384,1752,0.79,654,2481,3135,1791,557,304,1094,1404,8074,31,41,31,41,-2.04,0.46,-1.59,110.2,112.2,98.9,0.23,0.395,0.534,13.0,21.9,0.177,0.543,13.6,78.4,0.225,Golden 1 Center,520663,44,17.6,-3.25,0.8,-2.45,-0.19,1617,774,-5.359593063,3.372404651,-1.987188412,0.298772611,0.298772611,0.0,-4.692368945,2.635313274,-2.057055671,0.261442268,44,17,27,17.6,108.1,4.3,24.1,35.4,0.6,19.8,0.9,47.1,5.8,5.0,4.0,15.6,0.054,1.97
9,2019-20,2020,Dewayne Dedmon,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,ATL,NBA,C,10,8,23.3,3.3,8.4,0.393,0.8,3.6,0.222,2.5,4.8,0.521,0.44,0.7,0.8,0.875,1.4,6.8,8.2,0.7,1.0,1.5,1.0,4.0,8.1,233,6.6,16.8,0.393,1.6,7.2,0.222,5.0,9.6,0.521,1.4,1.6,0.875,2.8,13.6,16.4,1.4,2.0,3.0,2.0,8.0,16.2,94,107,233,11.4,0.463,0.429,0.095,6.4,31.8,18.9,4.3,2.0,5.4,10.3,17.4,-0.2,0.3,0.2,0.032,-4.6,0.1,-4.5,-0.1,67.0,16280,2723,6067,0.449,805,2416,0.333,1918,3651,0.525,1237,1566,0.79,661,2237,2898,1605,523,341,1086,1548,7488,67.0,16280,2903,6078,0.478,797,2194,0.363,2106,3884,0.542,1419,1839,0.772,748,2402,3150,1674,600,428,1006,1404,8022,20,47,18,49,-7.97,0.27,-7.71,107.2,114.8,103.0,0.258,0.398,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233,State Farm Arena,545453,44,17.6,-3.25,0.8,-2.45,-0.19,1617,774,-5.359593063,3.372404651,-1.987188412,0.298772611,0.298772611,0.0,-4.692368945,2.635313274,-2.057055671,0.261442268,44,17,27,17.6,108.1,4.3,24.1,35.4,0.6,19.8,0.9,47.1,5.8,5.0,4.0,15.6,0.054,1.97
10,2020-21,2021,Dewayne Dedmon,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,31,MIA,NBA,C,16,0,13.1,2.9,4.1,0.708,0.1,0.3,0.2,2.8,3.8,0.75,0.715,1.3,1.7,0.741,1.8,3.6,5.4,0.8,0.6,0.4,0.8,2.3,7.1,210,10.9,15.4,0.708,0.2,1.2,0.2,10.6,14.2,0.75,4.7,6.4,0.741,6.6,13.7,20.3,2.8,2.1,1.4,3.1,8.5,26.7,135,105,210,24.5,0.735,0.077,0.415,15.5,31.0,23.4,9.6,2.1,3.0,14.5,19.3,0.7,0.4,1.1,0.256,1.2,0.5,1.7,0.2,72.0,17380,2824,6029,0.468,932,2606,0.358,1892,3423,0.553,1201,1520,0.79,579,2409,2988,1895,569,286,1013,1363,7781,72.0,17380,2815,6137,0.459,1027,2814,0.365,1788,3323,0.538,1122,1435,0.782,684,2404,3088,1857,541,287,1085,1414,7779,40,32,36,36,0.03,-0.09,-0.06,111.2,111.2,96.6,0.252,0.432,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,AmericanAirlines Arena,0,16,13.1,0.5,-1.38,-0.88,0.29,548,267,1.865078409497696,-1.240455682087838,0.6246227274098578,0.4568067491006534,0.721573719619763,-0.2647669705191096,0.6436068116494199,-0.6319902519270081,0.0116165597224118,0.0837317297771004,16,11,5,13.2,104.2,3.6,28.2,38.2,0.6,28.1,0.4,37.5,3.7,2.6,2.1,11.0,0.064,0.52
11,2021-22,2022,Dewayne Dedmon,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,32,MIA,NBA,C,67,15,15.9,2.4,4.3,0.566,0.3,0.7,0.404,2.2,3.6,0.597,0.598,1.1,1.5,0.75,1.6,4.2,5.8,0.7,0.4,0.6,1.0,2.6,6.3,1065,7.7,13.6,0.566,0.9,2.2,0.404,6.8,11.4,0.597,3.5,4.7,0.75,4.9,13.2,18.1,2.2,1.1,2.0,3.3,8.2,19.8,117,105,1065,15.9,0.632,0.162,0.345,11.4,29.4,20.6,6.7,1.1,4.2,17.3,16.9,1.5,2.0,3.5,0.157,-2.2,1.1,-1.0,0.3,82.0,19855,3246,6954,0.467,1114,2936,0.379,2132,4018,0.531,1416,1753,0.808,807,2778,3585,2090,606,265,1194,1679,9022,82.0,19855,3078,6886,0.447,1064,3138,0.339,2014,3748,0.537,1437,1845,0.779,783,2634,3417,1908,608,330,1228,1686,8657,53,29,53,29,4.45,-0.22,4.23,113.7,109.1,95.9,0.252,0.422,0.547,13.4,23.5,0.204,0.524,13.8,78.0,0.209,FTX Arena,804761,67,15.9,-1.21,-1.29,-2.5,1.58,2464,1203,-2.313661518575294,0.6539600967639845,-1.65970142181131,0.6623358497223726,0.768358001620841,-0.1060221518984685,-2.474716444018879,0.4383751085023629,-2.036341335516516,-0.1298742626912735,67,43,24,15.9,106.0,4.2,25.1,37.9,0.4,16.1,0.6,53.2,6.0,4.5,3.7,13.7,0.068,1.0
