,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,David Robinson,2T,0.0,1.0,9.0,False,0.0,9.0,500.0,27,SAS,NBA,C,82,82,39.2,8.2,16.4,0.501,0.0,0.2,0.176,8.2,16.2,0.506,0.503,6.8,9.3,0.732,2.8,8.9,11.7,3.7,1.5,3.2,2.9,2.9,23.4,3211,10.6,21.1,0.501,0.0,0.3,0.176,10.5,20.9,0.506,8.8,12.0,0.732,3.6,11.4,15.0,4.7,2.0,4.1,3.8,3.7,30.0,113,100,3211,24.2,0.569,0.013,0.568,8.6,24.8,17.1,15.0,2.0,5.1,12.5,26.4,6.7,6.4,13.2,0.197,3.6,2.7,6.4,6.8,82.0,19855,3311,6762,0.49,236,692,0.341,3075,6070,0.507,1794,2346,0.765,919,2542,3461,2012,582,514,1227,1844,8652,82.0,19855,3290,7177,0.458,270,747,0.361,3020,6430,0.47,1583,2051,0.772,1082,2388,3470,1905,655,373,1131,1998,8433,49,33,48,34,2.67,-0.46,2.21,109.6,106.8,95.4,0.347,0.102,0.507,13.6,27.8,0.265,0.477,12.3,70.1,0.221,HemisFair Arena,658337,0,0,0.0,0.0,0.0,0.0,7281,3632,1.178536096,4.250657639,5.429193735,15.12677931,13.46399263,1.662786684,1.826080501,3.726593598,5.552674099,-0.493362403,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,David Robinson,2,0.0,2.0,22.0,False,1.0,22.0,500.0,28,SAS,NBA,C,80,80,40.5,10.5,20.7,0.507,0.1,0.4,0.345,10.4,20.4,0.51,0.51,8.7,11.6,0.749,3.0,7.7,10.7,4.8,1.7,3.3,3.2,2.9,29.8,3241,13.8,27.2,0.507,0.2,0.5,0.345,13.6,26.8,0.51,11.4,15.2,0.749,4.0,10.1,14.1,6.3,2.3,4.4,4.2,3.7,39.2,119,98,3241,30.7,0.577,0.017,0.558,8.8,20.3,14.8,21.6,2.3,5.4,10.9,32.0,13.3,6.7,20.0,0.296,8.1,3.8,11.9,11.4,82.0,19780,3178,6688,0.475,249,714,0.349,2929,5974,0.49,1597,2151,0.742,1189,2597,3786,1896,561,450,1198,1662,8202,82.0,19780,3066,6880,0.446,290,871,0.333,2776,6009,0.462,1349,1875,0.719,1089,2153,3242,1769,632,346,1020,1791,7771,55,27,56,26,5.26,-0.21,5.05,110.4,104.6,90.1,0.322,0.107,0.494,13.6,35.6,0.239,0.467,11.7,70.5,0.196,Alamodome,904190,0,0,0.0,0.0,0.0,0.0,6422,3387,4.618729394,4.496762422,9.115491816,20.36379908,20.15424861,0.209550469,5.167935956,4.092986475,9.260922431,-0.595244123,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,David Robinson,4,0.0,3.0,12.0,False,1.0,12.0,500.0,29,SAS,NBA,C,81,81,38.0,9.7,18.4,0.53,0.1,0.2,0.3,9.7,18.1,0.533,0.532,8.1,10.5,0.774,2.9,7.9,10.8,2.9,1.7,3.2,2.9,2.8,27.6,3074,13.0,24.5,0.53,0.1,0.3,0.3,12.9,24.2,0.533,10.8,14.0,0.774,3.9,10.6,14.5,3.9,2.2,4.3,3.8,3.8,36.9,120,99,3074,29.1,0.602,0.013,0.57,9.1,22.6,16.2,13.7,2.2,5.9,11.1,29.9,10.7,6.7,17.5,0.273,6.0,3.2,9.2,8.7,82.0,19855,3236,6687,0.484,434,1158,0.375,2802,5529,0.507,1836,2487,0.738,1029,2661,3690,1919,656,456,1246,1871,8742,82.0,19855,3168,6974,0.454,426,1251,0.341,2742,5723,0.479,1491,2089,0.714,1017,2303,3320,1878,633,408,1182,2063,8253,62,20,57,25,5.96,-0.06,5.9,111.7,105.4,94.6,0.372,0.173,0.516,13.8,30.9,0.275,0.485,13.0,72.3,0.214,Alamodome,920413,0,0,0.0,0.0,0.0,0.0,7306,3697,2.785551963,5.156917424,7.942469387,20.08079284,17.15366756,2.927125285,3.19569493,4.391416192,7.587111123,-0.685027845,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1995-96,1996,David Robinson,4,0.0,4.0,9.0,False,0.0,9.0,500.0,30,SAS,NBA,C,82,82,36.8,8.7,16.8,0.516,0.0,0.1,0.333,8.6,16.7,0.517,0.517,7.6,10.0,0.761,3.9,8.3,12.2,3.0,1.4,3.3,2.3,3.2,25.0,3019,12.1,23.5,0.516,0.1,0.2,0.333,12.1,23.3,0.517,10.7,14.0,0.761,5.4,11.6,17.0,4.2,1.9,4.6,3.2,4.5,34.9,120,96,3019,29.4,0.589,0.007,0.597,12.3,24.2,18.4,14.6,1.9,6.4,9.8,28.8,11.1,7.2,18.3,0.29,5.8,3.1,8.9,8.3,82.0,19780,3148,6602,0.477,518,1320,0.392,2630,5282,0.498,1663,2261,0.736,937,2586,3523,2044,645,536,1195,1820,8477,82.0,19780,3017,6866,0.439,441,1337,0.33,2576,5529,0.466,1485,2034,0.73,1109,2473,3582,1849,604,428,1257,1972,7960,59,23,58,24,6.3,-0.33,5.98,110.2,103.5,93.3,0.342,0.2,0.516,13.6,27.5,0.252,0.472,13.9,70.0,0.216,Alamodome,782701,0,0,0.0,0.0,0.0,0.0,6582,3372,3.551690796,4.9639086,8.515599395,19.21970584,17.64961654,1.570089297,3.783116448,4.408754482,8.19187093,-0.825336086,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1996-97,1997,David Robinson,-1,0.0,4.0,0.0,False,0.0,0.0,500.0,31,SAS,NBA,C,6,6,24.5,6.0,12.0,0.5,0.0,0.0,,6.0,12.0,0.5,0.5,5.7,8.7,0.654,3.2,5.3,8.5,1.3,1.0,1.0,1.3,1.5,17.7,147,13.5,26.9,0.5,0.0,0.0,,13.5,26.9,0.5,12.7,19.4,0.654,7.1,12.0,19.1,3.0,2.2,2.2,3.0,3.4,39.6,117,106,147,31.0,0.559,0.0,0.722,15.0,27.0,20.8,11.5,2.2,3.3,7.8,32.6,0.5,0.2,0.7,0.227,6.8,-0.7,6.1,0.3,82.0,19730,2827,6391,0.442,378,1180,0.32,2449,5211,0.47,1386,1929,0.719,1101,2129,3230,1661,646,431,1243,1764,7418,82.0,19730,3002,6379,0.471,552,1425,0.387,2450,4954,0.495,1508,2042,0.738,1048,2302,3350,1955,664,448,1180,1646,8064,20,62,19,63,-7.88,-0.05,-7.93,103.3,112.3,87.3,0.302,0.185,0.472,14.7,32.4,0.217,0.514,14.0,67.0,0.236,Alamodome,706641,6,24.5,3.73,1.68,5.42,0.81,270,147,3.27906063,0.952412924,4.231473553,0.519388865,0.519388865,0.0,3.309906275,0.425773185,3.735679461,-0.735015017,6,3,3,24.5,94.7,5.3,21.3,31.1,1.0,28.6,1.0,66.7,7.5,5.3,6.2,17.3,0.147,0
5,1997-98,1998,David Robinson,3,0.0,5.0,10.0,False,1.0,10.0,500.0,32,SAS,NBA,C,73,73,33.7,7.5,14.6,0.511,0.0,0.1,0.25,7.4,14.5,0.512,0.511,6.6,9.0,0.735,3.3,7.3,10.6,2.7,0.9,2.6,2.8,2.8,21.6,2457,12.0,23.5,0.511,0.0,0.1,0.25,12.0,23.4,0.512,10.7,14.6,0.735,5.3,11.8,17.1,4.4,1.4,4.2,4.5,4.5,34.8,114,94,2457,27.8,0.581,0.004,0.62,12.0,23.7,18.2,15.9,1.4,5.5,13.0,29.7,7.8,6.0,13.8,0.269,5.3,2.9,8.3,6.3,82.0,19830,2898,6187,0.468,302,863,0.35,2596,5324,0.488,1489,2164,0.688,984,2638,3622,1839,516,568,1318,1731,7587,82.0,19830,2737,6656,0.411,338,1029,0.328,2399,5627,0.426,1448,1956,0.74,1017,2236,3253,1556,730,378,1045,1845,7260,56,26,53,29,3.99,-0.69,3.3,103.8,99.4,88.4,0.35,0.139,0.493,15.6,30.6,0.241,0.437,12.2,72.2,0.218,Alamodome,783455,73,33.7,2.46,3.97,6.43,15.08,5219,2810,2.034303007,4.872373563,6.90667657,13.78766518,12.00946185,1.778203323,2.217038565,4.03730521,6.254343776,-0.725836144,73,50,23,33.7,95.3,7.3,20.4,31.9,0.9,20.9,2.6,51.1,11.3,9.5,6.9,21.9,0.174,0
6,1998-99,1999,David Robinson,4,0.0,6.0,3.0,False,1.0,3.0,500.0,33,SAS,NBA,C,49,49,31.7,5.5,10.8,0.509,0.0,0.0,0.0,5.5,10.7,0.51,0.509,4.9,7.4,0.658,3.0,7.0,10.0,2.1,1.4,2.4,2.2,2.9,15.8,1554,9.3,18.4,0.509,0.0,0.0,0.0,9.3,18.3,0.51,8.3,12.6,0.658,5.2,12.0,17.1,3.6,2.4,4.1,3.8,5.0,27.0,111,88,1554,24.9,0.564,0.002,0.689,11.4,23.4,17.8,12.1,2.4,5.3,13.6,23.8,4.0,4.4,8.4,0.261,3.2,3.5,6.7,3.4,50.0,12075,1740,3812,0.456,172,521,0.33,1568,3291,0.476,988,1415,0.698,614,1584,2198,1101,421,351,759,1010,4640,50.0,12075,1631,4061,0.402,170,559,0.304,1461,3502,0.417,805,1148,0.701,696,1407,2103,941,437,243,730,1148,4237,37,13,39,11,8.06,-0.94,7.12,104.0,95.0,88.6,0.371,0.137,0.479,14.6,30.4,0.259,0.423,13.8,69.5,0.198,Alamodome,527357,49,31.7,2.04,3.23,5.27,8.75,3981,2154,1.105714017,6.691488457,7.797202474,11.65763886,8.204236887,3.453401972,1.535104445,5.87630658,7.411411026,-0.333224475,49,36,13,31.7,91.5,7.0,20.7,33.6,1.4,26.8,2.4,50.0,10.2,8.9,7.1,21.2,0.175,0
7,1999-00,2000,David Robinson,-1,0.0,6.0,0.0,False,0.0,0.0,500.0,34,SAS,NBA,C,80,80,32.0,6.6,12.9,0.512,0.0,0.0,0.0,6.6,12.9,0.513,0.512,4.6,6.4,0.726,2.4,7.2,9.6,1.8,1.2,2.3,2.1,3.1,17.8,2557,10.9,21.3,0.512,0.0,0.0,0.0,10.9,21.3,0.513,7.7,10.6,0.726,4.0,11.9,15.9,2.9,2.0,3.8,3.4,5.1,29.5,112,92,2557,24.6,0.568,0.002,0.496,9.0,24.5,17.1,10.3,2.0,4.9,11.6,25.6,6.2,6.4,12.7,0.238,3.1,2.7,5.8,5.0,82.0,19855,2952,6393,0.462,330,882,0.374,2622,5511,0.476,1652,2214,0.746,927,2666,3593,1819,614,551,1233,1716,7886,82.0,19855,2884,6781,0.425,355,1036,0.343,2529,5745,0.44,1276,1726,0.739,986,2410,3396,1667,645,429,1181,1893,7399,53,29,58,24,5.94,-0.02,5.92,105.0,98.6,90.8,0.346,0.138,0.488,14.3,27.8,0.258,0.451,13.5,73.0,0.188,Alamodome,884450,80,32.0,1.16,4.5,5.66,13.49,5190,2712,0.820523581,5.605552497,6.426076078,12.67961998,11.74872663,0.930893346,1.210941599,5.133352611,6.344294211,-0.326368126,80,51,29,32.0,95.8,7.2,22.4,34.3,1.2,24.6,2.3,50.0,9.8,8.9,7.3,22.6,0.149,0
8,2000-01,2001,David Robinson,5T,0.0,7.0,6.0,False,1.0,6.0,500.0,35,SAS,NBA,C,80,80,29.6,5.0,10.3,0.486,0.0,0.0,0.0,5.0,10.3,0.487,0.486,4.4,5.9,0.747,2.6,6.0,8.6,1.5,1.0,2.5,1.5,2.7,14.4,2371,9.0,18.6,0.486,0.0,0.0,0.0,9.0,18.6,0.487,7.9,10.6,0.747,4.7,10.9,15.6,2.6,1.8,4.5,2.8,4.8,26.0,114,92,2371,23.7,0.559,0.001,0.571,10.4,22.0,16.5,8.8,1.8,5.8,10.6,22.8,6.4,5.7,12.1,0.246,2.5,2.7,5.2,4.3,82.0,19830,2884,6262,0.461,445,1094,0.407,2439,5168,0.472,1673,2340,0.715,902,2712,3614,1778,568,576,1145,1551,7886,82.0,19830,2837,6770,0.419,343,1043,0.329,2494,5727,0.435,1233,1664,0.741,967,2432,3399,1617,600,426,1107,1946,7250,58,24,63,19,7.76,0.16,7.92,106.6,98.0,89.6,0.374,0.175,0.496,13.6,27.1,0.267,0.444,12.9,73.7,0.182,Alamodome,913176,80,29.6,0.84,5.0,5.84,13.43,5249,2780,0.640909363,6.084678167,6.72558753,13.41967385,11.43206855,1.987605293,1.030147972,5.580030779,6.610178751,-0.551034762,80,57,23,29.6,91.7,6.0,19.4,28.8,1.0,22.8,2.5,53.2,9.0,6.5,7.0,18.3,0.172,0
9,2001-02,2002,David Robinson,-1,0.0,7.0,0.0,False,0.0,0.0,500.0,36,SAS,NBA,C,78,78,29.5,4.4,8.6,0.507,0.0,0.0,,4.4,8.6,0.507,0.507,3.4,5.1,0.681,2.4,5.8,8.3,1.2,1.1,1.8,1.3,2.5,12.2,2303,7.9,15.6,0.507,0.0,0.0,,7.9,15.6,0.507,6.2,9.1,0.681,4.4,10.6,15.0,2.2,2.0,3.2,2.4,4.5,22.0,114,95,2303,20.3,0.562,0.0,0.588,9.9,22.0,16.2,7.0,2.0,4.3,10.9,19.2,5.0,5.1,10.1,0.211,1.6,2.2,3.9,3.4,82.0,19855,2913,6363,0.458,438,1211,0.362,2475,5152,0.48,1668,2249,0.742,907,2566,3473,1643,625,537,1180,1575,7932,82.0,19855,2883,6775,0.426,374,1108,0.338,2509,5667,0.443,1283,1651,0.777,1003,2429,3432,1543,635,428,1192,1896,7423,58,24,59,23,6.21,0.07,6.28,106.5,99.7,90.0,0.353,0.19,0.492,13.8,27.2,0.262,0.453,13.7,71.9,0.189,Alamodome,906390,78,29.5,0.07,4.58,4.64,10.77,4514,2384,0.201233028,4.714041359,4.915274387,9.280015551,9.112374027,0.167641524,0.427775274,4.488780105,4.916555378,-0.382488697,78,55,23,29.6,96.2,5.8,19.6,30.5,1.1,21.8,1.8,44.0,8.8,8.5,7.2,22.0,0.141,0
