,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Reggie Miller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,IND,NBA,SG,82,82,36.0,7.0,14.5,0.479,2.0,5.1,0.399,4.9,9.4,0.522,0.549,5.2,5.9,0.88,0.8,2.3,3.1,3.2,1.5,0.3,1.8,2.2,21.2,2954,9.7,20.2,0.479,2.8,7.1,0.399,6.8,13.1,0.522,7.2,8.2,0.88,1.1,3.2,4.4,4.4,2.0,0.4,2.5,3.1,29.4,125,112,2954,19.4,0.617,0.351,0.407,2.5,7.0,4.8,13.4,2.0,0.6,9.3,22.2,9.6,1.7,11.3,0.183,4.5,-0.2,4.3,4.7,82.0,19755,3371,7022,0.48,257,789,0.326,3114,6233,0.5,1837,2399,0.766,1220,2455,3675,2144,615,403,1256,2045,8836,82.0,19755,3262,6955,0.469,216,706,0.306,3046,6249,0.487,1957,2635,0.743,1189,2345,3534,1987,693,387,1178,1979,8697,41,41,46,36,1.7,0.08,1.77,111.9,110.1,96.0,0.342,0.112,0.498,13.5,34.2,0.262,0.485,12.7,67.4,0.281,Market Square Arena,530891,0,0,0.0,0.0,0.0,0.0,6309,3129,5.274658446,-0.307222967,4.96743548,12.34185944,11.41712647,0.924732962,5.274690337,0.031416753,5.30610709,-0.139390167,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Reggie Miller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,IND,NBA,SG,79,79,33.4,6.6,13.2,0.503,1.6,3.7,0.421,5.1,9.5,0.535,0.562,5.1,5.6,0.908,0.4,2.3,2.7,3.1,1.5,0.3,2.2,2.4,19.9,2638,10.2,20.3,0.503,2.4,5.7,0.421,7.8,14.6,0.535,7.9,8.7,0.908,0.6,3.6,4.1,4.8,2.3,0.5,3.4,3.8,30.7,123,106,2638,20.2,0.636,0.28,0.426,1.4,7.7,4.7,15.6,2.3,0.6,12.4,23.5,8.8,2.9,11.7,0.212,4.1,0.6,4.7,4.5,82.0,19755,3167,6516,0.486,184,500,0.368,2983,6016,0.496,1762,2387,0.738,1130,2409,3539,2055,706,457,1440,1974,8280,82.0,19755,2978,6614,0.45,273,815,0.335,2705,5799,0.466,1768,2422,0.73,1132,2153,3285,1902,826,389,1340,1986,7997,47,35,51,31,3.45,-0.19,3.26,107.8,104.2,93.3,0.366,0.077,0.5,16.0,34.4,0.27,0.471,14.9,68.0,0.267,Market Square Arena,531812,0,0,0.0,0.0,0.0,0.0,6252,3214,4.87234039,0.496867825,5.369208215,13.41951923,10.60461566,2.814903564,4.710584308,0.709854451,5.420438759,0.009507749,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,Reggie Miller,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,IND,NBA,SG,81,81,32.9,6.2,13.5,0.462,2.4,5.8,0.415,3.8,7.7,0.498,0.552,4.7,5.3,0.897,0.4,2.2,2.6,3.0,1.2,0.2,1.9,1.9,19.6,2665,10.1,21.8,0.462,3.9,9.4,0.415,6.2,12.4,0.498,7.7,8.5,0.897,0.6,3.6,4.2,4.8,2.0,0.3,3.0,3.1,31.8,123,108,2665,20.1,0.62,0.43,0.391,1.4,8.0,4.8,16.1,2.0,0.5,10.6,24.6,8.5,2.8,11.4,0.204,5.0,0.2,5.2,4.9,82.0,19780,2983,6248,0.477,374,985,0.38,2609,5263,0.496,1796,2390,0.751,1051,2290,3341,1877,703,363,1340,1939,8136,82.0,19780,2921,6408,0.456,475,1304,0.364,2446,5104,0.479,1516,2089,0.726,1048,2156,3204,1804,691,416,1370,2058,7833,52,30,52,30,3.7,-0.34,3.35,109.6,105.6,90.0,0.383,0.158,0.507,15.5,32.8,0.287,0.493,15.8,68.6,0.237,Market Square Arena,654428,0,0,0.0,0.0,0.0,0.0,6231,3306,5.463786355,-0.084151801,5.379634554,13.79436934,10.60283157,3.191537771,5.397955771,-0.070837606,5.327118165,-0.194039121,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1995-96,1996,Reggie Miller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,IND,NBA,SG,76,76,34.5,6.6,14.0,0.473,2.2,5.4,0.41,4.4,8.6,0.512,0.552,5.7,6.6,0.863,0.5,2.3,2.8,3.3,1.0,0.2,2.5,2.3,21.1,2621,10.3,21.9,0.473,3.4,8.4,0.41,6.9,13.5,0.512,8.8,10.2,0.863,0.8,3.6,4.4,5.2,1.6,0.3,3.9,3.6,32.9,121,110,2621,20.1,0.625,0.385,0.467,1.9,8.1,5.1,17.2,1.6,0.4,12.8,25.8,8.3,2.0,10.3,0.188,5.1,-0.4,4.7,4.5,82.0,19755,2979,6205,0.48,363,973,0.373,2616,5232,0.5,1823,2416,0.755,1010,2262,3272,1917,579,323,1335,2031,8144,82.0,19755,2841,6291,0.452,493,1368,0.36,2348,4923,0.477,1703,2302,0.74,1004,2051,3055,1726,663,420,1259,2041,7878,52,30,50,32,3.24,-0.14,3.11,110.8,107.2,89.3,0.389,0.157,0.509,15.5,33.0,0.294,0.491,14.7,69.3,0.271,Market Square Arena,673967,0,0,0.0,0.0,0.0,0.0,4986,2652,5.223792602,-0.673193522,4.550599081,9.886941694,9.607519867,0.279421827,5.204702548,-0.637529521,4.567173027,-0.096741716,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1996-97,1997,Reggie Miller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,IND,NBA,SG,81,81,36.6,6.8,15.4,0.444,2.8,6.6,0.427,4.0,8.7,0.456,0.536,5.2,5.9,0.88,0.7,2.9,3.5,3.4,0.9,0.3,2.0,2.1,21.6,2966,10.0,22.6,0.444,4.2,9.7,0.427,5.9,12.9,0.456,7.6,8.6,0.88,1.0,4.2,5.2,5.0,1.4,0.5,3.0,3.1,31.8,121,108,2966,20.2,0.603,0.431,0.382,2.2,9.2,5.8,17.4,1.4,0.7,10.3,25.2,9.6,2.7,12.3,0.2,5.8,0.0,5.8,5.8,82.0,19930,2851,6254,0.456,430,1130,0.381,2421,5124,0.472,1687,2336,0.722,1029,2390,3419,1750,585,394,1338,1977,7819,82.0,19930,2799,6357,0.44,499,1440,0.347,2300,4917,0.468,1642,2182,0.753,1004,2261,3265,1737,693,418,1289,1952,7739,39,43,44,38,0.98,0.52,1.49,105.8,104.7,89.0,0.374,0.181,0.49,15.5,31.3,0.27,0.48,15.0,70.4,0.258,Market Square Arena,636735,81,36.6,3.17,-0.08,3.09,12.14,5563,2966,5.091881,-0.366321043,4.725559957,11.26574957,11.26574957,0.0,4.899753267,-0.202602395,4.697150872,-0.376435019,81,38,43,36.6,103.1,2.9,8.2,13.3,0.9,17.8,0.3,8.7,13.9,10.3,10.1,27.4,0.118,0
5,1997-98,1998,Reggie Miller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,32,IND,NBA,SG,81,81,34.5,6.4,13.3,0.477,2.0,4.7,0.429,4.3,8.6,0.504,0.553,4.7,5.4,0.868,0.6,2.3,2.9,2.1,1.0,0.1,1.6,1.8,19.5,2795,10.1,21.1,0.477,3.2,7.5,0.429,6.9,13.7,0.504,7.5,8.6,0.868,0.9,3.6,4.5,3.3,1.5,0.2,2.5,2.9,30.8,121,105,2795,19.8,0.619,0.353,0.407,2.1,7.6,5.0,11.1,1.5,0.3,9.1,23.9,9.2,2.8,12.0,0.206,4.8,0.1,4.8,4.8,82.0,19830,2921,6223,0.469,401,1029,0.39,2520,5194,0.485,1631,2136,0.764,874,2348,3222,1889,645,368,1168,1859,7874,82.0,19830,2788,6451,0.432,274,867,0.316,2514,5584,0.45,1525,2096,0.728,1114,2254,3368,1591,644,366,1237,1847,7375,58,24,59,23,6.09,0.16,6.25,108.4,101.6,87.9,0.343,0.165,0.502,14.0,27.9,0.262,0.453,14.4,67.8,0.236,Market Square Arena,645302,81,34.5,2.48,0.7,3.18,11.15,6305,3423,4.922871778,-0.457848246,4.465023532,12.62117781,10.15344972,2.467728096,4.841667227,-0.327802048,4.513865179,-0.407749952,81,58,23,34.5,99.3,2.3,6.5,11.1,1.0,18.2,0.1,4.0,9.9,10.7,8.9,28.1,0.136,0
6,1998-99,1999,Reggie Miller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,33,IND,NBA,SG,50,50,35.7,5.9,13.4,0.438,2.1,5.5,0.385,3.8,7.9,0.475,0.517,4.5,4.9,0.915,0.5,2.2,2.7,2.2,0.7,0.2,1.5,2.0,18.4,1787,9.1,20.9,0.438,3.3,8.6,0.385,5.8,12.3,0.475,7.0,7.7,0.915,0.8,3.4,4.2,3.5,1.2,0.3,2.4,3.1,28.6,119,108,1787,18.7,0.59,0.41,0.368,1.7,7.2,4.5,11.4,1.2,0.4,8.9,22.9,6.0,0.4,6.4,0.172,4.3,-1.2,3.2,2.3,50.0,12100,1731,3866,0.448,294,799,0.368,1437,3067,0.469,977,1228,0.796,574,1452,2026,1005,316,223,649,1082,4733,50.0,12100,1706,3935,0.434,206,634,0.325,1500,3301,0.454,928,1227,0.756,626,1426,2052,955,357,238,652,1127,4546,33,17,32,18,3.74,0.12,3.86,108.7,104.4,86.4,0.318,0.207,0.486,12.8,28.7,0.253,0.46,12.7,69.9,0.236,Market Square Arena,404536,50,35.7,2.7,-1.36,1.34,5.47,4133,2268,5.341593731,-1.484335609,3.857258121,7.678193554,5.694889185,1.98330437,5.437225774,-1.090747131,4.346478643,-0.304027742,50,33,17,35.8,102.7,2.2,6.0,10.1,0.7,16.4,0.2,5.2,9.7,9.9,9.9,26.5,0.068,0
7,1999-00,2000,Reggie Miller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,34,IND,NBA,SG,81,81,36.9,5.8,12.9,0.448,2.0,5.0,0.408,3.7,7.9,0.473,0.527,4.6,5.0,0.919,0.6,2.3,3.0,2.3,1.0,0.3,1.6,1.6,18.1,2987,8.0,18.0,0.448,2.8,7.0,0.408,5.2,11.0,0.473,6.4,7.0,0.919,0.9,3.3,4.1,3.2,1.5,0.4,2.2,2.2,25.4,118,107,2987,17.3,0.603,0.388,0.39,2.0,6.8,4.5,10.2,1.5,0.6,9.6,20.5,8.0,2.0,10.1,0.162,3.0,-0.3,2.7,3.6,82.0,19730,3047,6640,0.459,583,1487,0.392,2464,5153,0.478,1629,2008,0.811,842,2612,3454,1857,559,422,1159,1786,8306,82.0,19730,3113,6982,0.446,329,1006,0.327,2784,5976,0.466,1374,1821,0.755,1040,2545,3585,1735,610,323,1126,1910,7929,56,26,54,28,4.6,-0.45,4.15,108.5,103.6,93.1,0.302,0.224,0.503,13.3,24.9,0.245,0.469,12.6,71.5,0.197,Conseco Fieldhouse,752145,81,36.9,1.41,-0.63,0.78,6.59,7533,3879,4.337383057,-0.500081074,3.837301983,13.13101037,8.915604957,4.215405412,4.309965963,-0.279543413,4.030422551,-0.578467571,81,55,26,36.9,101.9,2.3,6.1,9.7,1.0,20.2,0.3,7.7,11.4,10.8,11.2,33.4,0.102,0
8,2000-01,2001,Reggie Miller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,35,IND,NBA,SG,81,81,39.3,6.4,14.5,0.44,2.1,5.7,0.366,4.3,8.8,0.487,0.512,4.0,4.3,0.928,0.5,3.0,3.5,3.2,1.0,0.2,1.6,2.0,18.9,3181,8.7,19.8,0.44,2.9,7.8,0.366,5.9,12.0,0.487,5.5,5.9,0.928,0.6,4.2,4.8,4.4,1.4,0.3,2.2,2.7,25.8,115,106,3181,17.3,0.574,0.395,0.296,1.4,8.5,5.1,15.0,1.4,0.3,9.1,21.5,8.1,2.2,10.3,0.155,2.8,-0.6,2.3,3.4,82.0,19980,2828,6431,0.44,396,1159,0.342,2432,5272,0.461,1539,2009,0.766,921,2595,3516,1763,563,487,1244,1926,7591,82.0,19980,2829,6683,0.423,377,1121,0.336,2452,5562,0.441,1572,2074,0.758,1042,2495,3537,1695,589,387,1115,1882,7607,41,41,40,42,-0.2,-0.57,-0.77,102.0,102.2,89.4,0.312,0.18,0.471,14.5,27.0,0.239,0.452,12.8,71.4,0.235,Conseco Fieldhouse,731800,81,39.3,2.07,-2.66,-0.6,4.78,6317,3358,3.956854537,-1.085280056,2.871574481,9.629133352,8.844215353,0.784917999,3.67664784,-0.719725138,2.956922702,-0.298625847,81,41,40,39.3,101.7,3.0,7.7,12.2,1.0,18.1,0.2,3.9,11.8,11.2,10.5,28.7,0.101,0
9,2001-02,2002,Reggie Miller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,36,IND,NBA,SG,79,79,36.6,5.2,11.6,0.453,2.3,5.6,0.406,3.0,5.9,0.498,0.552,3.7,4.1,0.911,0.3,2.5,2.8,3.2,1.1,0.1,1.5,1.8,16.5,2889,7.5,16.5,0.453,3.3,8.0,0.406,4.2,8.5,0.498,5.3,5.9,0.911,0.4,3.5,4.0,4.6,1.6,0.2,2.2,2.6,23.6,121,108,2889,16.5,0.617,0.485,0.356,0.9,7.5,4.3,14.7,1.6,0.2,10.2,18.5,7.7,1.9,9.5,0.159,2.7,-0.2,2.5,3.3,82.0,19905,2935,6580,0.446,405,1195,0.339,2530,5385,0.47,1663,2155,0.772,930,2568,3498,1884,658,436,1249,1876,7938,82.0,19905,2977,6800,0.438,418,1200,0.348,2559,5600,0.457,1544,2062,0.749,1048,2514,3562,1771,618,466,1173,1855,7916,42,40,42,40,0.27,-0.34,-0.07,104.1,103.8,91.9,0.328,0.182,0.477,14.2,27.0,0.253,0.469,13.2,71.0,0.227,Conseco Fieldhouse,686537,79,36.6,2.16,-2.64,-0.48,4.26,5973,3087,3.906229132,-1.765501308,2.140727823,7.706587136,6.923796397,0.782790739,3.517406743,-1.387606837,2.129799905,-0.289073646,79,40,39,36.6,104.5,2.5,6.8,10.7,1.1,18.2,0.1,3.3,11.9,11.4,10.5,30.3,0.08,0
