,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1994-95,1995,Lamond Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,LAC,NBA,SF,81,61,31.6,5.4,13.5,0.402,0.8,2.7,0.298,4.6,10.8,0.427,0.431,2.5,3.3,0.754,1.6,2.7,4.4,1.6,0.9,0.7,2.0,2.2,14.1,2556,8.7,21.8,0.402,1.3,4.3,0.298,7.4,17.4,0.427,4.0,5.3,0.754,2.6,4.4,7.0,2.6,1.4,1.1,3.2,3.6,22.7,95,113,2556,11.6,0.472,0.199,0.242,5.7,10.9,8.1,8.7,1.4,1.6,11.9,23.4,-1.4,1.1,-0.3,-0.006,-1.5,-2.0,-3.4,-0.9,82.0,19880.0,3060.0,6888.0,0.444,331.0,1051.0,0.315,2729.0,5837.0,0.468,1476.0,2079.0,0.71,1064.0,2076.0,3140.0,1805.0,787.0,435.0,1334.0,2152.0,7927.0,82.0,19880.0,3207.0,6470.0,0.496,388.0,1049.0,0.37,2819.0,5421.0,0.52,1876.0,2503.0,0.75,1083.0,2536.0,3619.0,1917.0,693.0,459.0,1506.0,1905.0,8678.0,17,65,18,64,-9.16,0.73,-8.43,101.5,111.1,94.3,0.302,0.153,0.468,14.6,29.6,0.214,0.526,16.6,65.7,0.29,Los Angeles Memorial Sports Arena,438244,0,0,0.0,0.0,0.0,0.0,5079,2556,-2.736247929,-1.366352313,-4.102600242,-1.760884406,-1.760884406,0.0,-2.630226657,-1.658724099,-4.288950756,-0.160089472,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1995-96,1996,Lamond Murray,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,LAC,NBA,SF,77,32,23.6,3.3,7.5,0.447,0.5,1.5,0.319,2.9,6.0,0.479,0.479,1.3,1.7,0.75,1.2,2.0,3.2,1.1,0.8,0.3,1.4,2.0,8.4,1816,7.3,16.3,0.447,1.0,3.3,0.319,6.2,13.0,0.479,2.8,3.7,0.75,2.5,4.5,7.0,2.4,1.7,0.7,3.1,4.3,18.4,100,112,1816,11.1,0.513,0.202,0.23,5.8,10.6,8.1,7.1,1.7,1.0,14.6,18.2,0.3,0.9,1.2,0.032,-1.4,-1.0,-2.4,-0.2,82.0,19730.0,3126.0,6618.0,0.472,509.0,1374.0,0.37,2617.0,5244.0,0.499,1392.0,1984.0,0.702,979.0,2190.0,3169.0,1672.0,703.0,411.0,1355.0,2008.0,8153.0,82.0,19730.0,3090.0,6471.0,0.478,444.0,1195.0,0.372,2646.0,5276.0,0.502,1824.0,2444.0,0.746,1034.0,2362.0,3396.0,1658.0,689.0,401.0,1357.0,1860.0,8448.0,29,53,31,51,-3.6,0.13,-3.46,106.5,110.3,93.2,0.3,0.208,0.511,15.3,29.3,0.21,0.512,15.2,67.9,0.282,Los Angeles Memorial Sports Arena,405495,0,0,0.0,0.0,0.0,0.0,3567,1816,-1.751439276,-0.989937459,-2.741376735,0.007985683,0.007985683,0.0,-1.854288866,-1.378066693,-3.232355558,-0.046208138,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1996-97,1997,Lamond Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,LAC,NBA,SF,74,1,17.5,2.4,5.9,0.416,0.4,1.2,0.341,2.0,4.6,0.436,0.452,2.1,2.9,0.739,1.1,2.0,3.1,0.8,0.7,0.4,1.2,1.5,7.4,1295,7.3,17.7,0.416,1.3,3.7,0.341,6.1,14.0,0.436,6.3,8.6,0.739,3.4,6.0,9.5,2.3,2.2,1.2,3.5,4.6,22.3,104,107,1295,14.4,0.52,0.209,0.485,7.4,13.8,10.5,7.2,2.2,1.8,14.0,21.2,0.9,1.2,2.1,0.078,-0.4,-0.4,-0.8,0.4,82.0,19930.0,2989.0,6696.0,0.446,474.0,1339.0,0.354,2515.0,5357.0,0.469,1517.0,2074.0,0.731,1092.0,2242.0,3334.0,1662.0,733.0,441.0,1311.0,1964.0,7969.0,82.0,19930.0,2975.0,6445.0,0.462,480.0,1345.0,0.357,2495.0,5100.0,0.489,1732.0,2312.0,0.749,1051.0,2450.0,3501.0,1654.0,737.0,419.0,1369.0,1860.0,8162.0,36,46,34,48,-2.35,-0.31,-2.66,105.1,107.6,91.3,0.31,0.2,0.482,14.7,30.8,0.227,0.499,15.5,68.1,0.269,Los Angeles Memorial Sports Arena,232895,74,17.5,-0.56,-0.37,-0.93,1.89,2610,1360,-1.026846219,-0.048441172,-1.075287392,1.16477311,1.104308712,0.060464398,-1.113156833,-0.739010678,-1.852167511,0.057248746,74,31,43,17.5,103.7,2.0,11.9,20.7,0.7,21.8,0.4,18.6,6.1,5.6,4.4,16.2,0.053,0
3,1997-98,1998,Lamond Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,LAC,NBA,SF,79,65,32.6,6.0,12.5,0.481,0.7,1.9,0.353,5.3,10.5,0.504,0.508,2.8,3.7,0.748,2.2,3.9,6.1,1.8,1.5,0.7,2.2,2.4,15.4,2579,9.5,19.8,0.481,1.1,3.1,0.353,8.4,16.7,0.504,4.4,5.9,0.748,3.5,6.3,9.7,2.9,2.4,1.1,3.4,3.9,24.6,107,110,2579,17.8,0.548,0.155,0.299,7.5,13.9,10.7,9.9,2.4,1.4,13.3,22.1,3.7,1.2,4.9,0.092,1.4,-0.8,0.5,1.6,82.0,19780.0,2930.0,6690.0,0.438,525.0,1468.0,0.358,2405.0,5222.0,0.461,1480.0,2047.0,0.723,1040.0,2276.0,3316.0,1533.0,625.0,456.0,1323.0,1827.0,7865.0,82.0,19780.0,3236.0,6832.0,0.474,334.0,923.0,0.362,2902.0,5909.0,0.491,1663.0,2267.0,0.734,1169.0,2469.0,3638.0,1826.0,726.0,412.0,1158.0,1747.0,8469.0,17,65,21,61,-7.37,-0.16,-7.53,103.3,111.2,92.4,0.306,0.219,0.477,14.8,29.6,0.221,0.498,12.9,66.1,0.243,Los Angeles Memorial Sports Arena,254840,79,32.6,0.5,-0.65,-0.15,4.77,5022,2579,0.953903045,0.079514318,1.033417363,4.968566888,4.968566888,0.0,0.896823579,0.189935449,1.086759029,-0.17755644,79,17,62,32.6,108.2,3.9,12.5,21.1,1.5,27.9,0.7,19.9,12.3,11.0,9.9,33.4,0.035,0
4,1998-99,1999,Lamond Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,LAC,NBA,SF,50,13,26.3,4.5,11.6,0.391,0.7,2.1,0.33,3.8,9.5,0.404,0.42,2.5,3.1,0.803,1.2,2.7,3.9,1.2,1.2,0.4,2.0,2.1,12.2,1317,9.2,23.5,0.391,1.4,4.2,0.33,7.8,19.3,0.404,5.1,6.4,0.803,2.4,5.5,7.9,2.5,2.4,0.8,4.0,4.4,24.9,95,109,1317,14.3,0.473,0.178,0.272,5.0,13.0,8.7,8.7,2.4,1.1,13.3,25.7,0.1,0.2,0.3,0.01,-0.2,-1.8,-2.1,0.0,50.0,12125.0,1711.0,4007.0,0.427,214.0,668.0,0.32,1497.0,3339.0,0.448,883.0,1225.0,0.721,665.0,1293.0,1958.0,820.0,424.0,236.0,796.0,1223.0,4519.0,50.0,12125.0,1830.0,3858.0,0.474,222.0,627.0,0.354,1608.0,3231.0,0.498,1078.0,1445.0,0.746,640.0,1506.0,2146.0,1101.0,419.0,289.0,782.0,1042.0,4960.0,9,41,11,39,-8.82,-0.12,-8.94,100.0,109.7,89.5,0.306,0.167,0.454,14.9,30.6,0.22,0.503,14.8,66.9,0.279,Los Angeles Memorial Sports Arena,256568,50,26.3,-0.3,-1.49,-1.79,1.35,2484,1317,-1.709474524,-1.029841181,-2.739315705,0.007193729,0.007193729,0.0,-1.378349192,-1.222469149,-2.600818342,0.182959046,50,9,41,26.3,107.8,2.7,11.5,19.1,1.2,26.0,0.4,16.3,10.3,7.6,8.7,24.7,0.006,0
5,1999-00,2000,Lamond Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,CLE,NBA,SF,74,72,32.0,6.2,13.8,0.451,0.7,1.9,0.367,5.5,11.9,0.465,0.476,2.8,3.6,0.761,1.7,4.0,5.7,1.8,1.4,0.5,2.5,2.8,15.9,2365,9.8,21.6,0.451,1.1,2.9,0.367,8.7,18.7,0.465,4.3,5.7,0.761,2.7,6.3,9.0,2.8,2.2,0.8,3.9,4.4,24.9,98,104,2365,14.9,0.517,0.136,0.263,5.9,14.2,10.0,10.1,2.2,1.1,13.9,24.3,0.7,2.6,3.3,0.067,0.0,-0.3,-0.3,1.0,82.0,19855.0,2977.0,6734.0,0.442,343.0,919.0,0.373,2634.0,5815.0,0.453,1653.0,2205.0,0.75,1010.0,2499.0,3509.0,1941.0,715.0,363.0,1427.0,2219.0,7950.0,82.0,19855.0,2983.0,6736.0,0.443,420.0,1229.0,0.342,2563.0,5507.0,0.465,1851.0,2385.0,0.776,1013.0,2586.0,3599.0,1942.0,659.0,500.0,1389.0,2058.0,8237.0,32,50,31,51,-3.5,-0.14,-3.64,100.4,104.0,95.7,0.327,0.136,0.468,15.6,28.1,0.245,0.474,15.1,71.2,0.275,Gund Arena,603702,74,32.0,-0.36,-0.21,-0.58,3.08,4769,2365,-0.971602787,0.560344873,-0.411257914,2.824804009,2.824804009,0.0,-0.761987508,0.454245186,-0.307742322,0.094286855,74,27,47,32.0,101.9,4.0,12.3,19.4,1.4,24.6,0.5,16.1,12.6,9.5,9.0,24.8,0.089,0
6,2000-01,2001,Lamond Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,CLE,NBA,SF,78,46,28.5,5.0,11.9,0.423,0.8,2.1,0.37,4.2,9.7,0.434,0.456,2.0,2.7,0.735,1.3,3.0,4.4,1.6,1.1,0.3,1.8,2.2,12.8,2225,9.2,21.9,0.423,1.4,3.9,0.37,7.8,18.0,0.434,3.7,5.0,0.735,2.5,5.6,8.0,2.9,2.0,0.6,3.3,4.1,23.6,97,106,2225,13.9,0.49,0.178,0.228,5.4,12.3,8.9,10.1,2.0,0.9,12.2,23.5,0.8,1.5,2.3,0.05,-0.1,-1.0,-1.1,0.5,82.0,19830.0,2890.0,6532.0,0.442,220.0,659.0,0.334,2670.0,5873.0,0.455,1561.0,2040.0,0.765,1015.0,2440.0,3455.0,1708.0,642.0,436.0,1350.0,1904.0,7561.0,82.0,19830.0,2927.0,6582.0,0.445,422.0,1155.0,0.365,2505.0,5427.0,0.462,1633.0,2125.0,0.768,990.0,2400.0,3390.0,1880.0,694.0,542.0,1229.0,1810.0,7909.0,30,52,28,54,-4.24,-0.23,-4.48,100.3,104.9,91.2,0.312,0.101,0.459,15.4,29.7,0.239,0.477,14.1,71.1,0.248,Gund Arena,650775,78,28.5,-0.05,-1.37,-1.42,2.09,4276,2225,-0.691775352,-1.314033384,-2.005808736,0.845050792,0.845050792,0.0,-0.461529121,-1.191278526,-1.652807647,0.027172103,78,30,48,28.5,103.5,3.0,11.0,17.5,1.1,23.0,0.3,11.2,10.7,8.3,8.3,21.6,0.057,0
7,2001-02,2002,Lamond Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,CLE,NBA,SF,71,68,32.6,6.1,13.9,0.436,1.4,3.4,0.424,4.6,10.5,0.44,0.487,3.0,3.7,0.817,1.1,4.1,5.2,2.2,1.0,0.6,2.0,2.1,16.6,2312,9.9,22.7,0.436,2.3,5.5,0.424,7.6,17.2,0.44,4.9,6.0,0.817,1.9,6.7,8.6,3.6,1.6,1.0,3.2,3.4,27.0,105,109,2312,16.7,0.534,0.241,0.267,4.2,14.7,9.5,12.2,1.6,1.3,11.3,24.7,2.9,1.3,4.1,0.086,1.8,-1.3,0.5,1.5,82.0,19855.0,2948.0,6582.0,0.448,387.0,1026.0,0.377,2561.0,5556.0,0.461,1529.0,1980.0,0.772,968.0,2483.0,3451.0,1891.0,572.0,470.0,1196.0,1752.0,7812.0,82.0,19855.0,3053.0,6678.0,0.457,473.0,1200.0,0.394,2580.0,5478.0,0.471,1506.0,2014.0,0.748,928.0,2382.0,3310.0,1989.0,602.0,459.0,1063.0,1638.0,8085.0,29,53,31,51,-3.33,-0.19,-3.52,104.6,108.2,90.3,0.301,0.156,0.477,13.8,28.9,0.232,0.493,12.3,72.8,0.226,Gund Arena,596115,71,32.6,0.63,-0.1,0.53,4.75,4399,2312,0.666936634,-0.35541282,0.311523814,3.601841024,3.601841024,0.0,0.924110646,-0.500816956,0.423293691,-0.240898577,71,26,45,32.5,106.7,4.1,12.9,19.9,1.0,22.5,0.6,15.9,11.4,8.3,9.6,27.3,0.047,0
8,2003-04,2004,Lamond Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,TOR,NBA,SF,33,4,15.7,2.3,6.5,0.353,0.6,1.8,0.35,1.7,4.7,0.355,0.402,0.7,1.1,0.686,0.4,2.3,2.7,0.8,0.5,0.2,1.2,1.4,6.0,518,8.1,23.0,0.353,2.2,6.4,0.35,5.9,16.6,0.355,2.6,3.7,0.686,1.5,8.1,9.6,3.0,1.6,0.7,4.1,5.0,21.0,81,100,518,8.9,0.428,0.279,0.163,3.1,17.0,10.0,10.4,1.6,1.0,14.2,25.1,-1.1,0.7,-0.3,-0.031,-3.6,-0.2,-3.8,-0.2,82.0,19980.0,2654.0,6348.0,0.418,461.0,1294.0,0.356,2193.0,5054.0,0.434,1237.0,1650.0,0.75,830.0,2419.0,3249.0,1574.0,604.0,402.0,1164.0,1748.0,7006.0,82.0,19980.0,2722.0,6365.0,0.428,273.0,889.0,0.307,2449.0,5476.0,0.447,1536.0,2055.0,0.747,1034.0,2662.0,3696.0,1518.0,590.0,333.0,1196.0,1619.0,7253.0,33,49,31,51,-3.01,-0.4,-3.42,97.0,100.4,86.8,0.26,0.204,0.454,14.1,23.8,0.195,0.449,14.1,70.1,0.241,Air Canada Centre,750608,33,15.7,-2.56,0.93,-1.63,0.58,947,518,-4.503526391,-0.461815692,-4.965342083,-0.588893956,-0.588893956,0.0,-4.131829835,-1.548231073,-5.680060909,0.531910314,33,13,20,15.8,93.9,2.3,15.7,24.0,0.5,19.0,0.2,16.7,5.4,3.8,4.0,12.2,0.078,0
9,2004-05,2005,Lamond Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,TOR,NBA,SF,62,1,14.8,2.1,5.0,0.426,0.7,1.7,0.438,1.4,3.3,0.42,0.5,1.0,1.3,0.763,0.7,1.9,2.6,0.8,0.5,0.3,0.9,1.4,6.0,918,7.4,17.5,0.426,2.6,5.9,0.438,4.9,11.6,0.42,3.4,4.5,0.763,2.5,6.8,9.3,2.7,1.8,0.9,3.0,4.8,20.9,103,108,918,13.7,0.537,0.339,0.258,5.3,15.1,10.1,8.5,1.8,1.3,13.5,19.9,0.5,0.7,1.3,0.067,0.1,-0.1,0.0,0.5,82.0,19805.0,2952.0,6656.0,0.444,648.0,1681.0,0.385,2304.0,4975.0,0.463,1626.0,2101.0,0.774,844.0,2444.0,3288.0,1670.0,621.0,317.0,1087.0,1876.0,8178.0,82.0,19805.0,3133.0,6708.0,0.467,435.0,1222.0,0.356,2698.0,5486.0,0.492,1610.0,2165.0,0.744,991.0,2720.0,3711.0,1814.0,507.0,360.0,1182.0,1795.0,8311.0,33,49,36,46,-1.62,-0.19,-1.81,106.9,108.7,92.7,0.316,0.253,0.492,12.5,23.7,0.244,0.499,13.4,71.1,0.24,Air Canada Centre,703388,62,14.8,-0.2,1.03,0.83,2.45,1793,918,-0.740632556,0.543635159,-0.196997397,1.195679986,1.195679986,0.0,-0.818317558,-0.587511141,-1.405828699,-0.004118103,62,25,37,14.8,102.9,1.9,12.9,20.7,0.5,21.6,0.3,19.5,4.9,4.7,3.2,11.9,0.046,0
