,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1998-99,1999,Mikki Moore,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,DET,NBA,C,2,0,3.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0,6,9.3,9.3,1.0,0.0,0.0,,9.3,9.3,1.0,18.5,18.5,1.0,0.0,9.3,9.3,0.0,0.0,0.0,0.0,0.0,37.1,229,104,6,35.7,1.064,0.0,2.0,0.0,20.5,10.2,0.0,0.0,0.0,0.0,14.9,0.1,0.0,0.1,0.527,15.2,3.0,18.2,0.0,50.0,12050,1660,3716,0.447,248,679,0.365,1412,3037,0.465,950,1283,0.74,605,1412,2017,1009,444,208,790,1139,4518,50.0,12050,1585,3639,0.436,236,682,0.346,1349,2957,0.456,941,1317,0.715,548,1377,1925,1043,424,225,770,1113,4347,29,21,32,18,3.42,0.55,3.97,104.2,100.3,86.3,0.345,0.183,0.48,15.6,30.5,0.256,0.468,15.4,72.0,0.259,The Palace of Auburn Hills,444585,0,0,0.0,0.0,0.0,0.0,11,6,9.756796232,-1.82386432,7.932931912,0.03197224,0.03197224,0.0,7.331167484,-4.124070462,3.207097022,-2.009917942,2,0,2,2.6,27.3,0.5,14.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079,0.0
1,1999-00,2000,Mikki Moore,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,DET,NBA,C,29,0,16.8,3.0,4.8,0.621,0.0,0.0,,3.0,4.8,0.621,0.621,1.9,2.3,0.794,1.5,2.3,3.9,0.6,0.3,1.1,0.8,3.6,7.9,488,8.9,14.4,0.621,0.0,0.0,,8.9,14.4,0.621,5.6,7.0,0.794,4.5,7.0,11.5,1.7,0.9,3.2,2.4,10.7,23.4,128,104,488,19.6,0.671,0.0,0.486,10.5,16.1,13.3,5.9,0.9,4.6,11.9,17.4,1.7,0.5,2.2,0.218,0.3,0.5,0.7,0.3,82.0,19830,3044,6635,0.459,439,1223,0.359,2605,5412,0.481,1956,2506,0.781,917,2458,3375,1707,665,273,1288,2011,8483,82.0,19830,3119,6706,0.465,458,1234,0.371,2661,5472,0.486,1669,2237,0.746,973,2504,3477,1893,652,396,1400,2219,8365,42,40,45,37,1.44,-0.31,1.13,107.3,105.8,95.7,0.378,0.184,0.492,14.3,26.8,0.295,0.499,15.4,71.6,0.249,The Palace of Auburn Hills,678470,29,16.8,1.81,1.01,2.82,1.74,1063,530,1.477684987,0.317406807,1.795091794,1.244997854,1.110132687,0.134865166,0.982031366,0.748213457,1.730244823,0.744228516,29,16,13,16.9,98.0,2.3,13.5,22.7,0.3,12.9,1.1,57.4,5.9,5.4,4.0,10.4,0.067,0.0
2,2000-01,2001,Mikki Moore,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,DET,NBA,C,81,2,14.2,1.6,3.3,0.493,0.0,0.0,0.0,1.6,3.3,0.494,0.493,1.2,1.6,0.731,1.5,2.4,3.9,0.4,0.3,0.8,0.9,2.5,4.4,1154,5.8,11.8,0.493,0.0,0.0,0.0,5.8,11.7,0.494,4.2,5.7,0.731,5.3,8.6,13.9,1.4,1.1,2.7,3.2,8.9,15.8,105,100,1154,12.9,0.552,0.004,0.485,11.0,18.4,14.7,4.6,1.1,3.7,18.5,15.0,1.1,1.6,2.8,0.116,-3.4,0.8,-2.6,-0.2,82.0,19855,2919,6880,0.424,389,1112,0.35,2530,5768,0.439,1610,2233,0.721,1108,2626,3734,1629,613,447,1304,1955,7837,82.0,19855,2976,6850,0.434,428,1229,0.348,2548,5621,0.453,1596,2169,0.736,1012,2671,3683,1860,669,397,1274,2062,7976,32,50,36,46,-1.7,-0.39,-2.08,100.0,101.8,94.7,0.325,0.162,0.453,14.2,29.3,0.234,0.466,14.0,72.2,0.233,The Palace of Auburn Hills,607323,81,14.2,-2.0,1.72,-0.28,1.97,2303,1154,-2.841551979,0.80290184,-2.038650139,0.4208695,0.4208695,0.0,-3.040806385,0.624052159,-2.416754225,0.451422014,81,32,49,14.2,94.6,2.4,16.1,26.2,0.3,13.3,0.8,50.0,5.2,3.8,3.2,9.3,0.07,0.0
3,2001-02,2002,Mikki Moore,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,DET,NBA,C,30,0,7.2,1.0,2.0,0.475,0.0,0.1,0.5,0.9,2.0,0.475,0.484,0.7,0.9,0.769,0.7,1.0,1.8,0.4,0.2,0.3,0.5,1.2,2.6,217,7.1,15.0,0.475,0.2,0.5,0.5,6.9,14.5,0.475,4.9,6.4,0.769,5.4,7.6,13.0,2.7,1.7,2.2,3.4,8.6,19.4,107,101,217,14.9,0.545,0.033,0.426,12.0,16.7,14.4,8.6,1.7,2.9,16.2,18.8,0.3,0.3,0.6,0.133,-1.8,0.6,-1.3,0.0,82.0,19680,2845,6300,0.452,567,1509,0.376,2278,4791,0.475,1478,1954,0.756,810,2366,3176,1765,648,565,1193,1695,7735,82.0,19680,2926,6546,0.447,359,993,0.362,2567,5553,0.462,1349,1787,0.755,991,2511,3502,1638,651,335,1273,1874,7560,50,32,48,34,2.13,-0.45,1.69,104.8,102.4,90.0,0.31,0.24,0.497,14.3,24.4,0.235,0.474,14.8,70.5,0.206,The Palace of Auburn Hills,760807,30,7.2,-0.62,0.37,-0.26,0.34,412,217,-1.51495896,-0.867576954,-2.382535914,0.040902513,0.040902513,0.0,-1.742569805,-1.062088944,-2.804658748,0.494777878,30,15,15,7.1,98.2,1.0,15.1,23.8,0.2,21.9,0.3,37.5,2.6,1.9,1.6,4.5,0.032,0.0
4,2002-03,2003,Mikki Moore,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,BOS,NBA,C,3,0,4.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.7,0.0,2.0,0.0,12,0.0,4.4,0.0,0.0,0.0,,0.0,4.4,0.0,0.0,0.0,,4.4,0.0,4.4,0.0,0.0,8.8,0.0,26.4,0.0,60,101,12,-3.1,0.0,0.0,0.0,9.2,0.0,4.7,0.0,0.0,13.1,0.0,3.9,0.0,0.0,0.0,0.018,-16.7,3.7,-13.0,0.0,82.0,19830,2700,6509,0.415,719,2155,0.334,1981,4354,0.455,1480,1994,0.742,849,2471,3320,1575,720,303,1147,1758,7599,82.0,19830,2804,6450,0.435,463,1400,0.331,2341,5050,0.464,1560,2084,0.749,937,2750,3687,1824,617,367,1315,1798,7631,44,38,40,42,-0.39,-0.36,-0.75,101.2,101.6,90.9,0.306,0.331,0.47,13.4,23.6,0.227,0.471,15.1,72.5,0.242,FleetCenter,709049,8,5.4,-1.05,-0.7,-1.75,0.04,82,43,0.326534267,-3.188465631,-2.861931364,-0.005461674,-0.005461674,0.0,-0.542426058,-3.803152548,-4.345578606,0.007599939,8,4,4,5.3,113.1,0.3,4.1,7.1,0.0,0.0,0.5,57.1,1.4,1.3,0.6,5.3,-0.005,0.0
5,2002-03,2003,Mikki Moore,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,ATL,NBA,C,5,0,6.2,1.0,2.4,0.417,0.0,0.0,,1.0,2.4,0.417,0.417,1.6,2.0,0.8,1.0,0.4,1.4,0.6,0.0,0.4,0.4,0.2,3.6,31,8.5,20.4,0.417,0.0,0.0,,8.5,20.4,0.417,13.6,17.0,0.8,8.5,3.4,11.9,5.1,0.0,3.4,3.4,1.7,30.6,119,110,31,26.1,0.549,0.0,0.833,19.1,7.1,12.9,17.4,0.0,4.5,10.9,27.2,0.1,0.0,0.1,0.211,3.9,-1.5,2.5,0.0,82.0,19905,2859,6434,0.444,402,1141,0.352,2457,5293,0.464,1594,2011,0.793,937,2558,3495,1679,611,473,1367,1783,7714,82.0,19905,3015,6907,0.437,446,1243,0.359,2569,5664,0.454,1530,2013,0.76,1073,2420,3493,1771,738,409,1068,1668,8006,35,47,31,51,-3.56,-0.31,-3.87,102.3,106.1,91.0,0.313,0.177,0.476,15.7,27.9,0.248,0.469,12.1,70.4,0.222,Philips Arena,528655,8,5.4,-1.05,-0.7,-1.75,0.04,82,43,0.326534267,-3.188465631,-2.861931364,-0.005461674,-0.005461674,0.0,-0.542426058,-3.803152548,-4.345578606,0.007599939,8,4,4,5.3,113.1,0.3,4.1,7.1,0.0,0.0,0.5,57.1,1.4,1.3,0.6,5.3,-0.005,0.0
6,2003-04,2004,Mikki Moore,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,NJN,NBA,C,4,0,2.5,0.3,1.3,0.2,0.0,0.0,,0.3,1.3,0.2,0.2,0.0,0.0,,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.3,0.5,10,5.4,26.8,0.2,0.0,0.0,,5.4,26.8,0.2,0.0,0.0,,5.4,5.4,10.7,0.0,0.0,0.0,0.0,5.4,10.7,57,104,10,-3.5,0.2,0.0,0.0,11.8,11.8,11.8,0.0,0.0,0.0,0.0,23.5,-0.1,0.0,0.0,-0.202,-10.7,-6.8,-17.5,0.0,82.0,19705,2813,6372,0.441,377,1123,0.336,2436,5249,0.464,1398,1856,0.753,862,2473,3335,2009,709,322,1209,1722,7401,82.0,19705,2693,6302,0.427,418,1193,0.35,2275,5109,0.445,1392,1830,0.761,873,2471,3344,1627,656,374,1321,1739,7196,47,35,49,33,2.5,-0.63,1.88,100.8,98.0,89.4,0.291,0.176,0.471,14.4,25.9,0.219,0.46,15.7,73.9,0.221,Continental Airlines Arena,613051,32,12.3,-1.73,1.46,-0.27,0.76,722,395,-0.98405894,-0.778848784,-1.762907723,0.203820237,0.203820237,0.0,-1.417739735,-0.850552219,-2.268291954,0.654373439,32,18,14,12.3,92.1,1.7,15.3,23.9,0.2,13.0,0.4,37.1,4.7,2.2,3.1,7.4,0.07,0.0
7,2003-04,2004,Mikki Moore,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,UTA,NBA,PF,28,0,13.8,1.8,3.4,0.521,0.0,0.0,,1.8,3.4,0.521,0.521,1.1,1.3,0.857,1.0,1.9,2.9,0.7,0.3,0.5,0.8,2.3,4.6,385,7.1,13.5,0.521,0.0,0.0,,7.1,13.5,0.521,4.3,5.0,0.857,4.0,7.8,11.8,2.7,1.0,1.9,3.2,9.2,18.4,112,103,385,13.7,0.585,0.0,0.372,8.9,17.7,13.2,8.9,1.0,2.9,16.7,15.9,0.7,0.4,1.0,0.131,-1.4,0.8,-0.6,0.1,82.0,19780,2690,6172,0.436,252,786,0.321,2438,5386,0.453,1639,2196,0.746,1103,2272,3375,1671,583,494,1365,2096,7271,82.0,19780,2541,5879,0.432,415,1209,0.343,2126,4670,0.455,1874,2431,0.771,868,2131,2999,1528,666,530,1262,1999,7371,42,40,37,45,-1.22,0.69,-0.53,101.9,103.3,86.6,0.356,0.127,0.456,16.1,34.1,0.266,0.468,15.4,72.4,0.319,Delta Center,785330,32,12.3,-1.73,1.46,-0.27,0.76,722,395,-0.98405894,-0.778848784,-1.762907723,0.203820237,0.203820237,0.0,-1.417739735,-0.850552219,-2.268291954,0.654373439,32,18,14,12.3,92.1,1.7,15.3,23.9,0.2,13.0,0.4,37.1,4.7,2.2,3.1,7.4,0.07,0.0
8,2004-05,2005,Mikki Moore,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,LAC,NBA,PF,74,4,15.9,1.9,3.9,0.502,0.0,0.1,0.2,1.9,3.8,0.507,0.503,1.4,1.8,0.787,1.3,2.0,3.3,0.6,0.3,0.4,0.9,2.3,5.4,1178,6.6,13.1,0.502,0.0,0.2,0.2,6.5,12.9,0.507,4.9,6.2,0.787,4.4,6.8,11.2,2.1,0.9,1.5,2.9,7.9,18.1,111,108,1178,12.7,0.571,0.017,0.474,10.2,14.7,12.5,6.6,0.9,2.1,15.4,16.1,1.6,1.0,2.6,0.106,-1.8,-0.6,-2.4,-0.1,82.0,20030,2924,6368,0.459,231,669,0.345,2693,5699,0.473,1770,2274,0.778,980,2455,3435,1901,599,422,1290,1819,7849,82.0,20030,2936,6618,0.444,485,1317,0.368,2451,5301,0.462,1555,2041,0.762,986,2255,3241,1732,638,393,1122,1934,7912,37,45,39,43,-0.77,0.3,-0.47,105.5,106.4,89.1,0.357,0.105,0.477,14.9,30.3,0.278,0.48,13.0,71.3,0.235,STAPLES Center,696181,74,15.9,-1.55,-0.01,-1.56,1.24,2212,1178,-1.244533466,-1.473032678,-2.717566144,0.019538795,0.019538795,0.0,-1.57676605,-1.645143129,-3.221909179,0.215013675,74,36,38,15.8,102.7,2.0,13.0,21.5,0.3,10.9,0.4,31.1,5.7,4.5,2.8,11.9,0.051,0.0
9,2005-06,2006,Mikki Moore,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,SEA,NBA,C,47,1,12.4,1.1,2.6,0.435,0.0,0.0,0.0,1.1,2.6,0.443,0.435,1.0,1.3,0.742,0.9,1.8,2.8,0.6,0.1,0.3,0.9,2.0,3.3,583,4.9,11.1,0.435,0.0,0.2,0.0,4.9,11.0,0.443,4.1,5.6,0.742,4.0,7.7,11.7,2.4,0.6,1.3,3.6,8.3,13.8,99,115,583,8.6,0.509,0.016,0.5,9.0,18.1,13.5,6.8,0.6,2.0,20.9,14.7,0.1,0.0,0.1,0.006,-3.9,-1.5,-5.5,-0.5,82.0,19830,3077,6711,0.459,605,1631,0.371,2472,5080,0.487,1652,2104,0.785,1013,2233,3246,1696,622,306,1208,1933,8411,82.0,19830,3202,6596,0.485,542,1445,0.375,2660,5151,0.516,1713,2255,0.76,1003,2316,3319,1973,598,399,1194,1820,8659,35,47,33,49,-3.02,0.15,-2.88,111.1,114.4,91.6,0.314,0.243,0.504,13.7,30.4,0.246,0.527,13.6,69.0,0.26,KeyArena at Seattle Center,664157,47,12.4,-2.53,-1.31,-3.84,-0.36,1125,583,-3.681494293,-2.638564417,-6.32005871,-1.066687371,-1.066687371,0.0,-3.799046327,-2.983363564,-6.782409891,0.412939274,47,18,29,12.4,107.9,1.8,15.5,25.5,0.1,9.2,0.3,30.6,4.4,4.0,3.5,11.0,0.021,0.0
