,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2006-07,2007,P.J. Tucker,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,21,TOR,NBA,SF,17,0,4.9,0.6,1.3,0.5,0.0,0.0,,0.6,1.3,0.5,0.5,0.5,0.8,0.571,0.6,0.7,1.4,0.2,0.1,0.0,0.4,0.7,1.8,83,6.9,13.7,0.5,0.0,0.0,,6.9,13.7,0.5,5.0,8.7,0.571,6.9,7.5,14.4,1.9,1.2,0.0,3.7,7.5,18.7,104,107,83,12.8,0.533,0.0,0.636,15.4,17.2,16.3,5.7,1.2,0.0,17.6,19.1,0.1,0.1,0.1,0.085,-2.0,-1.0,-3.0,0.0,82.0,19755.0,3032.0,6547.0,0.463,531.0,1464.0,0.363,2501.0,5083.0,0.492,1562.0,1982.0,0.788,755.0,2480.0,3235.0,1822.0,581.0,321.0,1104.0,1672.0,8157.0,82.0,19755.0,3051.0,6593.0,0.463,533.0,1491.0,0.357,2518.0,5102.0,0.494,1441.0,1911.0,0.754,848.0,2641.0,3489.0,1742.0,489.0,317.0,1241.0,1786.0,8076.0,47,35,44,38,0.99,-0.38,0.61,107.0,106.0,92.6,0.303,0.224,0.504,13.0,22.2,0.239,0.503,14.3,74.5,0.219,Air Canada Centre,748603,17,4.9,-1.47,-1.47,-2.95,0.01,162,83,-1.345891066,-1.798125036,-3.144016103,-0.016758387,-0.016758387,0.0,-1.913100381,-2.490272175,-4.403372556,0.407879247,17,5,12,4.9,105.9,0.7,17.1,22.2,0.1,15.4,0.0,0.0,1.8,1.0,1.9,3.9,0.014,0.0
1,2012-13,2013,P.J. Tucker,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,PHO,NBA,SG,79,45,24.2,2.7,5.6,0.473,0.3,0.9,0.314,2.4,4.7,0.503,0.498,0.8,1.1,0.744,1.7,2.8,4.4,1.4,0.8,0.2,0.8,1.8,6.4,1910,5.6,11.9,0.473,0.6,1.9,0.314,5.1,10.1,0.503,1.7,2.3,0.744,3.5,5.9,9.4,2.9,1.7,0.5,1.8,3.9,13.6,109,109,1910,11.6,0.525,0.158,0.194,7.7,13.3,10.4,8.6,1.7,0.7,12.2,12.8,1.8,1.2,2.9,0.074,-1.3,-0.1,-1.5,0.2,82.0,19805.0,3061.0,6917.0,0.443,480.0,1455.0,0.33,2581.0,5462.0,0.473,1203.0,1618.0,0.744,959.0,2454.0,3413.0,1855.0,659.0,434.0,1278.0,1688.0,7805.0,82.0,19805.0,3181.0,6771.0,0.47,568.0,1464.0,0.388,2613.0,5307.0,0.492,1405.0,1855.0,0.757,958.0,2598.0,3556.0,1870.0,684.0,421.0,1258.0,1511.0,8335.0,25,57,23,59,-6.46,0.71,-5.75,101.2,108.1,93.4,0.234,0.21,0.477,14.3,27.0,0.174,0.512,14.2,71.9,0.208,US Airways Center,632913,79,24.2,-1.5,0.91,-0.59,2.52,3759,1910,-0.458357085,0.192553466,-0.265803619,2.410987746,2.410987746,0.0,-1.148525129,0.249367951,-0.899157179,-0.377552628,79,25,54,24.2,104.4,2.8,11.8,18.1,0.8,19.1,0.2,9.6,9.3,6.5,7.9,22.5,0.066,0.0
2,2013-14,2014,P.J. Tucker,12.0,0.0,1.0,1.0,False,0.0,6.0,500.0,28,PHO,NBA,SF,81,81,30.7,3.3,7.6,0.431,0.9,2.4,0.387,2.4,5.2,0.45,0.491,1.9,2.5,0.776,2.0,4.5,6.5,1.7,1.4,0.3,1.3,2.5,9.4,2490,5.3,12.4,0.431,1.5,3.8,0.387,3.8,8.5,0.45,3.1,4.0,0.776,3.2,7.4,10.6,2.8,2.2,0.5,2.1,4.1,15.3,113,106,2490,13.3,0.54,0.311,0.327,7.3,16.6,11.9,8.1,2.2,0.7,12.7,14.2,3.3,2.8,6.1,0.117,0.1,0.9,1.0,1.9,82.0,19755.0,3172.0,6845.0,0.463,765.0,2055.0,0.372,2407.0,4790.0,0.503,1520.0,2004.0,0.758,928.0,2601.0,3529.0,1563.0,688.0,374.0,1258.0,1798.0,8629.0,82.0,19755.0,3118.0,6840.0,0.456,556.0,1632.0,0.341,2562.0,5208.0,0.492,1621.0,2115.0,0.766,926.0,2586.0,3512.0,1664.0,613.0,332.0,1258.0,1749.0,8413.0,48,34,48,34,2.63,0.39,3.02,109.5,106.7,95.8,0.293,0.3,0.519,14.0,26.4,0.222,0.496,13.9,73.7,0.237,US Airways Center,650739,81,30.7,-1.86,-0.19,-2.05,1.23,5086,2490,0.766865986,0.947089907,1.713955893,5.705718209,5.705718209,0.0,0.378950266,1.47354113,1.852491396,0.587186064,81,48,33,30.7,105.9,4.5,14.6,22.1,1.4,25.8,0.3,9.8,10.5,9.1,9.5,29.4,0.079,0.0
3,2014-15,2015,P.J. Tucker,-1.0,0.0,1.0,0.0,False,0.0,0.0,500.0,29,PHO,NBA,SF,78,63,30.6,3.3,7.6,0.438,1.1,3.2,0.345,2.2,4.4,0.506,0.511,1.3,1.8,0.727,1.5,5.0,6.4,1.6,1.4,0.3,1.2,2.3,9.1,2383,5.5,12.5,0.438,1.8,5.3,0.345,3.6,7.2,0.506,2.2,3.0,0.727,2.4,8.1,10.5,2.6,2.2,0.5,2.0,3.7,14.9,108,105,2383,12.5,0.541,0.423,0.24,5.2,18.0,11.5,7.4,2.2,0.7,12.7,13.9,2.2,2.7,4.9,0.098,-0.7,1.0,0.4,1.4,82.0,19880.0,3178.0,7038.0,0.452,698.0,2048.0,0.341,2480.0,4990.0,0.497,1343.0,1767.0,0.76,896.0,2643.0,3539.0,1659.0,700.0,385.0,1238.0,1744.0,8397.0,82.0,19880.0,3149.0,6972.0,0.452,633.0,1798.0,0.352,2516.0,5174.0,0.486,1540.0,2030.0,0.759,951.0,2766.0,3717.0,1734.0,651.0,337.0,1276.0,1664.0,8471.0,39,43,38,44,-0.9,0.52,-0.38,105.3,106.2,96.3,0.251,0.291,0.501,13.7,24.5,0.191,0.497,14.0,73.5,0.221,US Airways Center,693862,78,30.6,-2.51,0.66,-1.84,1.44,4836,2383,-0.51333563,1.31387114,0.800535511,4.311941762,4.311941762,0.0,-0.603569736,2.158271036,1.554701301,-0.107134632,78,36,42,30.6,103.8,5.0,15.7,24.3,1.4,24.9,0.3,10.0,10.9,8.6,9.7,27.7,0.088,0.0
4,2015-16,2016,P.J. Tucker,-1.0,0.0,1.0,0.0,False,0.0,0.0,500.0,30,PHO,NBA,SF,82,80,31.0,2.9,7.1,0.411,0.8,2.5,0.33,2.1,4.6,0.455,0.469,1.3,1.7,0.746,2.0,4.2,6.2,2.2,1.3,0.2,1.4,2.5,8.0,2540,4.6,11.2,0.411,1.3,4.0,0.33,3.3,7.2,0.455,2.0,2.7,0.746,3.2,6.7,9.8,3.4,2.0,0.4,2.1,3.9,12.5,105,109,2540,10.8,0.506,0.354,0.244,6.9,15.2,10.9,10.2,2.0,0.6,14.7,12.7,1.5,1.9,3.5,0.066,-1.5,0.4,-1.2,0.5,82.0,19705.0,3051.0,7018.0,0.435,738.0,2118.0,0.348,2313.0,4900.0,0.472,1431.0,1905.0,0.751,943.0,2733.0,3676.0,1701.0,632.0,313.0,1410.0,1858.0,8271.0,82.0,19705.0,3208.0,6870.0,0.467,770.0,2041.0,0.377,2438.0,4829.0,0.505,1631.0,2177.0,0.749,813.0,2770.0,3583.0,1837.0,782.0,449.0,1224.0,1770.0,8817.0,23,59,24,58,-6.66,0.34,-6.32,102.2,109.0,98.5,0.271,0.302,0.487,15.2,25.4,0.204,0.523,13.5,77.1,0.237,Talking Stick Resort Arena,701405,82,31.0,-2.39,1.07,-1.32,1.81,5256,2540,-0.769383615,0.940687972,0.171304358,3.783909538,3.783909538,0.0,-1.334883695,1.009357021,-0.325526675,-0.047287505,82,23,59,31.0,107.1,4.2,13.8,19.6,1.3,26.2,0.2,10.8,13.8,8.0,11.0,26.8,0.066,0.0
5,2016-17,2017,P.J. Tucker,-1.0,0.0,1.0,0.0,False,0.0,0.0,500.0,31,PHO,NBA,SF,57,17,28.5,2.6,6.2,0.415,0.8,2.4,0.338,1.8,3.8,0.463,0.48,1.1,1.4,0.792,1.6,4.4,6.0,1.3,1.5,0.2,0.9,2.5,7.0,1627,4.3,10.4,0.415,1.4,4.0,0.338,3.0,6.4,0.463,1.8,2.3,0.792,2.8,7.3,10.1,2.1,2.5,0.4,1.5,4.2,11.8,109,111,1627,10.6,0.517,0.384,0.218,6.1,17.0,11.4,6.1,2.5,0.7,11.8,11.3,1.0,1.3,2.4,0.069,-1.5,0.9,-0.6,0.6,82.0,19830.0,3270.0,7260.0,0.45,615.0,1854.0,0.332,2655.0,5406.0,0.491,1676.0,2159.0,0.776,976.0,2712.0,3688.0,1604.0,673.0,399.0,1265.0,2030.0,8831.0,82.0,19830.0,3300.0,7070.0,0.467,825.0,2159.0,0.382,2475.0,4911.0,0.504,1868.0,2387.0,0.783,840.0,2772.0,3612.0,1818.0,663.0,435.0,1222.0,1822.0,9293.0,24,58,27,55,-5.63,0.49,-5.14,106.6,112.2,100.3,0.297,0.255,0.493,13.4,26.0,0.231,0.525,13.1,76.4,0.264,Talking Stick Resort Arena,708639,81,27.6,-3.05,2.67,-0.38,2.33,5100,2487,-1.058917759,1.74741504,0.688497281,4.369162747,3.84307296,0.526089787,-1.450803788,2.026304974,0.575501186,-0.514796269,81,35,46,27.6,107.2,4.4,16.0,23.4,1.4,30.2,0.2,9.4,9.3,7.4,8.3,23.5,0.083,0.0
6,2016-17,2017,P.J. Tucker,-1.0,0.0,1.0,0.0,False,0.0,0.0,500.0,31,TOR,NBA,SF,24,4,25.4,2.2,5.3,0.406,1.0,2.5,0.4,1.2,2.8,0.412,0.5,0.5,0.7,0.688,1.0,4.4,5.4,1.1,1.3,0.2,0.6,2.2,5.8,609,4.3,10.7,0.406,2.0,5.0,0.4,2.3,5.7,0.412,0.9,1.3,0.688,1.9,8.8,10.7,2.2,2.6,0.4,1.2,4.4,11.6,110,106,609,10.4,0.515,0.469,0.125,4.3,19.6,12.0,5.9,2.6,0.7,9.4,10.9,0.4,0.9,1.3,0.099,-1.4,1.9,0.5,0.4,82.0,19780.0,3211.0,6918.0,0.464,725.0,1996.0,0.363,2486.0,4922.0,0.505,1615.0,2028.0,0.796,871.0,2676.0,3547.0,1517.0,677.0,400.0,1041.0,1708.0,8762.0,82.0,19780.0,3052.0,6801.0,0.449,794.0,2240.0,0.354,2258.0,4561.0,0.495,1519.0,1948.0,0.78,831.0,2619.0,3450.0,1786.0,547.0,392.0,1200.0,1666.0,8417.0,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,94.7,0.293,0.289,0.517,11.8,25.0,0.233,0.507,13.5,76.3,0.223,Air Canada Centre,813050,81,27.6,-3.05,2.67,-0.38,2.33,5100,2487,-1.058917759,1.74741504,0.688497281,4.369162747,3.84307296,0.526089787,-1.450803788,2.026304974,0.575501186,-0.514796269,81,35,46,27.6,107.2,4.4,16.0,23.4,1.4,30.2,0.2,9.4,9.3,7.4,8.3,23.5,0.083,0.0
7,2017-18,2018,P.J. Tucker,-1.0,0.0,1.0,0.0,False,1.0,0.0,500.0,32,HOU,NBA,PF,82,34,27.8,2.1,5.4,0.39,1.4,3.8,0.371,0.7,1.6,0.435,0.52,0.5,0.7,0.717,1.1,4.4,5.6,0.9,1.0,0.3,0.9,2.5,6.1,2281,3.7,9.5,0.39,2.5,6.7,0.371,1.2,2.8,0.435,0.9,1.3,0.717,2.0,7.9,9.9,1.7,1.7,0.6,1.6,4.4,10.8,107,106,2281,8.3,0.537,0.703,0.136,4.6,17.8,11.3,4.6,1.7,1.0,13.7,10.5,1.0,3.0,3.9,0.082,-1.9,0.8,-1.1,0.5,82.0,19755.0,3174.0,6906.0,0.46,1256.0,3470.0,0.362,1918.0,3436.0,0.558,1609.0,2061.0,0.781,739.0,2825.0,3564.0,1767.0,699.0,392.0,1135.0,1597.0,9213.0,82.0,19755.0,3244.0,7017.0,0.462,829.0,2365.0,0.351,2415.0,4652.0,0.519,1201.0,1610.0,0.746,710.0,2738.0,3448.0,1837.0,609.0,363.0,1194.0,1670.0,8518.0,65,17,61,21,8.48,-0.27,8.21,114.7,106.1,97.6,0.298,0.502,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,Toyota Center,732722,82,27.8,-3.71,0.05,-3.66,-3.27,5829,2850,-0.426108588,0.74409591,0.317987321,4.524923925,2.297183729,2.227740196,0.221121569,1.376091664,1.597213233,-0.666563279,82,65,17,27.8,103.4,4.4,16.0,22.8,1.0,18.4,0.3,11.5,9.4,7.0,7.0,26.7,0.11,0.0
8,2018-19,2019,P.J. Tucker,-1.0,0.0,1.0,0.0,False,0.0,0.0,500.0,33,HOU,NBA,PF,82,82,34.2,2.5,6.4,0.396,1.8,4.7,0.377,0.7,1.7,0.449,0.535,0.5,0.7,0.695,1.5,4.4,5.8,1.2,1.6,0.5,0.8,3.1,7.3,2802,3.6,9.2,0.396,2.6,6.8,0.377,1.1,2.4,0.449,0.7,1.0,0.695,2.1,6.3,8.4,1.7,2.3,0.7,1.1,4.4,10.5,114,110,2802,9.2,0.547,0.74,0.113,4.7,14.4,9.5,4.6,2.3,1.2,10.3,9.5,2.0,3.0,5.0,0.086,-1.6,1.0,-0.6,1.0,82.0,19830.0,3218.0,7163.0,0.449,1323.0,3721.0,0.356,1895.0,3442.0,0.551,1582.0,2001.0,0.791,836.0,2613.0,3449.0,1741.0,700.0,405.0,1094.0,1803.0,9341.0,82.0,19830.0,3313.0,7106.0,0.466,831.0,2444.0,0.34,2482.0,4662.0,0.532,1493.0,1944.0,0.768,899.0,2825.0,3724.0,1929.0,607.0,369.0,1232.0,1640.0,8950.0,53,29,53,29,4.77,0.19,4.96,115.5,110.7,97.9,0.279,0.519,0.542,12.0,22.8,0.221,0.525,13.4,74.4,0.21,Toyota Center,740392,82,34.2,-2.95,0.29,-2.65,-2.81,6596,3228,-1.214969928,2.007087921,0.792117992,5.87200693,3.869264351,2.00274258,-0.511944087,2.773153322,2.261209235,-0.636398156,82,53,29,34.2,109.5,4.4,12.9,19.8,1.6,25.9,0.5,13.8,11.4,9.1,10.5,36.2,0.091,0.0
9,2019-20,2020,P.J. Tucker,-1.0,0.0,1.0,0.0,False,0.0,0.0,500.0,34,HOU,NBA,PF,72,72,34.3,2.5,5.9,0.415,1.5,4.2,0.358,1.0,1.8,0.551,0.541,0.5,0.7,0.813,1.6,5.1,6.6,1.6,1.1,0.5,1.0,3.2,6.9,2467,3.3,8.0,0.415,2.0,5.6,0.358,1.3,2.4,0.551,0.7,0.9,0.813,2.1,6.8,8.9,2.2,1.4,0.7,1.4,4.3,9.4,114,111,2467,8.3,0.559,0.702,0.113,4.7,15.6,10.1,6.0,1.4,1.2,13.9,8.7,1.6,2.4,4.0,0.078,-2.4,0.6,-1.9,0.1,72.0,17380.0,2936.0,6512.0,0.451,1126.0,3261.0,0.345,1810.0,3251.0,0.557,1484.0,1876.0,0.791,704.0,2484.0,3188.0,1557.0,627.0,371.0,1057.0,1566.0,8482.0,72.0,17380.0,3045.0,6589.0,0.462,880.0,2522.0,0.349,2165.0,4067.0,0.532,1299.0,1706.0,0.761,803.0,2645.0,3448.0,1819.0,578.0,354.0,1163.0,1515.0,8269.0,44,28,42,30,2.96,0.17,3.13,112.9,110.1,103.7,0.288,0.501,0.537,12.6,21.0,0.228,0.529,13.7,75.6,0.197,Toyota Center,578458,72,34.3,-2.59,2.1,-0.48,2.98,6169,2881,-2.103867408,2.310093238,0.206225831,4.377284614,3.156735668,1.220548946,-2.044780596,3.008301951,0.963521355,-0.712846732,72,44,28,34.3,108.9,5.1,13.7,20.6,1.1,17.7,0.5,13.3,12.4,10.0,11.3,35.8,0.099,0.0
