,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Olden Polynice,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,DET,NBA,C,67,18,19.4,3.1,6.4,0.49,0.0,0.0,0.0,3.1,6.4,0.491,0.49,1.0,2.1,0.465,2.7,3.5,6.2,0.4,0.5,0.3,0.8,1.9,7.3,1299,8.3,17.0,0.49,0.0,0.0,0.0,8.3,17.0,0.491,2.6,5.6,0.465,7.2,9.4,16.6,1.1,1.2,0.8,2.1,5.0,19.3,107,107,1299,14.6,0.494,0.002,0.331,14.8,21.1,17.8,3.4,1.2,1.0,9.9,18.0,1.1,1.5,2.6,0.095,-0.9,-1.4,-2.3,-0.1,82.0,19780,3267,7211,0.453,292,908,0.322,2975,6303,0.472,1426,1957,0.729,1293,2315,3608,1941,580,249,1152,1747,8252,82.0,19780,3321,6906,0.481,261,769,0.339,3060,6137,0.499,1463,1987,0.736,1099,2442,3541,2048,623,363,1219,1804,8366,40,42,37,45,-1.39,0.29,-1.1,107.4,108.9,93.2,0.271,0.126,0.473,12.5,34.6,0.198,0.5,13.5,67.8,0.212,The Palace of Auburn Hills,889614,0,0,0.0,0.0,0.0,0.0,2551,1299,-2.146113652,0.528629474,-1.617484178,0.748450034,0.748450034,0.0,-2.021764273,-0.006096163,-2.027860436,-0.277221279,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Olden Polynice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,DET,NBA,C,37,36,36.5,6.0,11.0,0.547,0.0,0.0,0.0,6.0,10.9,0.548,0.547,1.1,2.5,0.457,4.0,8.3,12.3,0.6,0.6,1.0,1.3,2.9,13.1,1350,8.4,15.3,0.547,0.0,0.0,0.0,8.4,15.3,0.548,1.6,3.5,0.457,5.6,11.6,17.2,0.8,0.9,1.4,1.9,4.1,18.4,111,108,1350,15.9,0.544,0.002,0.227,12.0,25.6,18.7,2.6,0.9,1.7,9.9,16.1,1.7,1.2,2.9,0.102,0.5,-1.0,-0.6,0.5,82.0,19730,3169,7017,0.452,358,1041,0.344,2811,5976,0.47,1253,1715,0.731,1027,2320,3347,1767,602,309,1236,1935,7949,82.0,19730,3255,6878,0.473,272,814,0.334,2983,6064,0.492,1805,2451,0.736,1191,2590,3781,2097,721,368,1169,1602,8587,20,62,21,61,-7.78,0.33,-7.46,102.7,110.9,94.2,0.244,0.148,0.477,13.7,28.4,0.179,0.493,12.8,66.1,0.262,The Palace of Auburn Hills,806641,0,0,0.0,0.0,0.0,0.0,4841,2402,-0.87258419,-0.940774547,-1.813358737,1.137588867,1.137588867,0.0,-0.874425575,-0.442031197,-1.316456772,-0.582254201,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1993-94,1994,Olden Polynice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,SAC,NBA,C,31,29,33.9,4.0,8.3,0.484,0.0,0.0,0.0,4.0,8.2,0.486,0.484,1.8,3.2,0.556,4.9,6.5,11.4,0.6,0.6,1.0,0.9,2.6,9.8,1052,5.8,12.0,0.484,0.0,0.0,0.0,5.8,11.9,0.486,2.6,4.6,0.556,7.1,9.5,16.5,0.9,0.8,1.5,1.4,3.8,14.2,113,108,1052,13.7,0.506,0.004,0.387,15.3,21.4,18.3,2.6,0.8,1.9,8.8,13.2,1.4,0.9,2.2,0.102,-0.1,-1.9,-2.0,0.0,82.0,19755,3179,7027,0.452,257,729,0.353,2922,6298,0.464,1676,2292,0.731,1122,2349,3471,2029,669,355,1333,1979,8291,82.0,19755,3360,7017,0.479,277,771,0.359,3083,6246,0.494,1767,2448,0.722,1189,2574,3763,2052,746,498,1341,1895,8764,28,54,26,56,-5.77,0.44,-5.32,103.3,109.2,97.5,0.326,0.104,0.471,14.2,30.4,0.239,0.499,14.2,66.4,0.252,ARCO Arena (II),710497,0,0,0.0,0.0,0.0,0.0,4841,2402,-0.87258419,-0.940774547,-1.813358737,1.137588867,1.137588867,0.0,-0.874425575,-0.442031197,-1.316456772,-0.582254201,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1994-95,1995,Olden Polynice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,SAC,NBA,C,81,81,31.3,4.6,8.5,0.544,0.0,0.0,1.0,4.6,8.5,0.543,0.545,1.5,2.4,0.639,3.4,5.5,9.0,0.8,0.6,0.6,1.4,2.9,10.8,2534,7.7,14.2,0.544,0.0,0.0,1.0,7.7,14.2,0.543,2.5,4.0,0.639,5.7,9.2,14.9,1.3,1.0,1.1,2.3,4.9,18.0,114,106,2534,14.7,0.565,0.001,0.281,13.0,20.2,16.7,4.0,1.0,1.5,12.7,15.6,3.3,3.4,6.7,0.126,-0.2,-0.5,-0.7,0.8,82.0,19855,3025,6463,0.468,359,1037,0.346,2666,5426,0.491,1647,2317,0.711,1073,2325,3398,1824,650,457,1449,2040,8056,82.0,19855,2964,6549,0.453,377,1240,0.304,2587,5309,0.487,1833,2473,0.741,1145,2268,3413,1820,756,515,1348,2033,8138,39,43,38,44,-1.0,0.26,-0.74,105.5,106.5,92.3,0.359,0.16,0.496,16.2,32.1,0.255,0.481,15.0,67.0,0.28,ARCO Arena (II),709997,0,0,0.0,0.0,0.0,0.0,4929,2534,-1.183709887,1.126120276,-0.057589611,3.459710256,3.459710256,0.0,-1.276320364,1.032663504,-0.243656861,-0.571796273,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1995-96,1996,Olden Polynice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,SAC,NBA,C,81,80,30.1,5.3,10.1,0.527,0.0,0.0,0.333,5.3,10.1,0.528,0.528,1.5,2.5,0.601,3.2,6.3,9.4,0.7,0.6,0.8,1.6,3.1,12.2,2441,9.1,17.2,0.527,0.0,0.1,0.333,9.1,17.2,0.528,2.6,4.3,0.601,5.4,10.7,16.1,1.2,1.1,1.4,2.7,5.3,20.7,108,107,2441,15.8,0.543,0.004,0.248,12.1,24.1,18.1,4.1,1.1,2.0,12.3,18.6,2.5,2.8,5.3,0.105,-0.4,-1.3,-1.7,0.2,82.0,19755,2971,6494,0.457,462,1194,0.387,2509,5300,0.473,1759,2407,0.731,1114,2345,3459,1829,643,436,1442,2131,8163,82.0,19755,2987,6461,0.462,461,1215,0.379,2526,5246,0.482,1950,2596,0.751,1056,2312,3368,1805,767,505,1356,2006,8385,39,43,33,49,-2.71,0.09,-2.62,106.2,109.1,93.4,0.371,0.184,0.493,16.0,32.5,0.271,0.498,15.1,69.0,0.302,ARCO Arena (II),709999,0,0,0.0,0.0,0.0,0.0,5076,2582,-1.535743272,0.664258151,-0.871485121,2.483409135,1.962963703,0.520445432,-1.429389917,0.763523637,-0.66586628,-0.438712185,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,1996-97,1997,Olden Polynice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,32,SAC,NBA,C,82,82,35.3,5.4,11.8,0.457,0.0,0.1,0.0,5.4,11.7,0.46,0.457,1.7,3.1,0.562,3.3,6.1,9.4,2.2,0.6,1.0,2.0,3.6,12.5,2893,8.1,17.6,0.457,0.0,0.1,0.0,8.1,17.5,0.46,2.6,4.6,0.562,5.0,9.1,14.1,3.2,0.8,1.5,3.0,5.4,18.7,100,108,2893,13.1,0.476,0.006,0.26,10.9,20.4,15.6,10.2,0.8,2.1,13.4,19.3,0.6,2.7,3.3,0.055,-1.8,-1.0,-2.8,-0.6,82.0,19855,3000,6611,0.454,414,1058,0.391,2586,5553,0.466,1494,2067,0.723,1100,2307,3407,1799,588,362,1332,1946,7908,82.0,19855,3010,6521,0.462,442,1254,0.352,2568,5267,0.488,1723,2337,0.737,1063,2341,3404,1777,716,429,1257,1789,8185,34,48,31,51,-3.38,-0.26,-3.64,105.0,108.7,91.0,0.313,0.16,0.485,15.0,32.0,0.226,0.495,14.3,68.5,0.264,ARCO Arena (II),709993,82,35.3,-1.46,0.84,-0.63,4.13,5548,2893,-2.761788516,-0.327042473,-3.088830988,-0.498009195,-0.498009195,0.0,-2.353895306,0.063607488,-2.290287817,-0.384681672,82,34,48,35.2,106.3,6.1,18.1,29.4,0.6,11.0,1.0,33.1,13.5,9.6,10.5,30.4,0.078,0
6,1997-98,1998,Olden Polynice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,33,SAC,NBA,C,70,25,20.8,3.6,7.7,0.459,0.0,0.0,0.0,3.6,7.7,0.46,0.459,0.7,1.6,0.452,2.5,3.8,6.3,1.5,0.5,0.6,1.4,2.3,7.9,1458,8.9,19.4,0.459,0.0,0.0,0.0,8.9,19.3,0.46,1.9,4.1,0.452,6.2,9.5,15.7,3.8,1.3,1.6,3.5,5.6,19.7,96,104,1458,14.7,0.464,0.002,0.212,12.9,20.8,16.8,12.7,1.3,2.1,14.2,21.1,-0.1,1.6,1.5,0.049,-1.6,-0.9,-2.5,-0.2,82.0,19730,2957,6684,0.442,283,806,0.351,2674,5878,0.455,1440,2096,0.687,1094,2304,3398,1836,596,420,1271,1810,7637,82.0,19730,3095,6776,0.457,345,968,0.356,2750,5808,0.473,1560,2102,0.742,1157,2533,3690,1824,694,466,1256,1775,8095,27,55,25,57,-5.59,-0.25,-5.83,100.8,106.9,92.1,0.314,0.121,0.464,14.3,30.2,0.215,0.482,14.0,66.6,0.23,ARCO Arena (II),605443,70,20.8,-0.13,-0.44,-0.57,2.27,2830,1458,-2.834020917,0.056300107,-2.77772081,-0.020549926,-0.020549926,0.0,-2.549157336,-0.221250831,-2.770408167,-0.313651671,70,25,45,20.8,103.9,3.8,19.0,32.8,0.5,16.4,0.6,37.2,8.1,6.6,7.1,19.5,0.051,0
7,1998-99,1999,Olden Polynice,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,34,SEA,NBA,C,48,47,30.9,3.5,7.5,0.472,0.0,0.0,1.0,3.5,7.4,0.471,0.473,0.6,2.0,0.309,3.8,5.0,8.9,0.9,0.4,0.6,1.0,3.1,7.7,1481,6.1,12.9,0.472,0.0,0.0,1.0,6.1,12.9,0.471,1.0,3.4,0.309,6.7,8.7,15.4,1.6,0.7,1.1,1.8,5.4,13.3,103,106,1481,11.8,0.461,0.003,0.263,14.2,19.0,16.6,4.7,0.7,1.5,10.9,13.7,1.3,0.7,2.0,0.065,-1.4,-2.2,-3.6,-0.6,50.0,12100,1756,3976,0.442,309,899,0.344,1447,3077,0.47,922,1354,0.681,676,1422,2098,1087,393,201,765,1047,4743,50.0,12100,1838,4026,0.457,264,765,0.345,1574,3261,0.483,857,1187,0.722,652,1446,2098,1111,399,224,746,1165,4797,25,25,23,27,-1.08,-0.35,-1.43,105.0,106.2,89.6,0.341,0.226,0.481,14.3,31.9,0.232,0.489,14.1,68.6,0.213,KeyArena at Seattle Center,426800,48,30.9,-1.93,-0.58,-2.51,0.75,2796,1481,-2.162491896,-1.359478703,-3.5219706,-0.57986571,-0.57986571,0.0,-2.074608877,-0.864411488,-2.939020365,-0.530760698,48,23,25,30.8,104.5,5.0,17.3,28.3,0.4,8.6,0.6,28.3,9.8,9.2,8.4,26.7,0.039,0
8,1999-00,2000,Olden Polynice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,35,UTA,NBA,C,82,79,22.2,2.5,4.9,0.51,0.0,0.0,0.5,2.5,4.8,0.51,0.511,0.3,1.1,0.311,2.0,3.5,5.5,0.5,0.4,1.0,0.9,3.2,5.3,1819,6.0,11.7,0.51,0.0,0.1,0.5,5.9,11.7,0.51,0.8,2.6,0.311,4.9,8.4,13.3,1.1,0.9,2.5,2.1,7.7,12.8,101,101,1819,10.4,0.497,0.005,0.226,11.4,18.8,15.2,3.2,0.9,3.5,13.8,12.9,0.7,2.5,3.2,0.084,-2.8,0.0,-2.8,-0.4,82.0,19755,2962,6380,0.464,329,854,0.385,2633,5526,0.476,1661,2150,0.773,936,2426,3362,2041,629,446,1220,2013,7914,82.0,19755,2781,6240,0.446,388,1097,0.354,2393,5143,0.465,1598,2141,0.746,887,2236,3123,1620,588,411,1270,2023,7548,55,27,54,28,4.46,0.05,4.52,107.3,102.3,89.6,0.337,0.134,0.49,14.3,29.5,0.26,0.477,15.0,73.2,0.256,Delta Center,801268,82,22.2,-2.83,1.35,-1.49,1.1,3915,2079,-3.079112887,1.03913251,-2.039980377,0.7514592,0.779406708,-0.027947507,-2.887297109,1.058454928,-1.828842182,0.170740695,82,55,27,22.2,100.9,3.5,17.4,26.3,0.4,9.5,1.0,44.9,6.5,5.4,5.2,16.3,0.068,0
9,2000-01,2001,Olden Polynice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,36,UTA,NBA,C,81,79,20.0,2.5,5.1,0.496,0.0,0.0,0.0,2.5,5.1,0.498,0.496,0.2,0.8,0.262,1.9,2.7,4.7,0.4,0.3,1.0,1.0,3.0,5.3,1619,6.8,13.7,0.496,0.0,0.0,0.0,6.8,13.7,0.498,0.6,2.1,0.262,5.2,7.3,12.5,1.0,0.9,2.5,2.6,8.0,14.2,96,102,1619,9.9,0.484,0.002,0.157,12.3,16.6,14.5,3.1,0.9,3.9,15.0,14.8,0.2,1.8,2.0,0.058,-3.1,-0.7,-3.9,-0.8,82.0,19780,2960,6289,0.471,325,852,0.381,2635,5437,0.485,1714,2280,0.752,943,2383,3326,2110,661,463,1296,2107,7959,82.0,19780,2667,6076,0.439,410,1194,0.343,2257,4882,0.462,1830,2391,0.765,874,2183,3057,1564,699,453,1320,2007,7574,53,29,55,27,4.7,0.31,5.0,107.6,102.4,89.8,0.363,0.135,0.497,15.1,30.2,0.273,0.473,15.6,73.2,0.301,Delta Center,792196,81,20.0,-2.01,-0.43,-2.44,0.41,3246,1719,-3.848088755,1.040616347,-2.807472408,-0.046270995,-0.113179135,0.06690814,-3.443685528,0.810279717,-2.63340581,0.254468988,81,53,28,20.0,100.2,2.7,15.0,23.3,0.3,9.3,1.0,46.7,6.8,5.5,5.3,15.2,0.061,0
