,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2013-14,2014,Cody Zeller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,CHA,NBA,C,82,3,17.3,2.1,4.9,0.426,0.0,0.0,0.0,2.1,4.9,0.427,0.426,1.8,2.4,0.73,1.4,2.9,4.3,1.1,0.5,0.5,1.1,2.1,6.0,1416,6.3,14.8,0.426,0.0,0.0,0.0,6.3,14.8,0.427,5.4,7.3,0.73,4.3,8.6,12.9,3.4,1.5,1.5,3.2,6.2,18.0,101,102,1416,13.1,0.498,0.002,0.495,9.4,18.8,14.1,10.4,1.5,2.3,15.0,18.9,0.4,2.2,2.6,0.09,-2.9,0.9,-2.0,0.0,82.0,19905.0,2976.0,6730.0,0.442,516.0,1471.0,0.351,2460.0,5259.0,0.468,1474.0,2000.0,0.737,776.0,2724.0,3500.0,1778.0,499.0,421.0,1010.0,1493.0,7942.0,82.0,19905.0,3022.0,6838.0,0.442,665.0,1800.0,0.369,2357.0,5038.0,0.468,1251.0,1649.0,0.759,785.0,2766.0,3551.0,1718.0,514.0,415.0,1090.0,1716.0,7960.0,43,39,40,42,-0.22,-0.67,-0.89,103.6,103.8,92.4,0.297,0.219,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,Time Warner Cable Arena,636268,82,17.3,-1.58,-0.94,-2.51,0.24,2970,1469,-1.496336091,-0.477737672,-1.974073763,0.577502166,0.861539341,-0.284037174,-1.911155654,-0.762957142,-2.674112796,0.78633436,82,43,39,17.3,101.6,2.9,15.9,24.4,0.5,22.0,0.5,24.0,5.4,4.7,4.1,14.9,0.07,0.71
1,2014-15,2015,Cody Zeller,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,CHO,NBA,C,62,45,24.0,2.8,6.0,0.461,0.0,0.0,1.0,2.8,6.0,0.46,0.462,2.0,2.6,0.774,1.6,4.3,5.8,1.6,0.5,0.8,1.0,2.5,7.6,1487,6.0,13.0,0.461,0.0,0.0,1.0,5.9,12.9,0.46,4.4,5.7,0.774,3.4,9.2,12.6,3.5,1.2,1.7,2.2,5.4,16.4,108,102,1487,14.1,0.53,0.003,0.44,7.0,20.1,13.4,10.9,1.2,2.6,12.2,15.6,1.6,2.2,3.8,0.123,-2.0,1.4,-0.6,0.5,82.0,19905.0,2913.0,6932.0,0.42,498.0,1566.0,0.318,2415.0,5366.0,0.45,1397.0,1867.0,0.748,820.0,2793.0,3613.0,1654.0,499.0,448.0,976.0,1494.0,7721.0,82.0,19905.0,3020.0,6863.0,0.44,649.0,1816.0,0.357,2371.0,5047.0,0.47,1292.0,1673.0,0.772,728.0,2890.0,3618.0,1815.0,502.0,440.0,1033.0,1708.0,7981.0,33,49,32,50,-3.17,-0.27,-3.44,100.1,103.5,93.0,0.269,0.226,0.456,11.2,22.1,0.202,0.487,12.0,79.3,0.188,Time Warner Cable Arena,704886,62,24.0,-0.87,1.92,1.05,3.76,2935,1487,-0.110467517,2.107309063,1.996841546,3.604943419,3.604943419,0.0,-0.305452127,2.163895868,1.858443742,0.097710858,62,27,35,24.0,100.0,4.3,17.5,25.5,0.5,18.4,0.8,28.5,6.9,6.5,5.6,18.8,0.099,1.79
2,2015-16,2016,Cody Zeller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,CHO,NBA,C,73,60,24.3,3.2,6.0,0.529,0.0,0.1,0.1,3.2,5.8,0.539,0.53,2.4,3.2,0.754,1.9,4.3,6.2,1.0,0.8,0.9,0.9,2.8,8.7,1774,6.5,12.4,0.529,0.0,0.3,0.1,6.5,12.1,0.539,4.9,6.6,0.754,3.9,9.0,12.9,2.0,1.6,1.8,1.9,5.8,18.0,119,102,1774,16.1,0.592,0.023,0.531,8.4,19.7,14.0,6.3,1.6,2.9,11.2,15.4,3.6,2.7,6.3,0.169,-1.1,1.0,-0.1,0.9,82.0,19855.0,3036.0,6922.0,0.439,873.0,2410.0,0.362,2163.0,4512.0,0.479,1534.0,1941.0,0.79,734.0,2869.0,3603.0,1778.0,595.0,438.0,1030.0,1487.0,8479.0,82.0,19855.0,3098.0,6971.0,0.444,726.0,2081.0,0.349,2372.0,4890.0,0.485,1334.0,1735.0,0.769,726.0,2936.0,3662.0,1901.0,553.0,448.0,1103.0,1670.0,8256.0,48,34,49,33,2.72,-0.36,2.36,107.1,104.3,95.7,0.28,0.348,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191,Time Warner Cable Arena,716894,73,24.3,-0.4,0.65,0.25,3.11,3880,1911,-1.002063104,1.335264423,0.333201319,3.007366486,3.016358994,-0.008992508,-1.249922735,1.435244971,0.185322236,0.200479421,73,42,31,24.3,103.4,4.3,17.8,25.1,0.8,20.7,0.9,31.2,7.2,5.6,6.0,19.4,0.08,1.78
3,2016-17,2017,Cody Zeller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,CHO,NBA,C,62,58,27.8,4.1,7.1,0.571,0.0,0.0,0.0,4.1,7.1,0.572,0.571,2.1,3.2,0.679,2.2,4.4,6.5,1.6,1.0,0.9,1.0,3.0,10.3,1725,7.4,12.9,0.571,0.0,0.0,0.0,7.4,12.9,0.572,3.9,5.7,0.679,3.9,7.9,11.8,2.9,1.8,1.7,1.9,5.5,18.6,121,107,1725,16.7,0.604,0.002,0.442,8.6,17.3,12.9,9.1,1.8,3.0,10.9,15.5,3.4,2.2,5.6,0.157,-0.9,1.1,0.2,1.0,82.0,19830.0,3093.0,7000.0,0.442,824.0,2347.0,0.351,2269.0,4653.0,0.488,1591.0,1953.0,0.815,721.0,2853.0,3574.0,1891.0,571.0,390.0,942.0,1360.0,8601.0,82.0,19830.0,3237.0,7092.0,0.456,950.0,2576.0,0.369,2287.0,4516.0,0.506,1161.0,1496.0,0.776,732.0,2909.0,3641.0,2012.0,539.0,450.0,1071.0,1631.0,8585.0,36,46,42,40,0.2,-0.26,-0.07,108.8,108.6,95.7,0.279,0.335,0.501,10.7,19.9,0.227,0.523,12.1,79.6,0.164,Spectrum Center,710643,62,27.8,0.0,1.45,1.45,3.96,3460,1725,-1.576323628,1.384166627,-0.192157001,2.246437134,2.246437134,0.0,-2.169774954,1.6360127,-0.533762254,-0.205132044,62,33,29,27.8,104.1,4.4,15.7,21.9,1.0,21.2,0.9,35.6,6.7,6.1,5.8,22.5,0.107,1.9
4,2017-18,2018,Cody Zeller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,CHO,NBA,C,33,0,19.0,2.6,4.7,0.545,0.1,0.1,0.667,2.5,4.6,0.542,0.551,1.8,2.6,0.718,2.0,3.3,5.4,0.9,0.4,0.6,1.0,2.5,7.1,627,6.6,12.1,0.545,0.2,0.2,0.667,6.5,11.9,0.542,4.7,6.6,0.718,5.2,8.6,13.8,2.4,1.1,1.6,2.6,6.3,18.1,119,108,627,15.9,0.602,0.019,0.545,11.4,19.3,15.3,7.4,1.1,2.8,14.6,15.7,1.2,0.7,1.9,0.145,-1.2,0.0,-1.2,0.1,82.0,19780.0,3197.0,7106.0,0.45,824.0,2233.0,0.369,2373.0,4873.0,0.487,1656.0,2216.0,0.747,827.0,2901.0,3728.0,1770.0,559.0,373.0,1041.0,1409.0,8874.0,82.0,19780.0,3370.0,7199.0,0.468,926.0,2467.0,0.375,2444.0,4732.0,0.516,1187.0,1494.0,0.795,692.0,2891.0,3583.0,2029.0,542.0,404.0,1112.0,1839.0,8853.0,36,46,42,40,0.26,-0.19,0.07,109.4,109.1,98.4,0.312,0.314,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,Spectrum Center,671404,33,19.0,-0.74,0.5,-0.24,0.53,1304,627,-1.210322204,1.976184001,0.765861797,1.132114903,1.132114903,0.0,-1.66562556,1.300260787,-0.365364773,0.653268746,33,14,19,19.0,104.7,3.3,18.4,24.8,0.4,14.3,0.6,46.7,5.5,2.8,3.4,17.3,0.068,0.93
5,2018-19,2019,Cody Zeller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,CHO,NBA,C,49,47,25.4,3.9,7.0,0.551,0.1,0.4,0.273,3.8,6.6,0.57,0.559,2.3,2.9,0.787,2.2,4.6,6.8,2.1,0.8,0.8,1.3,3.3,10.1,1243,7.4,13.5,0.551,0.2,0.9,0.273,7.2,12.6,0.57,4.3,5.5,0.787,4.3,8.7,13.0,4.0,1.5,1.6,2.4,6.4,19.4,123,111,1243,17.2,0.611,0.064,0.409,9.4,19.7,14.5,12.1,1.5,2.9,13.2,16.3,2.6,1.2,3.9,0.15,-0.6,0.7,0.1,0.7,82.0,19830.0,3297.0,7362.0,0.448,977.0,2783.0,0.351,2320.0,4579.0,0.507,1510.0,1895.0,0.797,814.0,2778.0,3592.0,1905.0,591.0,405.0,1001.0,1550.0,9081.0,82.0,19830.0,3436.0,7311.0,0.47,992.0,2748.0,0.361,2444.0,4563.0,0.536,1307.0,1660.0,0.787,825.0,2931.0,3756.0,2133.0,565.0,492.0,1109.0,1686.0,9171.0,39,43,38,44,-1.1,-0.22,-1.32,111.4,112.5,98.7,0.257,0.378,0.514,10.9,21.7,0.205,0.538,12.1,77.1,0.179,Spectrum Center,676570,49,25.4,-0.92,0.77,-0.15,1.0,2606,1243,0.464301593,0.551003528,1.015305121,2.395151564,2.395151564,0.0,0.277616709,0.640044641,0.91766135,0.310520809,49,22,27,25.4,110.9,4.6,17.1,25.8,0.8,18.7,0.8,36.3,7.3,7.5,6.5,24.8,0.057,0.78
6,2019-20,2020,Cody Zeller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,CHO,NBA,C,58,39,23.1,4.3,8.3,0.524,0.3,1.3,0.24,4.0,7.0,0.577,0.543,2.1,3.1,0.682,2.8,4.3,7.1,1.5,0.7,0.4,1.3,2.4,11.1,1341,9.4,17.9,0.524,0.7,2.8,0.24,8.7,15.1,0.577,4.6,6.7,0.682,6.0,9.4,15.4,3.3,1.5,0.9,2.8,5.2,24.0,116,111,1341,18.8,0.576,0.157,0.374,12.6,21.2,16.7,11.3,1.5,1.7,11.9,20.8,2.3,1.3,3.6,0.129,0.2,-0.8,-0.6,0.5,65.0,15750.0,2425.0,5586.0,0.434,785.0,2231.0,0.352,1640.0,3355.0,0.489,1052.0,1406.0,0.748,715.0,2066.0,2781.0,1549.0,428.0,268.0,949.0,1223.0,6687.0,65.0,15750.0,2708.0,5690.0,0.476,803.0,2279.0,0.352,1905.0,3411.0,0.558,907.0,1197.0,0.758,711.0,2276.0,2987.0,1732.0,523.0,328.0,935.0,1337.0,7126.0,23,42,19,46,-6.75,-0.28,-7.03,106.3,113.3,95.8,0.252,0.399,0.504,13.3,23.9,0.188,0.546,13.1,74.4,0.159,Spectrum Center,478591,58,23.1,-1.29,-0.02,-1.31,0.74,2724,1341,-0.358174042,-1.293406683,-1.651580725,0.750758953,0.750758953,0.0,-0.331085209,-1.206128536,-1.537213746,-0.102655073,58,18,40,23.1,113.6,4.3,19.7,29.5,0.7,22.1,0.4,26.6,8.0,6.1,5.2,24.8,0.036,-0.68
7,2020-21,2021,Cody Zeller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,CHO,NBA,C,48,21,20.9,3.8,6.8,0.559,0.1,0.6,0.143,3.7,6.2,0.598,0.565,1.8,2.5,0.714,2.5,4.4,6.8,1.8,0.6,0.4,1.1,2.5,9.4,1005,8.8,15.7,0.559,0.2,1.4,0.143,8.6,14.4,0.598,4.1,5.8,0.714,5.8,10.2,15.9,4.2,1.3,0.8,2.5,5.9,21.9,123,112,1005,18.2,0.599,0.086,0.367,12.6,22.9,17.7,13.2,1.3,1.7,11.9,18.3,2.1,1.1,3.3,0.156,-0.2,-0.2,-0.5,0.4,72.0,17355.0,2875.0,6324.0,0.455,985.0,2666.0,0.369,1890.0,3658.0,0.517,1146.0,1505.0,0.761,762.0,2389.0,3151.0,1933.0,565.0,344.0,1069.0,1298.0,7881.0,72.0,17355.0,2972.0,6346.0,0.468,1042.0,2847.0,0.366,1930.0,3499.0,0.552,1034.0,1387.0,0.745,766.0,2487.0,3253.0,1951.0,582.0,347.0,1062.0,1340.0,8020.0,33,39,32,40,-1.93,-0.01,-1.94,110.9,112.8,98.3,0.238,0.422,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,Spectrum Center,68255,48,20.9,0.49,-1.1,-0.61,1.47,2113,1005,-0.1350613855777466,1.179117093114007,1.04405570753626,1.950657025823853,1.950657025823853,0.0,-0.4128356957365396,1.035134116970352,0.6222984212338125,0.2725618508368881,48,21,27,20.9,110.3,4.4,21.0,30.1,0.6,16.7,0.4,27.0,8.1,5.4,5.2,20.4,0.065,0.09
8,2021-22,2022,Cody Zeller,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,POR,NBA,C,27,0,13.1,1.9,3.3,0.567,0.0,0.1,0.0,1.9,3.2,0.593,0.567,1.4,1.8,0.776,1.9,2.8,4.6,0.8,0.3,0.2,0.7,2.1,5.2,355,7.0,12.4,0.567,0.0,0.6,0.0,7.0,11.8,0.593,5.2,6.7,0.776,6.9,10.3,17.2,3.0,1.1,0.8,2.6,7.7,19.3,127,116,355,17.2,0.627,0.044,0.544,14.9,24.1,19.3,9.4,1.1,1.7,14.6,15.9,0.9,0.2,1.1,0.143,-1.2,-1.0,-2.1,0.0,82.0,19730.0,3161.0,7144.0,0.442,1043.0,3017.0,0.346,2118.0,4127.0,0.513,1346.0,1771.0,0.76,854.0,2661.0,3515.0,1880.0,657.0,366.0,1187.0,1728.0,8711.0,82.0,19730.0,3373.0,7045.0,0.479,1129.0,3046.0,0.371,2244.0,3999.0,0.561,1564.0,2014.0,0.777,800.0,2868.0,3668.0,2184.0,672.0,409.0,1150.0,1589.0,9439.0,27,55,20,62,-8.88,0.33,-8.55,107.8,116.9,98.3,0.248,0.422,0.515,13.0,22.9,0.188,0.559,12.7,76.9,0.222,Moda Center,705608,27,13.1,-0.1,-3.19,-3.29,0.37,748,355,-0.2224456828394046,-3.226755981455233,-3.449201664294637,-0.1270352122146332,-0.1270352122146332,0.0,-0.3964877710534978,-2.401035695987852,-2.79752346704135,0.3120014141860092,27,13,14,13.1,110.9,2.8,21.2,29.4,0.3,16.0,0.2,20.7,4.7,3.3,2.9,12.7,0.037,0.28
9,2022-23,2023,Cody Zeller,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,30,MIA,NBA,C,15,2,14.5,2.5,3.9,0.627,0.0,0.1,0.0,2.5,3.8,0.649,0.627,1.6,2.3,0.686,1.7,2.6,4.3,0.7,0.2,0.3,0.9,2.2,6.5,217,8.5,13.6,0.627,0.0,0.5,0.0,8.5,13.1,0.649,5.5,8.0,0.686,5.7,9.0,14.7,2.3,0.7,0.9,3.2,7.6,22.5,124,114,217,16.4,0.659,0.034,0.593,13.0,21.8,17.3,7.2,0.7,1.9,15.8,18.1,0.4,0.3,0.7,0.147,-2.0,-0.7,-2.8,0.0,82.0,19805.0,3215.0,6991.0,0.46,980.0,2852.0,0.344,2235.0,4139.0,0.54,1567.0,1885.0,0.831,796.0,2533.0,3329.0,1955.0,655.0,243.0,1106.0,1516.0,8977.0,82.0,19805.0,3288.0,6822.0,0.482,1077.0,2933.0,0.367,2211.0,3889.0,0.569,1350.0,1728.0,0.781,729.0,2702.0,3431.0,2097.0,571.0,309.0,1288.0,1643.0,9003.0,44,38,40,42,-0.32,0.18,-0.13,113.0,113.3,96.3,0.27,0.408,0.53,12.4,22.8,0.224,0.561,14.5,77.7,0.198,Kaseya Center,807190,15,14.5,-0.13,-3.48,-3.61,-0.02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,9,14.4,119.0,2.6,20.0,30.0,0.2,13.0,0.3,26.7,6.5,2.5,4.4,15.5,0.018,-0.02
