,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2012-13,2013,Terrence Ross,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,TOR,NBA,SG,73,2,17.0,2.5,6.3,0.407,0.9,2.7,0.332,1.7,3.6,0.464,0.478,0.4,0.6,0.714,0.5,1.5,2.0,0.7,0.6,0.2,0.7,1.7,6.4,1239,8.0,19.6,0.407,2.8,8.4,0.332,5.2,11.2,0.464,1.3,1.8,0.714,1.5,4.7,6.2,2.3,1.8,0.6,2.1,5.2,20.0,98,109,1239,10.4,0.491,0.429,0.092,3.3,10.6,6.9,7.2,1.8,0.9,9.2,19.6,0.0,0.8,0.9,0.034,-1.7,-0.7,-2.5,-0.1,82.0,19980.0,2979.0,6685.0,0.446,571.0,1665.0,0.343,2408.0,5020.0,0.48,1442.0,1831.0,0.788,871.0,2426.0,3297.0,1765.0,595.0,392.0,1124.0,1836.0,7971.0,82.0,19980.0,2971.0,6493.0,0.458,546.0,1511.0,0.361,2425.0,4982.0,0.487,1604.0,2148.0,0.747,877.0,2544.0,3421.0,1796.0,578.0,387.0,1169.0,1650.0,8092.0,34,48,37,45,-1.48,-0.48,-1.96,105.9,107.5,90.4,0.274,0.249,0.488,13.0,25.5,0.216,0.5,13.6,73.4,0.247,Air Canada Centre,743936,73,17.0,-0.64,-0.42,-1.06,1.19,2360,1239,-1.255798099,-1.343384239,-2.599182338,0.096063337,0.096063337,0.0,-1.107368398,-1.346986916,-2.454355314,0.708778944,73,29,44,17.0,106.2,1.5,9.3,14.7,0.6,22.9,0.2,11.4,5.6,4.1,4.0,14.8,0.037,-1.58
1,2013-14,2014,Terrence Ross,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,TOR,NBA,SG,81,62,26.7,3.9,9.3,0.423,2.0,5.0,0.395,1.9,4.2,0.458,0.531,1.0,1.2,0.837,0.5,2.6,3.1,1.0,0.8,0.3,1.1,2.3,10.9,2159,7.7,18.2,0.423,3.9,9.9,0.395,3.8,8.3,0.458,2.0,2.4,0.837,1.0,5.1,6.1,1.9,1.5,0.7,2.1,4.4,21.3,107,107,2159,12.0,0.553,0.543,0.13,2.3,11.3,6.8,6.1,1.5,1.0,10.0,18.6,2.0,2.2,4.2,0.094,0.0,-0.2,-0.2,1.0,82.0,19955.0,2992.0,6718.0,0.445,713.0,1917.0,0.372,2279.0,4801.0,0.475,1608.0,2055.0,0.782,935.0,2552.0,3487.0,1737.0,577.0,343.0,1159.0,1882.0,8305.0,82.0,19955.0,2957.0,6573.0,0.45,568.0,1578.0,0.36,2389.0,4995.0,0.478,1557.0,2071.0,0.752,854.0,2505.0,3359.0,1719.0,596.0,352.0,1224.0,1815.0,8039.0,48,34,50,32,3.24,-0.69,2.55,108.8,105.3,91.8,0.306,0.285,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,Air Canada Centre,748339,81,26.7,0.43,-1.15,-0.71,2.94,4526,2317,0.204674568,-0.01667794,0.187996629,3.473579811,3.531840061,-0.05826025,0.429280928,-0.027129067,0.402151861,0.329569013,81,47,34,26.7,105.2,2.6,9.9,15.0,0.8,21.7,0.3,14.8,9.2,7.3,6.4,24.1,0.074,-0.18
2,2014-15,2015,Terrence Ross,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,TOR,NBA,SF,82,61,25.5,3.8,9.2,0.41,1.8,4.8,0.372,2.0,4.4,0.452,0.507,0.5,0.7,0.786,0.4,2.4,2.8,1.0,0.6,0.3,0.8,1.7,9.8,2092,7.6,18.6,0.41,3.6,9.6,0.372,4.1,9.0,0.452,1.1,1.4,0.786,0.8,4.8,5.6,2.1,1.3,0.6,1.7,3.4,19.9,103,110,2092,11.2,0.519,0.518,0.074,1.8,10.7,6.2,6.5,1.3,1.0,8.1,18.3,1.3,1.0,2.4,0.054,-0.1,-1.3,-1.4,0.3,82.0,19855.0,3108.0,6829.0,0.455,726.0,2060.0,0.352,2382.0,4769.0,0.499,1585.0,2014.0,0.787,881.0,2526.0,3407.0,1701.0,615.0,357.0,1057.0,1712.0,8527.0,82.0,19855.0,3116.0,6787.0,0.459,633.0,1828.0,0.346,2483.0,4959.0,0.501,1410.0,1923.0,0.733,922.0,2559.0,3481.0,1870.0,567.0,413.0,1182.0,1668.0,8275.0,49,33,49,33,3.07,-0.62,2.45,111.0,107.7,92.8,0.295,0.302,0.508,12.0,25.6,0.232,0.506,13.4,73.3,0.208,Air Canada Centre,809824,82,25.5,0.66,-2.64,-1.98,1.01,4315,2199,0.217454329,-1.656091387,-1.438637058,1.465514777,1.296545778,0.168968999,0.615584428,-1.905526988,-1.28994256,-0.524300321,82,49,33,25.5,109.0,2.4,9.5,14.4,0.6,18.0,0.3,13.7,7.8,7.5,6.6,24.2,0.032,-1.93
3,2015-16,2016,Terrence Ross,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,TOR,NBA,SF,73,7,23.9,3.7,8.6,0.431,1.8,4.6,0.386,1.9,3.9,0.484,0.536,0.7,0.8,0.79,0.3,2.2,2.5,0.8,0.7,0.3,0.6,1.6,9.9,1747,8.0,18.5,0.431,3.9,10.0,0.386,4.1,8.5,0.484,1.4,1.8,0.79,0.6,4.9,5.5,1.7,1.6,0.7,1.4,3.5,21.3,110,107,1747,12.9,0.551,0.542,0.099,1.4,10.6,6.1,5.3,1.6,1.2,6.6,18.2,2.1,1.6,3.6,0.1,0.6,-0.3,0.3,1.0,82.0,19780.0,3006.0,6669.0,0.451,708.0,1915.0,0.37,2298.0,4754.0,0.483,1702.0,2190.0,0.777,836.0,2724.0,3560.0,1536.0,636.0,449.0,1073.0,1610.0,8422.0,82.0,19780.0,2991.0,6732.0,0.444,717.0,1922.0,0.373,2274.0,4810.0,0.473,1354.0,1809.0,0.748,782.0,2561.0,3343.0,1781.0,534.0,442.0,1094.0,1801.0,8053.0,56,26,53,29,4.5,-0.42,4.08,110.0,105.2,92.9,0.328,0.287,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,Air Canada Centre,812863,73,23.9,-0.86,2.0,1.14,3.91,4068,2082,0.510212856,0.092181944,0.602394801,3.499231779,3.714738029,-0.21550625,0.82633326,-0.264523645,0.561809614,-0.694463506,73,53,20,23.9,101.2,2.2,9.2,13.6,0.7,20.5,0.3,11.3,6.9,5.6,4.7,19.4,0.094,-0.31
4,2016-17,2017,Terrence Ross,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,TOR,NBA,SF,54,0,22.4,3.9,8.9,0.441,1.8,4.7,0.375,2.1,4.1,0.516,0.541,0.8,0.9,0.82,0.3,2.3,2.6,0.8,1.0,0.4,0.6,1.5,10.4,1207,8.9,20.1,0.441,4.0,10.8,0.375,4.8,9.4,0.516,1.7,2.1,0.82,0.6,5.2,5.8,1.9,2.2,0.8,1.4,3.4,23.5,112,108,1207,14.9,0.558,0.534,0.104,1.3,11.6,6.5,5.9,2.2,1.4,6.2,19.8,1.6,1.3,2.9,0.116,1.1,0.2,1.2,1.0,82.0,19780.0,3211.0,6918.0,0.464,725.0,1996.0,0.363,2486.0,4922.0,0.505,1615.0,2028.0,0.796,871.0,2676.0,3547.0,1517.0,677.0,400.0,1041.0,1708.0,8762.0,82.0,19780.0,3052.0,6801.0,0.449,794.0,2240.0,0.354,2258.0,4561.0,0.495,1519.0,1948.0,0.78,831.0,2619.0,3450.0,1786.0,547.0,392.0,1200.0,1666.0,8417.0,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,94.7,0.293,0.289,0.517,11.8,25.0,0.233,0.507,13.5,76.3,0.223,Air Canada Centre,813050,78,25.1,1.6,-1.88,-0.28,2.18,4030,1955,1.448931318,0.049023173,1.497954491,4.269374323,4.269374323,0.0,1.356832887,0.191080604,1.547913492,0.481028547,78,39,39,25.1,108.9,2.4,9.6,14.2,1.1,24.4,0.4,16.6,7.5,7.0,6.2,23.9,0.06,-0.34
5,2016-17,2017,Terrence Ross,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,ORL,NBA,SF,24,24,31.2,4.8,11.1,0.431,1.9,5.6,0.341,2.9,5.5,0.523,0.517,1.0,1.1,0.852,0.2,2.7,2.8,1.8,1.4,0.5,1.5,2.5,12.5,748,7.6,17.7,0.431,3.0,8.9,0.341,4.6,8.7,0.523,1.5,1.8,0.852,0.3,4.2,4.5,2.8,2.3,0.9,2.3,4.0,19.8,99,110,748,11.1,0.536,0.506,0.101,0.6,9.6,5.0,9.0,2.3,1.4,11.2,18.5,0.0,0.6,0.6,0.037,-2.5,0.0,-2.5,-0.1,82.0,19805.0,3139.0,7133.0,0.44,701.0,2139.0,0.328,2438.0,4994.0,0.488,1309.0,1753.0,0.747,807.0,2734.0,3541.0,1820.0,580.0,396.0,1091.0,1584.0,8288.0,82.0,19805.0,3304.0,7081.0,0.467,794.0,2161.0,0.367,2510.0,4920.0,0.51,1425.0,1860.0,0.766,799.0,2934.0,3733.0,1936.0,622.0,419.0,1069.0,1532.0,8827.0,29,53,24,58,-6.57,-0.04,-6.61,103.7,110.5,96.8,0.246,0.3,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201,Amway Center,727875,78,25.1,1.6,-1.88,-0.28,2.18,4030,1955,1.448931318,0.049023173,1.497954491,4.269374323,4.269374323,0.0,1.356832887,0.191080604,1.547913492,0.481028547,78,39,39,25.1,108.9,2.4,9.6,14.2,1.1,24.4,0.4,16.6,7.5,7.0,6.2,23.9,0.06,-0.34
6,2017-18,2018,Terrence Ross,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,ORL,NBA,SG,24,20,25.0,3.2,8.0,0.398,1.3,3.9,0.323,1.9,4.1,0.469,0.476,1.1,1.5,0.75,0.4,2.6,3.0,1.6,1.1,0.5,1.2,1.9,8.7,600,6.2,15.6,0.398,2.4,7.6,0.323,3.8,8.0,0.469,2.2,2.9,0.75,0.8,5.1,6.0,3.1,2.2,0.9,2.4,3.7,17.1,96,110,600,9.9,0.505,0.487,0.188,1.8,11.6,6.7,9.3,2.2,1.5,12.3,17.3,-0.2,0.5,0.3,0.025,-2.8,0.1,-2.7,-0.1,82.0,19730.0,3182.0,7042.0,0.452,844.0,2405.0,0.351,2338.0,4637.0,0.504,1271.0,1678.0,0.757,722.0,2692.0,3414.0,1921.0,622.0,400.0,1192.0,1579.0,8479.0,82.0,19730.0,3355.0,7176.0,0.468,819.0,2260.0,0.362,2536.0,4916.0,0.516,1345.0,1741.0,0.773,868.0,2892.0,3760.0,1998.0,639.0,402.0,1166.0,1556.0,8874.0,25,57,28,54,-4.82,-0.1,-4.92,105.2,110.1,98.1,0.238,0.342,0.512,13.3,20.0,0.18,0.525,12.8,75.6,0.187,Amway Center,734531,24,25.0,-0.93,-0.24,-1.18,0.14,1278,600,-1.132492265,1.072455749,-0.060036516,0.828992489,0.828992489,0.0,-0.854193788,1.025784103,0.171590316,0.667475873,24,10,14,25.0,107.7,2.6,10.2,15.1,1.1,24.3,0.5,15.7,8.2,7.0,6.5,26.3,0.069,0.27
7,2018-19,2019,Terrence Ross,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,ORL,NBA,SG,81,0,26.5,5.4,12.7,0.428,2.7,7.0,0.383,2.8,5.7,0.484,0.534,1.6,1.8,0.875,0.3,3.1,3.5,1.7,0.9,0.4,1.1,1.5,15.1,2150,10.0,23.4,0.428,4.9,12.9,0.383,5.1,10.5,0.484,2.9,3.3,0.875,0.6,5.8,6.4,3.1,1.6,0.7,2.0,2.7,27.8,108,109,2150,15.4,0.561,0.551,0.14,1.3,12.8,7.0,9.9,1.6,1.1,7.6,23.9,1.7,2.6,4.3,0.095,1.1,-0.3,0.8,1.5,82.0,19780.0,3316.0,7307.0,0.454,937.0,2633.0,0.356,2379.0,4674.0,0.509,1231.0,1575.0,0.782,822.0,2902.0,3724.0,2095.0,543.0,445.0,1082.0,1526.0,8800.0,82.0,19780.0,3274.0,7185.0,0.456,858.0,2475.0,0.347,2416.0,4710.0,0.513,1336.0,1717.0,0.778,739.0,2922.0,3661.0,1892.0,575.0,362.0,1064.0,1537.0,8742.0,42,40,43,39,0.71,-0.43,0.28,108.9,108.1,98.1,0.216,0.36,0.518,11.9,22.0,0.168,0.515,11.8,79.7,0.186,Amway Center,720024,81,26.5,-0.02,1.37,1.35,3.68,4766,2296,0.993681612,-0.329349363,0.664332249,4.016351756,3.716995269,0.299356487,1.177638983,-0.602568446,0.575070537,0.156106861,81,42,39,26.5,105.9,3.1,11.3,16.0,0.9,26.1,0.4,11.5,7.5,6.0,6.2,24.3,0.1,-0.84
8,2019-20,2020,Terrence Ross,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,ORL,NBA,SG,69,0,27.4,4.9,12.3,0.403,2.6,7.3,0.351,2.4,5.0,0.48,0.508,2.3,2.7,0.853,0.2,3.0,3.2,1.2,1.1,0.3,1.0,1.6,14.7,1889,8.8,21.8,0.403,4.6,13.0,0.351,4.2,8.8,0.48,4.0,4.7,0.853,0.3,5.4,5.7,2.1,2.0,0.6,1.8,2.8,26.2,106,110,1889,14.0,0.548,0.596,0.217,0.7,12.3,6.3,6.8,2.0,1.1,7.0,22.8,1.1,2.0,3.0,0.077,-0.1,-0.3,-0.4,0.8,73.0,17570.0,2871.0,6468.0,0.444,807.0,2354.0,0.343,2064.0,4114.0,0.502,1282.0,1656.0,0.774,751.0,2498.0,3249.0,1747.0,599.0,396.0,937.0,1336.0,7831.0,73.0,17570.0,2949.0,6343.0,0.465,893.0,2453.0,0.364,2056.0,3890.0,0.529,1114.0,1445.0,0.771,660.0,2616.0,3276.0,1804.0,511.0,338.0,1065.0,1420.0,7905.0,33,40,34,39,-1.01,0.09,-0.93,108.5,109.5,98.6,0.256,0.364,0.506,11.5,22.3,0.198,0.535,13.2,79.1,0.176,Amway Center,529870,69,27.4,0.36,-0.41,-0.05,2.78,4254,2024,0.958941532,-0.60767205,0.351269482,3.200569453,2.505424744,0.695144709,1.759271258,-0.669460074,1.089811184,-0.077106681,69,31,38,27.4,108.0,3.0,10.8,15.9,1.1,24.5,0.3,10.3,8.6,6.5,6.9,25.3,0.088,-1.25
9,2020-21,2021,Terrence Ross,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,ORL,NBA,SG,46,2,29.3,5.5,13.4,0.412,1.9,5.7,0.337,3.6,7.7,0.469,0.485,2.6,3.0,0.87,0.3,3.1,3.4,2.3,1.0,0.5,1.6,1.9,15.6,1347,9.2,22.3,0.412,3.2,9.5,0.337,6.0,12.7,0.469,4.3,5.0,0.87,0.5,5.2,5.7,3.9,1.7,0.8,2.7,3.2,25.9,103,115,1347,13.2,0.53,0.429,0.224,1.1,11.4,6.1,13.2,1.7,1.4,9.9,24.1,-0.1,1.0,0.9,0.03,-1.4,-0.8,-2.3,-0.1,72.0,17330.0,2754.0,6423.0,0.429,784.0,2288.0,0.343,1970.0,4135.0,0.476,1196.0,1543.0,0.775,747.0,2525.0,3272.0,1571.0,496.0,318.0,924.0,1237.0,7488.0,72.0,17330.0,3039.0,6456.0,0.471,987.0,2649.0,0.373,2052.0,3807.0,0.539,1093.0,1390.0,0.786,704.0,2706.0,3410.0,1874.0,548.0,384.0,917.0,1343.0,8158.0,21,51,17,55,-9.31,0.29,-9.02,105.1,114.5,98.7,0.24,0.356,0.49,11.5,21.6,0.186,0.547,11.5,78.2,0.169,Amway Center,126463,46,29.3,0.21,-1.83,-1.62,0.55,2813,1347,-0.6611597695264946,-1.028169837291257,-1.689329606817752,0.7288705677733702,0.7288705677733702,0.0,-0.8034779127946347,-1.486562074810808,-2.290039987605442,-0.0088541354914468,46,16,30,29.3,112.0,3.1,10.4,14.7,1.0,22.6,0.5,17.1,9.9,7.0,8.3,27.2,0.075,-0.75
