,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2003-04,2004,Matt Carroll,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,POR,NBA,SG,13,0,3.7,0.4,0.8,0.455,0.1,0.2,0.333,0.3,0.6,0.5,0.5,0.2,0.2,1.0,0.0,0.2,0.2,0.1,0.0,0.0,0.2,0.2,1.0,48,5.8,12.8,0.455,1.2,3.5,0.333,4.6,9.3,0.5,2.3,2.3,1.0,0.0,3.5,3.5,1.2,0.0,0.0,2.3,3.5,15.1,100,112,48,6.2,0.547,0.273,0.182,0.0,7.4,3.7,3.4,0.0,0.0,14.4,13.7,0.0,0.0,0.0,0.011,-3.9,-2.7,-6.6,-0.1,82.0,19980.0,2898.0,6467.0,0.448,381.0,1102.0,0.346,2517.0,5365.0,0.469,1263.0,1728.0,0.731,1040.0,2376.0,3416.0,1768.0,613.0,443.0,1213.0,1554.0,7440.0,82.0,19980.0,2954.0,6567.0,0.45,417.0,1222.0,0.341,2537.0,5345.0,0.475,1219.0,1618.0,0.753,1016.0,2292.0,3308.0,1912.0,657.0,390.0,1120.0,1534.0,7544.0,41,41,37,45,-1.27,0.69,-0.58,103.7,105.1,86.2,0.267,0.17,0.478,14.4,31.2,0.195,0.482,13.3,70.0,0.186,Rose Garden Arena,684038,16,4.4,-2.66,-1.89,-4.54,-0.05,128,70,-4.476097512,-2.345941196,-6.822038707,-0.147216966,-0.147216966,0.0,-4.979871955,-3.7415706,-8.721442555,1.098339388,16,7,9,4.1,89.9,0.3,6.9,11.6,0.1,5.9,0.0,0.0,1.2,1.4,1.6,3.5,0.031,0.0
1,2003-04,2004,Matt Carroll,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,23,SAS,NBA,SG,3,0,7.3,0.7,1.7,0.4,0.0,0.0,,0.7,1.7,0.4,0.4,0.7,1.3,0.5,0.3,0.7,1.0,0.3,0.3,0.0,1.3,1.7,2.0,22,4.9,12.2,0.4,0.0,0.0,,4.9,12.2,0.4,4.9,9.8,0.5,2.4,4.9,7.3,2.4,2.4,0.0,9.8,12.2,14.7,63,96,22,-1.5,0.444,0.0,0.8,5.1,10.0,7.6,7.2,2.4,0.0,37.2,22.6,-0.1,0.0,-0.1,-0.129,-12.5,1.0,-11.5,-0.1,82.0,19755.0,2842.0,6434.0,0.442,408.0,1140.0,0.358,2434.0,5294.0,0.46,1409.0,2069.0,0.681,1029.0,2669.0,3698.0,1676.0,661.0,537.0,1203.0,1667.0,7501.0,82.0,19755.0,2613.0,6388.0,0.409,311.0,951.0,0.327,2302.0,5437.0,0.423,1372.0,1844.0,0.744,909.0,2459.0,3368.0,1419.0,635.0,380.0,1254.0,1837.0,6909.0,57,25,62,20,7.22,0.29,7.51,102.2,94.1,89.2,0.322,0.177,0.473,14.1,29.5,0.219,0.433,14.8,74.6,0.215,SBC Center,739706,16,4.4,-2.66,-1.89,-4.54,-0.05,128,70,-4.476097512,-2.345941196,-6.822038707,-0.147216966,-0.147216966,0.0,-4.979871955,-3.7415706,-8.721442555,1.098339388,16,7,9,4.1,89.9,0.3,6.9,11.6,0.1,5.9,0.0,0.0,1.2,1.4,1.6,3.5,0.031,0.0
2,2004-05,2005,Matt Carroll,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,CHA,NBA,SG,25,0,17.2,2.8,7.2,0.389,0.5,1.6,0.333,2.3,5.6,0.404,0.425,2.8,3.3,0.855,0.5,1.9,2.4,0.7,0.7,0.1,1.0,1.5,9.0,430,8.5,21.8,0.389,1.6,4.7,0.333,6.9,17.1,0.404,8.6,10.0,0.855,1.6,5.7,7.3,2.1,2.1,0.2,3.0,4.5,27.1,104,108,430,14.7,0.517,0.217,0.461,3.3,13.2,8.0,6.8,2.1,0.4,10.4,24.9,0.4,0.3,0.7,0.078,-0.9,-1.4,-2.3,0.0,82.0,19880.0,2961.0,6859.0,0.432,320.0,881.0,0.363,2641.0,5978.0,0.442,1487.0,2096.0,0.709,1083.0,2335.0,3418.0,1794.0,695.0,440.0,1192.0,1894.0,7729.0,82.0,19880.0,3015.0,6507.0,0.463,442.0,1224.0,0.361,2573.0,5283.0,0.487,1748.0,2279.0,0.767,959.0,2586.0,3545.0,1768.0,624.0,446.0,1297.0,1858.0,8220.0,18,64,24,58,-5.99,-0.16,-6.15,101.1,107.5,92.3,0.306,0.128,0.455,13.3,29.5,0.217,0.497,14.7,70.9,0.269,Charlotte Coliseum,591701,25,17.2,0.3,0.12,0.42,1.1,836,430,-0.537288427,-0.218647739,-0.755936166,0.438409161,0.438409161,0.0,-0.753652972,-0.791557179,-1.545210151,0.197642959,25,6,19,17.3,97.6,1.9,10.9,16.2,0.7,20.5,0.1,4.8,5.8,4.2,4.6,14.5,0.086,0.0
3,2005-06,2006,Matt Carroll,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,CHA,NBA,SG,78,6,16.3,2.5,6.1,0.403,0.9,2.4,0.389,1.5,3.7,0.412,0.479,1.8,2.2,0.821,0.4,1.6,2.0,0.4,0.6,0.1,0.6,1.5,7.6,1275,7.7,19.2,0.403,2.9,7.5,0.389,4.8,11.7,0.412,5.6,6.8,0.821,1.4,5.0,6.3,1.4,1.9,0.4,1.9,4.8,23.9,108,108,1275,13.9,0.54,0.389,0.353,2.9,12.0,7.1,4.6,1.9,0.7,8.0,20.8,1.6,1.0,2.6,0.097,0.0,-0.6,-0.6,0.5,82.0,19905.0,2961.0,6843.0,0.433,428.0,1261.0,0.339,2533.0,5582.0,0.454,1593.0,2186.0,0.729,990.0,2270.0,3260.0,1717.0,822.0,354.0,1167.0,1960.0,7943.0,82.0,19905.0,3065.0,6410.0,0.478,458.0,1285.0,0.356,2607.0,5125.0,0.509,1683.0,2283.0,0.737,940.0,2667.0,3607.0,1881.0,577.0,441.0,1464.0,1929.0,8271.0,26,56,30,52,-4.0,0.1,-3.9,102.5,106.7,93.4,0.319,0.184,0.464,13.0,27.1,0.233,0.514,16.5,70.7,0.263,Charlotte Bobcats Arena,671011,78,16.3,0.55,-0.16,0.39,2.91,2509,1275,0.110715548,-0.669451663,-0.558736114,1.429625868,1.429625868,0.0,-0.262447585,-1.136170612,-1.398618197,0.269842758,78,24,54,16.4,101.6,1.6,10.5,16.3,0.6,16.8,0.1,10.7,5.4,4.3,3.9,13.9,0.061,0.0
4,2006-07,2007,Matt Carroll,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,26,CHA,NBA,SG,72,47,26.1,4.0,9.1,0.433,1.5,3.7,0.416,2.4,5.4,0.445,0.517,2.6,2.9,0.904,0.5,2.4,2.9,1.3,0.7,0.1,1.0,2.4,12.1,1878,7.9,18.3,0.433,3.1,7.4,0.416,4.8,10.9,0.445,5.2,5.8,0.904,1.0,4.8,5.7,2.5,1.5,0.2,2.0,4.9,24.1,114,110,1878,14.6,0.58,0.406,0.316,2.1,11.2,6.5,8.2,1.5,0.4,8.9,19.9,3.4,1.2,4.6,0.117,0.9,-0.6,0.3,1.1,82.0,20005.0,2960.0,6643.0,0.446,457.0,1280.0,0.357,2503.0,5363.0,0.467,1568.0,2136.0,0.734,920.0,2346.0,3266.0,1836.0,638.0,369.0,1224.0,1985.0,7945.0,82.0,20005.0,2999.0,6450.0,0.465,452.0,1245.0,0.363,2547.0,5205.0,0.489,1802.0,2404.0,0.75,929.0,2562.0,3491.0,1717.0,603.0,437.0,1296.0,1786.0,8252.0,33,49,30,52,-3.74,-0.22,-3.97,103.6,107.6,92.0,0.322,0.193,0.48,13.9,26.4,0.236,0.5,14.7,71.6,0.279,Charlotte Bobcats Arena,637520,72,26.1,0.47,0.19,0.66,4.79,3641,1878,1.543273013,-1.454877046,0.088395967,2.723538439,2.723538439,0.0,1.110812871,-1.267044691,-0.15623182,0.133884126,72,28,44,26.1,106.9,2.4,9.9,15.6,0.7,18.5,0.1,5.7,8.6,6.8,7.0,22.7,0.054,0.0
5,2007-08,2008,Matt Carroll,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,CHA,NBA,SG,80,18,25.2,3.2,7.4,0.428,1.3,3.0,0.436,1.8,4.4,0.422,0.517,1.4,1.7,0.804,0.4,2.4,2.8,0.9,0.6,0.2,0.7,2.3,9.0,2016,6.5,15.3,0.428,2.7,6.2,0.436,3.8,9.0,0.422,2.9,3.6,0.804,0.9,5.0,5.9,1.9,1.2,0.5,1.5,4.8,18.7,110,112,2016,10.7,0.554,0.409,0.234,1.9,11.1,6.4,5.8,1.2,0.7,8.2,16.1,1.9,1.0,3.0,0.071,-1.2,-0.8,-2.0,0.0,82.0,19880.0,2960.0,6554.0,0.452,529.0,1443.0,0.367,2431.0,5111.0,0.476,1510.0,2115.0,0.714,892.0,2440.0,3332.0,1748.0,614.0,402.0,1204.0,1777.0,7959.0,82.0,19880.0,3115.0,6684.0,0.466,517.0,1456.0,0.355,2598.0,5228.0,0.497,1571.0,2102.0,0.747,999.0,2588.0,3587.0,1785.0,625.0,476.0,1177.0,1721.0,8318.0,32,50,29,53,-4.38,-0.11,-4.49,104.6,109.4,91.8,0.323,0.22,0.492,13.9,25.6,0.23,0.505,13.4,71.0,0.235,Charlotte Bobcats Arena,603403,80,25.2,-0.82,-0.27,-1.09,2.26,3900,2016,0.053495413,-1.248501347,-1.195005934,1.601220238,1.601220238,0.0,-0.509196909,-1.187246434,-1.696443343,0.105904317,80,32,48,25.2,106.4,2.4,9.8,15.4,0.6,15.4,0.2,9.3,8.8,7.9,7.2,22.4,0.066,0.0
6,2008-09,2009,Matt Carroll,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,CHA,NBA,SG,34,10,14.0,1.6,4.1,0.406,0.4,1.3,0.267,1.3,2.7,0.473,0.449,0.4,0.6,0.789,0.1,1.5,1.6,0.7,0.5,0.1,0.8,1.6,4.1,475,6.4,15.8,0.406,1.4,5.1,0.267,5.0,10.6,0.473,1.7,2.2,0.789,0.6,5.7,6.3,2.7,2.1,0.6,3.0,6.1,15.9,90,106,475,7.0,0.475,0.326,0.138,1.3,12.9,7.2,8.4,2.1,0.9,15.1,17.1,-0.5,0.6,0.1,0.015,-4.5,1.3,-3.3,-0.2,82.0,19930.0,2866.0,6299.0,0.455,490.0,1339.0,0.366,2376.0,4960.0,0.479,1455.0,1965.0,0.74,886.0,2366.0,3252.0,1741.0,580.0,397.0,1279.0,1754.0,7677.0,82.0,19930.0,2883.0,6349.0,0.454,558.0,1526.0,0.366,2325.0,4823.0,0.482,1457.0,1928.0,0.756,877.0,2310.0,3187.0,1604.0,626.0,488.0,1206.0,1714.0,7781.0,35,47,37,45,-1.27,0.07,-1.2,104.7,106.1,88.3,0.312,0.213,0.494,15.1,27.7,0.231,0.498,14.4,73.0,0.229,Time Warner Cable Arena,597548,55,11.2,-3.62,-0.13,-3.75,-0.35,1183,630,-5.380697996,-0.885481526,-6.266179522,-1.129640783,-1.050379477,-0.079261307,-5.391560954,-1.338143137,-6.729704091,1.302541736,55,24,31,11.2,102.3,1.1,10.8,16.1,0.4,25.0,0.1,8.2,4.4,2.8,3.5,8.7,0.045,0.0
7,2008-09,2009,Matt Carroll,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,DAL,NBA,SG,21,0,6.7,0.4,1.6,0.273,0.0,0.4,0.125,0.4,1.2,0.32,0.288,0.3,0.3,1.0,0.1,0.6,0.7,0.1,0.1,0.0,0.3,0.7,1.2,141,3.3,12.3,0.273,0.4,3.0,0.125,3.0,9.3,0.32,2.2,2.2,1.0,0.7,4.5,5.2,1.1,1.1,0.4,2.6,5.2,9.3,69,112,141,0.5,0.351,0.242,0.182,1.6,9.7,5.7,2.9,1.1,0.5,16.4,13.9,-0.3,0.1,-0.2,-0.084,-7.9,-2.0,-9.9,-0.3,82.0,19805.0,3128.0,6770.0,0.462,571.0,1632.0,0.35,2557.0,5138.0,0.498,1516.0,1852.0,0.819,909.0,2595.0,3504.0,1779.0,591.0,429.0,1043.0,1600.0,8343.0,82.0,19805.0,3071.0,6752.0,0.455,517.0,1379.0,0.375,2554.0,5373.0,0.475,1522.0,1907.0,0.798,884.0,2509.0,3393.0,1611.0,589.0,334.0,1064.0,1645.0,8181.0,50,32,47,35,1.98,-0.3,1.68,110.5,108.4,91.5,0.274,0.241,0.504,12.1,26.6,0.224,0.493,12.3,74.6,0.225,American Airlines Center,821723,55,11.2,-3.62,-0.13,-3.75,-0.35,1183,630,-5.380697996,-0.885481526,-6.266179522,-1.129640783,-1.050379477,-0.079261307,-5.391560954,-1.338143137,-6.729704091,1.302541736,55,24,31,11.2,102.3,1.1,10.8,16.1,0.4,25.0,0.1,8.2,4.4,2.8,3.5,8.7,0.045,0.0
8,2009-10,2010,Matt Carroll,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,DAL,NBA,SG,25,0,4.8,0.7,2.0,0.36,0.2,0.8,0.211,0.6,1.2,0.452,0.4,0.2,0.2,1.0,0.2,0.3,0.5,0.2,0.2,0.0,0.3,0.5,1.8,121,7.7,21.4,0.36,1.7,8.1,0.211,6.0,13.3,0.452,2.6,2.6,1.0,1.7,3.4,5.1,2.6,2.1,0.0,3.0,5.6,19.7,87,108,121,7.1,0.437,0.38,0.12,3.8,7.5,5.7,7.7,2.1,0.0,11.7,22.7,-0.2,0.1,-0.1,-0.029,-6.1,-1.5,-7.6,-0.2,82.0,19880.0,3140.0,6760.0,0.464,558.0,1498.0,0.372,2582.0,5262.0,0.491,1526.0,1870.0,0.816,834.0,2586.0,3420.0,1917.0,624.0,449.0,1059.0,1563.0,8364.0,82.0,19880.0,3107.0,6805.0,0.457,525.0,1515.0,0.347,2582.0,5290.0,0.488,1402.0,1849.0,0.758,922.0,2592.0,3514.0,1659.0,563.0,337.0,1195.0,1652.0,8141.0,55,27,49,33,2.72,-0.06,2.66,109.2,106.3,92.5,0.277,0.222,0.506,12.3,24.3,0.226,0.495,13.6,73.7,0.206,American Airlines Center,819770,25,4.8,-1.16,-0.92,-2.08,0.06,245,126,-2.539549249,-0.916108039,-3.455657288,-0.044580615,-0.060169043,0.015588429,-2.402707992,-1.835028501,-4.237736493,1.091080659,25,16,9,4.8,103.2,0.3,7.4,11.6,0.2,23.8,0.0,0.0,1.8,1.4,1.2,3.8,0.018,-0.87
9,2010-11,2011,Matt Carroll,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,CHA,NBA,SG,54,1,10.8,1.6,3.7,0.447,0.3,0.9,0.37,1.3,2.8,0.471,0.49,0.7,1.0,0.769,0.2,1.0,1.3,0.4,0.3,0.1,0.4,0.8,4.4,582,8.2,18.3,0.447,1.6,4.2,0.37,6.6,14.1,0.471,3.7,4.8,0.769,1.1,5.2,6.3,2.1,1.6,0.6,2.1,4.0,21.6,103,109,582,12.2,0.53,0.231,0.261,2.5,11.7,7.1,6.9,1.6,0.8,9.4,19.8,0.3,0.5,0.8,0.062,-1.9,-0.8,-2.7,-0.1,82.0,19805.0,2873.0,6365.0,0.451,393.0,1203.0,0.327,2480.0,5162.0,0.48,1511.0,1999.0,0.756,848.0,2444.0,3292.0,1728.0,524.0,433.0,1192.0,1637.0,7650.0,82.0,19805.0,2956.0,6492.0,0.455,577.0,1609.0,0.359,2379.0,4883.0,0.487,1489.0,1908.0,0.78,804.0,2446.0,3250.0,1777.0,601.0,496.0,1082.0,1730.0,7978.0,34,48,29,53,-4.0,-0.08,-4.08,103.4,107.8,89.6,0.314,0.189,0.482,14.1,25.7,0.237,0.5,12.9,75.2,0.229,Time Warner Cable Arena,649694,54,10.8,-1.11,0.11,-1.01,0.8,1099,582,-1.491187665,-0.920220604,-2.411408269,0.100514244,0.100514244,0.0,-1.954020642,-1.704008731,-3.658029373,-0.024068037,54,24,30,10.8,105.1,1.0,10.6,16.9,0.3,21.5,0.1,9.1,3.6,2.9,3.1,8.4,0.033,-0.37
