,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2011-12,2012,Kemba Walker,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,CHA,NBA,PG,66,25,27.2,4.3,11.6,0.366,1.0,3.4,0.305,3.2,8.2,0.392,0.411,2.5,3.2,0.789,0.5,3.1,3.5,4.4,0.9,0.3,1.8,1.2,12.1,1792,8.3,22.6,0.366,2.0,6.6,0.305,6.2,15.9,0.392,4.9,6.3,0.789,0.9,6.0,6.9,8.5,1.8,0.6,3.5,2.3,23.5,96,111,1792,14.9,0.464,0.295,0.278,1.9,13.5,7.5,30.2,1.8,0.8,12.1,25.2,-0.2,0.5,0.3,0.009,0.7,-1.4,-0.8,0.6,66.0,15890.0,2193.0,5293.0,0.414,263.0,892.0,0.295,1930.0,4401.0,0.439,1090.0,1462.0,0.746,677.0,1894.0,2571.0,1326.0,397.0,361.0,957.0,1249.0,5739.0,66.0,15890.0,2568.0,5411.0,0.475,406.0,1142.0,0.356,2162.0,4269.0,0.506,1115.0,1486.0,0.75,778.0,2193.0,2971.0,1537.0,499.0,378.0,890.0,1341.0,6657.0,7,59,7,59,-13.91,-0.05,-13.96,95.2,110.4,91.1,0.276,0.169,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206,Time Warner Cable Arena,486984,66,27.2,0.76,-1.05,-0.29,2.42,3440,1792,-1.217930331,-1.460926749,-2.67885708,0.064928276,0.064928276,0.0,-1.139301864,-1.256356759,-2.395658624,-0.164924499,66,7,59,27.2,107.4,3.1,11.9,18.9,0.9,27.6,0.3,9.6,9.6,8.1,8.8,27.2,0.038,-1.7
1,2012-13,2013,Kemba Walker,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,CHA,NBA,PG,82,82,34.9,6.4,15.2,0.423,1.3,4.0,0.322,5.1,11.1,0.459,0.466,3.6,4.5,0.798,0.7,2.7,3.5,5.7,2.0,0.4,2.4,1.9,17.7,2859,9.7,22.8,0.423,2.0,6.1,0.322,7.7,16.7,0.459,5.4,6.8,0.798,1.1,4.1,5.2,8.6,2.9,0.6,3.7,2.8,26.7,105,111,2859,18.8,0.517,0.267,0.298,2.3,9.2,5.7,31.2,2.9,0.9,12.4,25.6,3.7,1.1,4.8,0.08,2.2,-0.8,1.4,2.4,82.0,19805.0,2823.0,6649.0,0.425,469.0,1399.0,0.335,2354.0,5250.0,0.448,1546.0,2060.0,0.75,917.0,2389.0,3306.0,1587.0,591.0,479.0,1153.0,1561.0,7661.0,82.0,19805.0,3185.0,6762.0,0.471,716.0,1847.0,0.388,2469.0,4915.0,0.502,1332.0,1784.0,0.747,971.0,2645.0,3616.0,2071.0,569.0,565.0,1152.0,1746.0,8418.0,21,61,17,65,-9.23,-0.06,-9.29,101.5,111.5,91.5,0.31,0.21,0.46,13.2,25.7,0.233,0.524,13.2,71.1,0.197,Time Warner Cable Arena,628293,82,34.9,2.15,-0.1,2.05,8.75,5513,2859,1.697784737,-0.134421567,1.56336317,6.292162682,6.292162682,0.0,1.913450126,0.588690303,2.502140429,0.006283028,82,21,61,34.9,109.0,2.7,8.2,13.0,2.0,35.6,0.4,8.8,12.0,10.0,10.0,31.9,0.045,-1.19
2,2013-14,2014,Kemba Walker,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,CHA,NBA,PG,73,73,35.8,6.2,15.7,0.393,1.5,4.5,0.333,4.7,11.2,0.417,0.441,3.9,4.6,0.837,0.5,3.7,4.2,6.1,1.2,0.4,2.3,1.8,17.7,2614,8.9,22.7,0.393,2.2,6.5,0.333,6.8,16.2,0.417,5.6,6.7,0.837,0.8,5.3,6.1,8.9,1.7,0.6,3.4,2.5,25.6,103,105,2614,16.8,0.499,0.286,0.295,1.7,11.6,6.6,29.7,1.7,1.0,11.6,25.8,1.8,3.3,5.1,0.093,1.4,0.3,1.7,2.4,82.0,19905.0,2976.0,6730.0,0.442,516.0,1471.0,0.351,2460.0,5259.0,0.468,1474.0,2000.0,0.737,776.0,2724.0,3500.0,1778.0,499.0,421.0,1010.0,1493.0,7942.0,82.0,19905.0,3022.0,6838.0,0.442,665.0,1800.0,0.369,2357.0,5038.0,0.468,1251.0,1649.0,0.759,785.0,2766.0,3551.0,1718.0,514.0,415.0,1090.0,1716.0,7960.0,43,39,40,42,-0.22,-0.67,-0.89,103.6,103.8,92.4,0.297,0.219,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,Time Warner Cable Arena,636268,73,35.8,-0.4,3.14,2.74,9.5,5371,2767,1.459454203,2.285756774,3.745210978,9.073102918,8.562446176,0.510656742,1.001435568,2.245523181,3.246958749,-1.167313322,73,38,35,35.8,100.9,3.7,9.9,14.7,1.2,25.8,0.4,11.9,9.4,8.9,7.0,27.8,0.146,1.66
3,2014-15,2015,Kemba Walker,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,CHO,NBA,PG,62,58,34.2,6.1,15.8,0.385,1.4,4.5,0.304,4.7,11.3,0.418,0.429,3.8,4.6,0.827,0.6,3.0,3.5,5.1,1.4,0.5,1.6,1.5,17.3,2119,9.2,23.9,0.385,2.1,6.8,0.304,7.1,17.1,0.418,5.7,6.9,0.827,0.9,4.5,5.4,7.7,2.2,0.8,2.4,2.2,26.2,103,104,2119,17.6,0.486,0.285,0.288,1.8,9.9,5.7,27.1,2.2,1.2,8.3,25.9,1.8,2.6,4.5,0.101,1.7,0.6,2.3,2.3,82.0,19905.0,2913.0,6932.0,0.42,498.0,1566.0,0.318,2415.0,5366.0,0.45,1397.0,1867.0,0.748,820.0,2793.0,3613.0,1654.0,499.0,448.0,976.0,1494.0,7721.0,82.0,19905.0,3020.0,6863.0,0.44,649.0,1816.0,0.357,2371.0,5047.0,0.47,1292.0,1673.0,0.772,728.0,2890.0,3618.0,1815.0,502.0,440.0,1033.0,1708.0,7981.0,33,49,32,50,-3.17,-0.27,-3.44,100.1,103.5,93.0,0.269,0.226,0.456,11.2,22.1,0.202,0.487,12.0,79.3,0.188,Time Warner Cable Arena,704886,62,34.2,-1.29,0.71,-0.58,3.02,4118,2119,1.156721239,1.212726263,2.369447502,5.437460145,5.437460145,0.0,0.998699903,1.81617463,2.814874532,-1.684874383,62,21,41,34.2,104.2,3.0,8.8,12.8,1.4,35.7,0.5,13.0,8.1,8.6,7.2,27.1,0.094,-0.15
4,2015-16,2016,Kemba Walker,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,CHO,NBA,PG,81,81,35.6,7.0,16.4,0.427,2.2,6.0,0.371,4.8,10.4,0.459,0.495,4.6,5.4,0.847,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4,20.9,2885,9.9,23.1,0.427,3.2,8.5,0.371,6.7,14.6,0.459,6.5,7.6,0.847,1.0,5.2,6.2,7.3,2.2,0.7,3.0,1.9,29.4,112,105,2885,20.8,0.554,0.368,0.329,2.1,11.5,6.8,25.7,2.2,1.1,10.1,26.5,6.3,3.6,9.9,0.165,3.5,0.5,4.0,4.3,82.0,19855.0,3036.0,6922.0,0.439,873.0,2410.0,0.362,2163.0,4512.0,0.479,1534.0,1941.0,0.79,734.0,2869.0,3603.0,1778.0,595.0,438.0,1030.0,1487.0,8479.0,82.0,19855.0,3098.0,6971.0,0.444,726.0,2081.0,0.349,2372.0,4890.0,0.485,1334.0,1735.0,0.769,726.0,2936.0,3662.0,1901.0,553.0,448.0,1103.0,1670.0,8256.0,48,34,49,33,2.72,-0.36,2.36,107.1,104.3,95.7,0.28,0.348,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191,Time Warner Cable Arena,716894,81,35.6,1.28,1.43,2.7,9.93,6299,3145,3.365737996,0.664589112,4.030327108,10.73837186,10.51891705,0.21945481,3.386264869,0.677614596,4.063879465,-1.067383912,81,47,34,35.6,103.6,3.7,10.2,14.6,1.6,28.6,0.5,12.3,9.8,8.6,8.4,29.7,0.114,0.07
5,2016-17,2017,Kemba Walker,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,CHO,NBA,PG,79,79,34.7,8.1,18.3,0.444,3.0,7.6,0.399,5.1,10.7,0.476,0.527,3.8,4.5,0.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,2739,11.8,26.5,0.444,4.4,11.0,0.399,7.4,15.5,0.476,5.6,6.6,0.847,0.8,4.8,5.6,7.9,1.6,0.4,3.1,2.2,33.5,113,111,2739,21.3,0.569,0.415,0.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2,5.9,2.2,8.1,0.142,4.9,-0.8,4.1,4.2,82.0,19830.0,3093.0,7000.0,0.442,824.0,2347.0,0.351,2269.0,4653.0,0.488,1591.0,1953.0,0.815,721.0,2853.0,3574.0,1891.0,571.0,390.0,942.0,1360.0,8601.0,82.0,19830.0,3237.0,7092.0,0.456,950.0,2576.0,0.369,2287.0,4516.0,0.506,1161.0,1496.0,0.776,732.0,2909.0,3641.0,2012.0,539.0,450.0,1071.0,1631.0,8585.0,36,46,42,40,0.2,-0.26,-0.07,108.8,108.6,95.7,0.279,0.335,0.501,10.7,19.9,0.227,0.523,12.1,79.6,0.164,Spectrum Center,710643,79,34.7,1.68,0.83,2.51,8.33,5503,2739,4.986427883,0.05800475,5.044432633,10.77902175,10.77902175,0.0,4.906761301,-0.036868681,4.869892619,-1.019547936,79,36,43,34.7,107.4,3.3,9.5,13.4,1.1,21.5,0.3,7.7,8.6,8.5,9.1,28.5,0.098,-0.85
6,2017-18,2018,Kemba Walker,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,CHO,NBA,PG,80,80,34.2,7.4,17.0,0.431,2.9,7.5,0.384,4.5,9.5,0.469,0.516,4.5,5.3,0.864,0.4,2.7,3.1,5.6,1.1,0.3,2.2,1.2,22.1,2736,10.5,24.3,0.431,4.1,10.7,0.384,6.4,13.6,0.469,6.5,7.5,0.864,0.6,3.9,4.4,7.9,1.6,0.4,3.2,1.7,31.6,115,111,2736,20.6,0.572,0.441,0.308,1.2,8.7,4.9,27.4,1.6,0.7,10.4,27.4,6.5,2.0,8.6,0.15,4.7,-0.7,4.0,4.2,82.0,19780.0,3197.0,7106.0,0.45,824.0,2233.0,0.369,2373.0,4873.0,0.487,1656.0,2216.0,0.747,827.0,2901.0,3728.0,1770.0,559.0,373.0,1041.0,1409.0,8874.0,82.0,19780.0,3370.0,7199.0,0.468,926.0,2467.0,0.375,2444.0,4732.0,0.516,1187.0,1494.0,0.795,692.0,2891.0,3583.0,2029.0,542.0,404.0,1112.0,1839.0,8853.0,36,46,42,40,0.26,-0.19,0.07,109.4,109.1,98.4,0.312,0.314,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,Spectrum Center,671404,80,34.2,3.01,0.34,3.35,9.33,5661,2736,5.385715896,0.569927383,5.955643279,12.15693432,12.15693432,0.0,4.722905828,0.661806842,5.384712671,0.038072791,80,36,44,34.2,108.0,2.7,7.7,10.5,1.1,24.3,0.3,9.0,10.8,7.9,7.6,31.5,0.088,0.07
7,2018-19,2019,Kemba Walker,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,CHO,NBA,PG,82,82,34.9,8.9,20.5,0.434,3.2,8.9,0.356,5.7,11.6,0.494,0.511,4.6,5.5,0.844,0.6,3.8,4.4,5.9,1.2,0.4,2.6,1.6,25.6,2863,12.4,28.6,0.434,4.4,12.4,0.356,8.0,16.2,0.494,6.5,7.6,0.844,0.9,5.2,6.1,8.2,1.7,0.6,3.6,2.2,35.7,112,114,2863,21.7,0.558,0.434,0.267,1.9,11.9,6.8,29.4,1.7,1.0,10.1,31.5,5.5,1.9,7.4,0.123,5.2,-1.0,4.2,4.4,82.0,19830.0,3297.0,7362.0,0.448,977.0,2783.0,0.351,2320.0,4579.0,0.507,1510.0,1895.0,0.797,814.0,2778.0,3592.0,1905.0,591.0,405.0,1001.0,1550.0,9081.0,82.0,19830.0,3436.0,7311.0,0.47,992.0,2748.0,0.361,2444.0,4563.0,0.536,1307.0,1660.0,0.787,825.0,2931.0,3756.0,2133.0,565.0,492.0,1109.0,1686.0,9171.0,39,43,38,44,-1.1,-0.22,-1.32,111.4,112.5,98.7,0.257,0.378,0.514,10.9,21.7,0.205,0.538,12.1,77.1,0.179,Spectrum Center,676570,82,34.9,2.43,0.37,2.79,8.33,5928,2863,4.957099729,0.761125568,5.718225297,12.34645517,12.34645517,0.0,5.653332695,0.506688149,6.160020844,-0.190351315,82,39,43,34.9,111.8,3.8,10.6,15.3,1.2,23.9,0.4,11.8,10.0,9.4,9.8,34.9,0.07,-1.31
8,2019-20,2020,Kemba Walker,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,BOS,NBA,PG,56,56,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.5,7.4,0.476,0.526,3.7,4.3,0.864,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.4,1742,10.5,24.6,0.425,5.0,13.1,0.381,5.5,11.5,0.476,5.8,6.7,0.864,1.0,5.0,6.0,7.4,1.3,0.8,3.2,2.5,31.7,116,110,1742,20.0,0.575,0.532,0.272,2.2,11.0,6.7,24.2,1.3,1.5,10.5,27.2,3.9,2.0,5.9,0.162,4.9,-0.3,4.6,2.9,72.0,17430.0,2971.0,6448.0,0.461,905.0,2487.0,0.364,2066.0,3961.0,0.522,1336.0,1668.0,0.801,768.0,2549.0,3317.0,1655.0,595.0,406.0,995.0,1553.0,8183.0,72.0,17430.0,2764.0,6268.0,0.441,851.0,2504.0,0.34,1913.0,3764.0,0.508,1350.0,1761.0,0.767,743.0,2449.0,3192.0,1613.0,514.0,396.0,1097.0,1487.0,7729.0,48,24,50,22,6.31,-0.47,5.83,113.3,107.0,99.5,0.259,0.386,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,TD Garden,610864,56,31.1,2.46,-1.2,1.26,4.21,4908,2370,4.832860256,-0.099833896,4.73302636,9.11212313,6.51762761,2.59449552,5.716354429,0.204136663,5.920491092,-0.202465079,56,37,19,31.1,108.1,3.2,10.0,14.6,0.9,16.7,0.5,13.7,9.1,8.5,9.0,27.8,0.098,-0.22
9,2020-21,2021,Kemba Walker,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,BOS,NBA,PG,43,43,31.8,6.6,15.7,0.42,3.0,8.2,0.36,3.7,7.5,0.486,0.514,3.1,3.5,0.899,0.4,3.6,4.0,4.9,1.1,0.3,2.0,1.4,19.3,1369,10.1,24.1,0.42,4.5,12.6,0.36,5.6,11.5,0.486,4.8,5.3,0.899,0.6,5.5,6.1,7.6,1.7,0.4,3.1,2.2,29.6,114,114,1369,17.7,0.559,0.522,0.22,1.3,12.6,6.9,23.8,1.7,0.8,10.6,26.1,2.1,1.1,3.3,0.115,2.8,-0.7,2.1,1.4,72.0,17380.0,2985.0,6401.0,0.466,979.0,2618.0,0.374,2006.0,3783.0,0.53,1160.0,1496.0,0.775,765.0,2421.0,3186.0,1689.0,556.0,383.0,1012.0,1471.0,8109.0,72.0,17380.0,2875.0,6191.0,0.464,925.0,2473.0,0.374,1950.0,3718.0,0.524,1329.0,1692.0,0.785,677.0,2382.0,3059.0,1732.0,531.0,334.0,1015.0,1389.0,8004.0,36,36,39,33,1.46,-0.14,1.32,114.0,112.5,98.3,0.234,0.409,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,TD Garden,30067,43,31.8,2.17,-0.3,1.88,4.96,3023,1460,2.837256446285715,0.2268647213990225,3.064121167684737,4.309680266151258,4.664962128264139,-0.3552818621128812,3.197359788334902,0.7403621770165922,3.937721965351495,0.0457301281549368,43,22,21,31.8,111.4,3.6,11.3,16.5,1.1,24.0,0.3,9.0,10.0,9.0,7.8,27.9,0.086,-0.3
