,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Giannis Antetokounmpo,25,MIL,75.0,432.0,500,0.864,63,30.4,29.5,13.6,5.6,1.0,1.0,0.553,0.304,0.633,11.1,0.279,5.0,4.1,97
1,2,Anthony Davis,26,LAL,14.0,200.0,500,0.4,62,34.4,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,11.1,0.25,4.4,2.6,102
2,3,Rudy Gobert,27,UTA,6.0,187.0,500,0.374,68,34.3,15.1,13.5,1.5,0.8,2.0,0.693,,0.63,10.7,0.221,4.2,1.9,104
3,4,Ben Simmons,23,PHI,1.0,32.0,500,0.064,57,35.4,16.4,7.8,8.0,2.1,0.6,0.58,0.286,0.621,6.9,0.165,3.1,2.3,106
4,5,Bam Adebayo,22,MIA,2.0,17.0,500,0.034,72,33.6,15.9,10.2,5.1,1.1,1.3,0.557,0.143,0.691,8.5,0.168,3.9,2.0,106
5,6T,Patrick Beverley,31,LAC,1.0,7.0,500,0.014,51,26.3,7.9,5.2,3.6,1.1,0.5,0.431,0.388,0.66,3.6,0.128,2.0,2.5,107
6,6T,Marcus Smart,25,BOS,0.0,7.0,500,0.014,60,32.0,12.9,3.8,4.9,1.7,0.5,0.375,0.347,0.836,4.5,0.112,2.8,1.4,107
7,8T,Andre Drummond,26,TOT,1.0,5.0,500,0.01,57,33.0,17.7,15.2,2.7,1.9,1.6,0.533,0.143,0.575,4.2,0.108,3.6,1.1,103
8,8T,Kawhi Leonard,28,LAC,0.0,5.0,500,0.01,57,32.4,27.1,7.1,4.9,1.8,0.6,0.47,0.378,0.886,8.7,0.226,3.3,2.4,104
9,10,Brook Lopez,31,MIL,0.0,4.0,500,0.008,68,26.7,12.0,4.6,1.5,0.7,2.4,0.435,0.314,0.836,5.5,0.145,4.1,2.5,100
10,11,Hassan Whiteside,30,POR,0.0,3.0,500,0.006,67,30.0,15.5,13.5,1.2,0.4,2.9,0.621,0.571,0.686,8.5,0.204,3.0,0.7,107
11,12,Jarrett Allen,21,BRK,0.0,1.0,500,0.002,70,26.5,11.1,9.6,1.6,0.6,1.3,0.649,0.0,0.633,8.2,0.212,2.9,1.0,106
