,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1992-93,1993,Mookie Blaylock,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,ATL,NBA,PG,80,78,35.3,5.2,12.1,0.429,1.5,3.9,0.375,3.7,8.1,0.456,0.491,1.5,2.1,0.728,1.1,2.4,3.5,8.4,2.5,0.3,2.3,2.0,13.4,2820,7.2,16.8,0.429,2.1,5.5,0.375,5.2,11.3,0.456,2.1,2.9,0.728,1.6,3.3,4.9,11.7,3.5,0.4,3.3,2.7,18.6,113,109,2820,17.1,0.515,0.327,0.175,3.4,7.8,5.5,33.6,3.5,0.5,15.3,18.0,4.4,2.6,7.0,0.119,2.3,1.1,3.4,3.8,82.0,19830,3392,7272,0.466,382,1076,0.355,3010,6196,0.486,1648,2221,0.742,1290,2344,3634,2084,806,278,1339,1807,8814,82.0,19830,3509,7074,0.496,281,833,0.337,3228,6241,0.517,1586,2092,0.758,1080,2413,3493,2189,735,363,1363,1881,8885,43,39,39,43,-0.87,0.2,-0.67,109.3,110.2,97.6,0.305,0.148,0.493,14.0,34.8,0.227,0.516,14.6,68.5,0.224,Omni Coliseum,491229
1,1993-94,1994,Mookie Blaylock,7T,0.0,1.0,3.0,false,0.0,3.0,500.0,26,ATL,NBA,PG,81,81,36.0,5.5,13.3,0.411,1.4,4.2,0.334,4.1,9.1,0.447,0.464,1.4,2.0,0.73,1.4,3.8,5.2,9.7,2.6,0.5,2.4,1.8,13.8,2915,7.8,18.9,0.411,2.0,6.0,0.334,5.8,12.9,0.447,2.0,2.8,0.73,2.0,5.4,7.4,13.8,3.7,0.8,3.4,2.5,19.5,111,100,2915,19.6,0.487,0.316,0.147,4.4,11.6,8.0,40.4,3.7,1.0,14.6,19.8,4.9,5.3,10.2,0.168,3.4,2.3,5.7,5.7,82.0,19755,3247,7039,0.461,268,830,0.323,2979,6209,0.48,1556,2070,0.752,1250,2423,3673,2056,915,449,1252,1625,8318,82.0,19755,3163,6954,0.455,275,872,0.315,2888,6082,0.475,1285,1732,0.742,1157,2358,3515,1897,641,338,1465,1722,7886,57,25,56,26,5.27,-0.33,4.94,107.2,101.7,94.2,0.294,0.118,0.48,13.6,34.6,0.221,0.475,16.0,67.7,0.185,Omni Coliseum,537547
2,1994-95,1995,Mookie Blaylock,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,27,ATL,NBA,PG,80,80,38.4,6.4,15.0,0.425,2.5,6.9,0.359,3.9,8.0,0.482,0.508,2.0,2.7,0.729,1.5,3.5,4.9,7.7,2.5,0.3,3.0,2.1,17.2,3069,8.9,20.9,0.425,3.5,9.7,0.359,5.4,11.2,0.482,2.7,3.7,0.729,2.0,4.8,6.8,10.7,3.5,0.5,4.2,2.9,23.9,110,104,3069,19.2,0.531,0.463,0.179,4.3,10.7,7.5,34.2,3.5,0.6,15.8,22.7,4.6,4.8,9.4,0.147,3.5,1.5,5.1,5.4,82.0,19855,2986,6680,0.447,539,1580,0.341,2447,5100,0.48,1410,1948,0.724,1104,2272,3376,1757,738,412,1221,1804,7921,82.0,19855,3001,6485,0.463,420,1212,0.347,2581,5273,0.489,1394,1919,0.726,1051,2391,3442,1733,608,320,1359,1815,7816,42,40,45,37,1.28,-0.22,1.06,106.6,105.2,89.8,0.292,0.237,0.487,13.9,31.6,0.211,0.495,15.6,68.4,0.215,Omni Coliseum,504807
3,1995-96,1996,Mookie Blaylock,-1,0.0,1.0,0.0,false,0.0,0.0,500.0,28,ATL,NBA,PG,81,81,35.7,5.6,13.9,0.405,2.9,7.7,0.371,2.8,6.2,0.448,0.508,1.6,2.1,0.747,1.4,2.7,4.1,5.9,2.6,0.2,2.3,1.9,15.7,2893,8.4,20.8,0.405,4.3,11.5,0.371,4.1,9.3,0.448,2.4,3.1,0.747,2.0,4.1,6.1,8.8,3.9,0.3,3.5,2.8,23.5,113,106,2893,18.9,0.529,0.555,0.151,4.3,9.5,6.8,27.6,3.9,0.5,13.6,21.5,5.4,3.6,9.0,0.149,3.8,1.5,5.3,5.4,82.0,19730,2985,6665,0.448,566,1595,0.355,2419,5070,0.477,1523,2012,0.757,1182,2148,3330,1609,771,319,1228,1714,8059,82.0,19730,3044,6419,0.474,479,1329,0.36,2565,5090,0.504,1392,1865,0.746,1054,2292,3346,1841,580,338,1405,1807,7959,46,36,45,37,1.22,0.07,1.29,109.4,108.0,89.6,0.302,0.239,0.49,14.0,34.0,0.229,0.512,16.3,67.1,0.217,Omni Coliseum,496668
4,1996-97,1997,Mookie Blaylock,3,0.0,2.0,18.0,false,1.0,18.0,500.0,29,ATL,NBA,PG,78,78,39.2,6.4,14.9,0.432,2.8,7.7,0.366,3.6,7.1,0.505,0.528,1.7,2.2,0.753,1.5,3.8,5.3,5.9,2.7,0.3,2.4,1.8,17.4,3056,9.1,21.0,0.432,4.0,10.9,0.366,5.1,10.0,0.505,2.4,3.1,0.753,2.1,5.4,7.5,8.4,3.8,0.4,3.3,2.6,24.5,115,100,3056,20.4,0.548,0.521,0.15,4.6,11.4,8.1,27.7,3.8,0.5,13.0,21.9,7.0,5.6,12.5,0.197,4.3,2.4,6.8,6.8,82.0,19805,2812,6307,0.446,659,1834,0.359,2153,4473,0.481,1491,1955,0.763,1021,2350,3371,1557,701,427,1228,1591,7774,82.0,19805,2804,6451,0.435,485,1399,0.347,2319,5052,0.459,1235,1676,0.737,1045,2225,3270,1665,605,332,1267,1747,7328,56,26,57,25,5.44,0.08,5.52,108.5,102.3,86.8,0.31,0.291,0.498,14.6,31.5,0.236,0.472,15.0,69.2,0.191,Omni Coliseum,549414
5,1997-98,1998,Mookie Blaylock,5T,0.0,3.0,4.0,false,1.0,4.0,500.0,30,ATL,NBA,PG,70,69,38.6,5.3,13.4,0.392,1.3,4.8,0.269,4.0,8.6,0.46,0.44,1.4,1.9,0.709,1.2,3.7,4.9,6.7,2.6,0.3,2.5,1.7,13.2,2700,7.5,19.0,0.392,1.8,6.8,0.269,5.6,12.2,0.46,1.9,2.7,0.709,1.6,5.3,6.9,9.5,3.7,0.4,3.6,2.5,18.7,102,102,2700,16.1,0.462,0.356,0.143,3.7,10.9,7.4,29.5,3.7,0.5,15.0,20.1,1.9,3.7,5.6,0.099,1.2,1.5,2.6,3.2,82.0,19880,2887,6352,0.455,337,1016,0.332,2550,5336,0.478,1749,2314,0.756,1106,2417,3523,1569,653,491,1214,1671,7860,82.0,19880,2961,6698,0.442,348,1017,0.342,2613,5681,0.46,1302,1772,0.735,1081,2152,3233,1753,617,372,1118,1892,7572,50,32,51,31,3.51,0.34,3.85,108.2,104.3,87.7,0.364,0.16,0.481,14.1,33.9,0.275,0.468,13.0,69.1,0.194,Georgia Dome,610615
6,1998-99,1999,Mookie Blaylock,-1,0.0,3.0,0.0,false,1.0,0.0,500.0,31,ATL,NBA,PG,48,48,36.7,5.1,13.6,0.379,1.6,5.2,0.307,3.5,8.3,0.425,0.439,1.4,1.9,0.758,0.9,3.7,4.7,5.8,2.1,0.2,2.4,1.3,13.3,1763,7.9,20.8,0.379,2.5,8.0,0.307,5.4,12.8,0.425,2.2,2.9,0.758,1.4,5.7,7.1,8.9,3.2,0.3,3.7,1.9,20.4,100,96,1763,16.7,0.463,0.386,0.14,3.0,11.8,7.4,31.7,3.2,0.4,14.3,21.5,1.5,3.2,4.7,0.127,2.1,1.9,4.0,2.7,50.0,12075,1539,3760,0.409,197,644,0.306,1342,3116,0.431,1040,1422,0.731,676,1499,2175,782,346,260,745,987,4315,50.0,12075,1598,3873,0.413,190,634,0.3,1408,3239,0.435,784,1076,0.729,581,1369,1950,895,379,243,675,1202,4170,31,19,31,19,2.9,-0.08,2.82,100.5,97.1,85.3,0.378,0.171,0.436,14.5,33.1,0.277,0.437,13.4,72.1,0.202,Georgia Dome,331831
7,1999-00,2000,Mookie Blaylock,-1,0.0,3.0,0.0,false,0.0,0.0,500.0,32,GSW,NBA,PG,73,72,33.7,4.5,11.5,0.391,1.4,4.1,0.336,3.1,7.3,0.422,0.451,0.9,1.3,0.705,0.8,2.9,3.7,6.7,2.0,0.3,2.0,1.7,11.3,2459,6.7,17.1,0.391,2.1,6.2,0.336,4.6,11.0,0.422,1.4,1.9,0.705,1.1,4.4,5.5,10.0,3.0,0.5,2.9,2.5,16.8,103,108,2459,15.1,0.468,0.36,0.114,2.2,9.8,5.8,31.8,3.0,0.6,14.0,17.5,1.9,1.4,3.3,0.065,0.7,0.2,0.9,1.8,82.0,19755,2996,7140,0.42,345,1069,0.323,2651,6071,0.437,1497,2147,0.697,1300,2438,3738,1851,731,356,1302,2043,7834,82.0,19755,3165,6776,0.467,427,1163,0.367,2738,5613,0.488,1755,2328,0.754,1091,2691,3782,2036,690,495,1338,1887,8512,19,63,20,62,-8.27,0.64,-7.63,99.8,108.4,95.4,0.301,0.15,0.444,13.9,32.6,0.21,0.499,14.6,69.1,0.259,The Arena in Oakland,509171
8,2000-01,2001,Mookie Blaylock,-1,0.0,3.0,0.0,false,0.0,0.0,500.0,33,GSW,NBA,PG,69,59,34.1,4.6,11.6,0.396,1.1,3.3,0.324,3.5,8.3,0.424,0.441,0.8,1.1,0.697,1.0,2.9,3.9,6.7,2.4,0.3,1.9,1.9,11.0,2352,6.9,17.4,0.396,1.6,4.9,0.324,5.3,12.5,0.424,1.1,1.6,0.697,1.5,4.4,5.9,10.0,3.5,0.4,2.8,2.9,16.5,102,106,2352,15.8,0.455,0.281,0.095,3.0,9.9,6.1,32.3,3.5,0.6,13.3,17.3,1.9,1.6,3.5,0.071,0.2,1.0,1.2,1.9,82.0,19780,2937,7175,0.409,282,964,0.293,2655,6211,0.427,1428,2024,0.706,1345,2385,3730,1788,742,410,1301,1727,7584,82.0,19780,3179,6740,0.472,439,1159,0.379,2740,5581,0.491,1529,2011,0.76,1039,2693,3732,2045,722,493,1348,1765,8326,17,65,17,65,-9.05,0.94,-8.11,97.8,107.4,94.1,0.282,0.134,0.429,13.9,33.3,0.199,0.504,15.0,69.7,0.227,The Arena in Oakland,591981
9,2001-02,2002,Mookie Blaylock,-1,0.0,3.0,0.0,false,0.0,0.0,500.0,34,GSW,NBA,PG,35,0,17.1,1.4,4.2,0.342,0.4,1.2,0.357,1.0,3.0,0.337,0.394,0.1,0.2,0.5,0.2,1.3,1.5,3.3,0.7,0.1,1.1,0.6,3.4,599,4.2,12.4,0.342,1.3,3.6,0.357,3.0,8.8,0.337,0.3,0.7,0.5,0.7,3.7,4.4,9.7,2.0,0.3,3.1,1.7,10.1,92,111,599,9.2,0.398,0.288,0.055,1.4,8.1,4.7,28.2,2.0,0.5,19.8,13.1,-0.2,0.1,-0.1,-0.004,-2.1,-0.7,-2.8,-0.1,82.0,19780,2998,6989,0.429,320,994,0.322,2678,5995,0.447,1693,2344,0.722,1334,2493,3827,1706,650,523,1378,1884,8009,82.0,19780,3213,6993,0.459,404,1162,0.348,2809,5831,0.482,1622,2125,0.763,1100,2450,3550,2002,706,512,1176,1949,8452,21,61,26,56,-5.4,0.61,-4.8,102.8,108.5,94.5,0.335,0.142,0.452,14.7,35.3,0.242,0.488,12.9,69.4,0.232,The Arena in Oakland,593182
