,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Gary Payton,27,SEA,56.0,56.0,113,0.496,81,39.0,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,0.174,5.6,1.8,102
1,2,Scottie Pippen,30,CHI,15.0,15.0,113,0.133,77,36.7,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,12.3,0.209,5.3,1.7,101
2,3,Dikembe Mutombo,29,DEN,11.0,11.0,113,0.097,74,36.7,11.0,11.8,1.5,0.5,4.5,0.499,0.0,0.695,7.6,0.134,5.0,2.8,101
3,4,David Robinson,30,SAS,9.0,9.0,113,0.08,82,36.8,25.0,12.2,3.0,1.4,3.3,0.516,0.333,0.761,18.3,0.29,7.2,3.1,96
4,5,Hakeem Olajuwon,33,HOU,8.0,8.0,113,0.071,72,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,9.7,0.166,5.2,2.0,101
5,6,Michael Jordan,32,CHI,7.0,7.0,113,0.062,82,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317,6.2,2.2,100
6,7,Dennis Rodman,34,CHI,4.0,4.0,113,0.035,64,32.6,5.5,14.9,2.5,0.6,0.4,0.48,0.111,0.528,6.2,0.143,4.6,0.3,98
7,8T,Horace Grant,30,ORL,1.0,1.0,113,0.009,63,36.3,13.4,9.2,2.7,1.0,1.2,0.513,0.167,0.734,8.0,0.169,3.1,0.6,105
8,8T,Bo Outlaw,24,LAC,1.0,1.0,113,0.009,80,12.3,3.6,2.5,0.6,0.6,1.1,0.575,0.0,0.444,2.3,0.111,1.2,2.4,106
9,8T,Latrell Sprewell,25,GSW,1.0,1.0,113,0.009,78,39.3,18.9,4.9,4.2,1.6,0.6,0.428,0.323,0.789,5.5,0.086,1.9,-0.6,111
