,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1993-94,1994,Chris Mills,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,CLE,NBA,SF,79,18,25.6,3.6,8.6,.419,0.5,1.5,.311,3.1,7.0,.443,.448,1.7,2.2,.778,1.7,3.4,5.1,1.6,0.7,0.6,1.1,2.9,9.4,2022,7.4,17.5,0.419,1.0,3.2,0.311,6.4,14.4,0.443,3.5,4.6,0.778,3.5,6.9,10.4,3.3,1.4,1.3,2.3,6.0,19.2,105,105,2022,12.6,0.492,0.18,0.26,7.7,15.4,11.5,9.8,1.4,1.6,10.6,18.7,1.7,2.4,4.0,0.096,-1.3,-0.1,-1.4,0.3,82.0,19855,3133,6731,0.465,294,813,0.362,2839,5918,0.48,1736,2254,0.77,1090,2353,3443,2049,705,426,1136,1701,8296,82.0,19855,3131,6741,0.464,258,729,0.354,2873,6012,0.478,1446,1967,0.735,1059,2335,3394,2006,628,461,1293,1797,7966,47,35,52,30,4.02,-0.39,3.64,109.4,105.1,91.7,0.335,0.121,0.487,12.8,31.8,0.258,0.484,14.5,69.0,0.215,Coliseum at Richfield,753686
1,1994-95,1995,Chris Mills,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,CLE,NBA,SF,80,79,35.2,4.5,10.7,.420,1.2,3.0,.392,3.3,7.7,.431,.475,2.2,2.7,.817,1.2,3.3,4.6,1.9,0.7,0.4,1.5,3.0,12.3,2814,7.2,17.2,0.42,1.9,4.8,0.392,5.3,12.4,0.431,3.5,4.3,0.817,2.0,5.4,7.4,3.1,1.2,0.7,2.4,4.9,19.8,106,107,2814,11.6,0.52,0.281,0.249,4.3,12.2,8.1,9.7,1.2,1.0,11.2,18.2,2.0,3.4,5.4,0.091,-1.3,0.2,-1.1,0.7,82.0,19930,2756,6255,0.441,398,1033,0.385,2358,5222,0.452,1507,1982,0.76,1045,2237,3282,1672,630,349,1176,1694,7417,82.0,19930,2803,6083,0.461,396,1108,0.357,2407,4975,0.484,1364,1801,0.757,851,2246,3097,1812,556,433,1213,1770,7366,43,39,43,39,0.62,-0.07,0.55,105.3,104.6,84.8,0.317,0.165,0.472,14.2,31.8,0.241,0.493,15.0,72.4,0.224,Gund Arena,833850
2,1995-96,1996,Chris Mills,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,CLE,NBA,SF,80,80,38.3,5.7,12.1,.468,1.0,2.6,.376,4.7,9.5,.493,.508,2.7,3.3,.829,1.4,4.1,5.5,2.4,0.9,0.7,1.5,3.0,15.1,3060,8.7,18.5,0.468,1.5,4.0,0.376,7.1,14.5,0.493,4.2,5.0,0.829,2.1,6.3,8.4,3.6,1.4,1.0,2.3,4.6,23.0,112,108,3060,15.2,0.554,0.216,0.271,4.8,14.6,9.6,11.2,1.4,1.5,10.0,19.9,4.7,3.1,7.8,0.122,0.1,-0.2,-0.1,1.5,82.0,19830,2761,5998,0.46,596,1582,0.377,2165,4416,0.49,1355,1775,0.763,867,2055,2922,1818,674,340,1073,1685,7473,82.0,19830,2674,5787,0.462,513,1322,0.388,2161,4465,0.484,1400,1844,0.759,874,2167,3041,1818,504,336,1282,1667,7261,47,35,49,33,2.59,-0.09,2.49,109.9,106.7,82.3,0.296,0.264,0.51,13.7,28.6,0.226,0.506,16.3,70.2,0.242,Gund Arena,730095
3,1996-97,1997,Chris Mills,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,CLE,NBA,SF,80,79,39.6,5.1,11.2,.453,1.1,2.8,.391,4.0,8.4,.473,.501,2.2,2.6,.842,1.5,4.7,6.2,2.5,1.1,0.5,1.5,2.8,13.4,3167,7.4,16.3,0.453,1.6,4.0,0.391,5.8,12.3,0.473,3.2,3.8,0.842,2.2,6.9,9.1,3.6,1.6,0.7,2.2,4.1,19.6,111,103,3167,14.1,0.544,0.246,0.234,4.8,15.8,10.2,11.3,1.6,1.2,10.9,17.5,4.1,4.7,8.9,0.134,0.3,0.8,1.1,2.5,82.0,19855,2704,5972,0.453,483,1284,0.376,2221,4688,0.474,1282,1773,0.723,909,2159,3068,1714,655,315,1188,1882,7173,82.0,19855,2488,5638,0.441,459,1230,0.373,2029,4408,0.46,1587,2138,0.742,845,2186,3031,1647,549,350,1331,1748,7022,42,40,47,35,1.84,0.47,2.32,104.6,102.4,82.9,0.297,0.215,0.493,15.0,29.4,0.215,0.482,16.8,71.9,0.281,Gund Arena,692684
4,1997-98,1998,Chris Mills,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,NYK,NBA,SF,80,29,27.3,3.7,8.4,.433,0.5,1.7,.292,3.2,6.7,.468,.462,1.9,2.4,.804,1.5,3.6,5.1,1.7,0.6,0.4,1.3,2.7,9.7,2183,7.3,16.8,0.433,1.0,3.4,0.292,6.3,13.4,0.468,3.8,4.7,0.804,3.0,7.2,10.2,3.3,1.1,0.7,2.7,5.4,19.3,104,101,2183,12.7,0.512,0.203,0.28,6.6,15.9,11.2,10.4,1.1,1.1,12.4,18.6,1.9,3.3,5.1,0.113,-1.0,0.6,-0.4,0.9,82.0,19830,2864,6413,0.447,382,1139,0.335,2482,5274,0.471,1399,1812,0.772,978,2434,3412,1787,634,278,1247,1947,7509,82.0,19830,2624,6130,0.428,331,1045,0.317,2293,5085,0.451,1728,2304,0.75,854,2341,3195,1585,653,313,1234,1705,7307,43,39,49,33,2.46,0.28,2.74,103.0,100.3,88.2,0.283,0.178,0.476,14.7,29.5,0.218,0.455,14.7,74.0,0.282,Madison Square Garden (IV),810283
5,1998-99,1999,Chris Mills,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,GSW,NBA,SF,47,24,29.7,4.0,9.6,.411,0.7,2.4,.278,3.3,7.2,.456,.446,1.7,2.0,.823,1.0,4.0,5.0,2.2,0.8,0.3,1.2,2.7,10.3,1395,7.2,17.5,0.411,1.2,4.5,0.278,6.0,13.1,0.456,3.1,3.7,0.823,1.9,7.3,9.2,4.0,1.5,0.5,2.2,4.8,18.7,104,102,1395,13.0,0.488,0.254,0.212,3.7,14.8,9.1,12.7,1.5,0.7,10.5,17.6,1.5,1.5,3.0,0.104,-0.6,0.6,0.0,0.7,50.0,12125,1730,4173,0.415,162,565,0.287,1568,3608,0.435,794,1175,0.676,816,1559,2375,1037,414,221,768,1270,4416,50.0,12125,1617,3848,0.42,193,575,0.336,1424,3273,0.435,1114,1531,0.728,656,1503,2159,1023,400,304,735,1027,4541,21,29,20,30,-2.5,-0.13,-2.63,98.4,101.1,88.9,0.282,0.135,0.434,14.1,35.2,0.19,0.445,14.0,70.4,0.29,The Arena in Oakland,335837
6,1999-00,2000,Chris Mills,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,GSW,NBA,SF,20,11,32.5,6.2,14.6,.421,0.4,1.5,.267,5.8,13.1,.439,.435,3.4,4.2,.810,2.3,3.9,6.2,2.4,0.9,0.2,1.3,3.0,16.1,649,9.5,22.6,0.421,0.6,2.3,0.267,8.9,20.3,0.439,5.3,6.5,0.81,3.6,6.0,9.5,3.6,1.4,0.3,1.9,4.7,25.0,107,110,649,16.2,0.489,0.103,0.288,7.0,13.3,10.0,12.7,1.4,0.4,7.1,23.0,1.0,0.2,1.2,0.09,1.5,-1.0,0.5,0.4,82.0,19755,2996,7140,0.42,345,1069,0.323,2651,6071,0.437,1497,2147,0.697,1300,2438,3738,1851,731,356,1302,2043,7834,82.0,19755,3165,6776,0.467,427,1163,0.367,2738,5613,0.488,1755,2328,0.754,1091,2691,3782,2036,690,495,1338,1887,8512,19,63,20,62,-8.27,0.64,-7.63,99.8,108.4,95.4,0.301,0.15,0.444,13.9,32.6,0.21,0.499,14.6,69.1,0.259,The Arena in Oakland,509171
7,2000-01,2001,Chris Mills,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,31,GSW,NBA,SF,15,8,32.9,4.7,12.7,.372,0.5,1.7,.280,4.3,11.1,.386,.390,2.1,2.4,.861,1.6,4.6,6.2,1.2,0.6,0.3,1.3,2.9,12.0,493,7.3,19.8,0.372,0.7,2.6,0.28,6.6,17.2,0.386,3.2,3.7,0.861,2.5,7.1,9.6,1.9,0.9,0.5,2.1,4.4,18.6,94,109,493,9.6,0.435,0.131,0.188,4.8,16.2,10.0,6.1,0.9,0.7,8.8,19.4,0.0,0.1,0.1,0.007,-2.8,-1.6,-4.4,-0.3,82.0,19780,2937,7175,0.409,282,964,0.293,2655,6211,0.427,1428,2024,0.706,1345,2385,3730,1788,742,410,1301,1727,7584,82.0,19780,3179,6740,0.472,439,1159,0.379,2740,5581,0.491,1529,2011,0.76,1039,2693,3732,2045,722,493,1348,1765,8326,17,65,17,65,-9.05,0.94,-8.11,97.8,107.4,94.1,0.282,0.134,0.429,13.9,33.3,0.199,0.504,15.0,69.7,0.227,The Arena in Oakland,591981
8,2001-02,2002,Chris Mills,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,32,GSW,NBA,SF,66,0,18.7,2.7,6.5,.417,0.7,1.9,.378,2.0,4.5,.433,.473,1.3,1.6,.794,0.8,2.1,2.9,1.1,0.5,0.2,0.8,1.8,7.4,1237,7.3,17.5,0.417,2.0,5.2,0.378,5.3,12.3,0.433,3.5,4.4,0.794,2.1,5.7,7.8,3.0,1.3,0.5,2.3,4.9,20.1,108,111,1237,12.3,0.516,0.297,0.251,4.3,12.4,8.2,9.5,1.3,0.7,10.6,18.0,1.6,0.3,1.9,0.074,-0.3,-1.2,-1.5,0.1,82.0,19780,2998,6989,0.429,320,994,0.322,2678,5995,0.447,1693,2344,0.722,1334,2493,3827,1706,650,523,1378,1884,8009,82.0,19780,3213,6993,0.459,404,1162,0.348,2809,5831,0.482,1622,2125,0.763,1100,2450,3550,2002,706,512,1176,1949,8452,21,61,26,56,-5.4,0.61,-4.8,102.8,108.5,94.5,0.335,0.142,0.452,14.7,35.3,0.242,0.488,12.9,69.4,0.232,The Arena in Oakland,593182
9,2002-03,2003,Chris Mills,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,33,GSW,NBA,PF,21,0,12.5,1.9,5.0,.368,0.3,1.2,.280,1.5,3.9,.395,.401,0.8,0.9,.889,0.9,1.5,2.4,1.0,0.3,0.1,0.5,1.4,4.8,262,7.6,20.6,0.368,1.4,4.9,0.28,6.2,15.7,0.395,3.1,3.5,0.889,3.7,6.0,9.7,4.3,1.4,0.6,1.9,5.6,19.6,104,111,262,12.7,0.443,0.236,0.17,7.8,12.5,10.2,13.4,1.4,0.8,8.1,20.1,0.3,0.0,0.3,0.059,-0.4,-1.8,-2.1,0.0,82.0,19755,3061,6941,0.441,425,1235,0.344,2636,5706,0.462,1853,2382,0.778,1284,2546,3830,1712,594,506,1295,1786,8400,82.0,19755,3240,7175,0.452,438,1177,0.372,2802,5998,0.467,1575,2084,0.756,1204,2388,3592,1934,710,491,1121,1936,8493,38,44,38,44,-1.13,0.54,-0.6,108.3,109.5,94.2,0.343,0.178,0.472,13.9,35.0,0.267,0.482,12.2,67.9,0.22,The Arena in Oakland,634935
