,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2001-02,2002,Joe Johnson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,20,BOS,NBA,SG,48,33,20.9,2.7,6.2,.439,0.5,1.8,.273,2.2,4.3,.510,.480,0.4,0.5,.769,0.8,2.1,2.9,1.5,0.7,0.2,0.6,1.2,6.3,1003,6.7,15.3,0.439,1.2,4.6,0.273,5.5,10.8,0.51,1.0,1.3,0.769,2.1,5.1,7.2,3.8,1.7,0.5,1.4,3.1,15.7,105,104,1003,12.0,0.494,0.297,0.088,4.3,11.1,7.6,12.5,1.7,0.7,8.3,15.2,0.8,1.2,2.0,0.094,-1.2,0.7,-0.4,0.4,82.0,19830,2852,6731,0.424,699,1946,0.359,2153,4785,0.45,1498,1960,0.764,891,2570,3461,1722,793,292,1114,1776,7901,82.0,19830,2797,6579,0.425,514,1511,0.34,2283,5068,0.45,1612,2091,0.771,954,2807,3761,1802,623,476,1335,1734,7720,49,33,48,34,2.21,-0.46,1.75,103.4,101.0,92.5,0.291,0.289,0.476,12.8,24.1,0.223,0.464,15.1,72.9,0.245,FleetCenter,659751
1,2001-02,2002,Joe Johnson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,20,PHO,NBA,SG,29,27,31.5,4.2,9.9,.420,0.5,1.4,.333,3.7,8.5,.435,.444,0.7,0.9,.778,1.2,2.9,4.1,3.6,0.9,0.4,1.5,1.9,9.6,913,7.0,16.6,0.42,0.8,2.4,0.333,6.2,14.1,0.435,1.2,1.6,0.778,2.0,4.8,6.8,6.0,1.5,0.6,2.5,3.2,15.9,99,107,913,11.5,0.462,0.146,0.094,4.3,10.4,7.3,17.7,1.5,0.9,12.5,16.8,0.3,0.7,1.0,0.054,-1.2,0.2,-1.0,0.2,82.0,19830,3097,6934,0.447,358,1096,0.327,2739,5838,0.469,1250,1630,0.767,1072,2430,3502,1838,668,401,1205,1785,7802,82.0,19830,2957,6663,0.444,433,1208,0.358,2524,5455,0.463,1511,2013,0.751,1030,2493,3523,1821,685,475,1265,1521,7858,36,46,39,43,-0.68,0.39,-0.3,103.3,104.0,91.4,0.235,0.158,0.472,13.6,30.1,0.18,0.476,14.4,70.2,0.227,America West Arena,668939
2,2002-03,2003,Joe Johnson,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,21,PHO,NBA,SG,82,34,27.5,3.9,9.7,.397,0.9,2.5,.366,2.9,7.2,.408,.444,1.2,1.5,.774,0.7,2.5,3.2,2.6,0.8,0.2,1.3,1.7,9.8,2255,7.3,18.5,0.397,1.7,4.8,0.366,5.6,13.7,0.408,2.2,2.9,0.774,1.3,4.8,6.1,4.9,1.4,0.4,2.5,3.3,18.7,99,105,2255,11.6,0.472,0.258,0.156,2.8,10.5,6.6,15.1,1.4,0.6,11.3,19.1,0.9,1.9,2.8,0.06,-1.0,-0.4,-1.4,0.4,82.0,19805,3005,6776,0.443,394,1149,0.343,2611,5627,0.464,1430,1928,0.742,1049,2440,3489,1719,665,404,1208,1801,7834,82.0,19805,2913,6658,0.438,436,1361,0.32,2477,5297,0.468,1479,1932,0.766,1031,2487,3518,1824,639,453,1309,1763,7741,44,38,44,38,1.13,0.43,1.57,103.7,102.5,91.5,0.285,0.17,0.473,13.7,29.7,0.211,0.47,14.8,70.3,0.222,America West Arena,666559
3,2003-04,2004,Joe Johnson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,22,PHO,NBA,SG,82,77,40.6,6.8,15.7,.430,1.0,3.3,.305,5.8,12.4,.463,.462,2.1,2.8,.750,1.0,3.7,4.7,4.4,1.1,0.3,2.4,2.2,16.7,3331,8.6,20.1,0.43,1.3,4.2,0.305,7.3,15.9,0.463,2.7,3.6,0.75,1.2,4.7,6.0,5.6,1.4,0.4,3.1,2.8,21.3,100,109,3331,13.9,0.491,0.211,0.18,2.7,10.5,6.6,18.6,1.4,0.6,12.5,21.6,2.2,1.1,3.3,0.047,0.1,-1.4,-1.3,0.6,82.0,19730,2958,6671,0.443,415,1202,0.345,2543,5469,0.465,1392,1865,0.746,924,2406,3330,1586,734,383,1249,1862,7723,82.0,19730,2975,6671,0.446,479,1374,0.349,2496,5297,0.471,1601,2092,0.765,1038,2550,3588,1760,649,431,1304,1589,8030,29,53,30,52,-3.74,0.8,-2.94,101.4,105.5,92.6,0.28,0.18,0.475,14.3,26.6,0.209,0.482,14.7,69.9,0.24,America West Arena,670385
4,2004-05,2005,Joe Johnson,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,23,PHO,NBA,SF,82,82,39.5,6.6,14.4,.461,2.2,4.5,.478,4.5,9.9,.454,.536,1.6,2.2,.750,1.5,3.7,5.1,3.5,1.0,0.3,1.8,2.0,17.1,3240,8.4,18.2,0.461,2.7,5.7,0.478,5.7,12.5,0.454,2.1,2.8,0.75,1.9,4.7,6.5,4.5,1.2,0.4,2.3,2.6,21.6,113,110,3240,15.1,0.556,0.314,0.153,4.2,9.5,7.0,13.2,1.2,0.5,10.5,19.0,5.8,1.7,7.6,0.112,1.5,-0.6,0.9,2.4,82.0,19780,3351,7018,0.477,796,2026,0.393,2555,4992,0.512,1556,2080,0.748,967,2652,3619,1927,572,453,1125,1563,9054,82.0,19780,3328,7485,0.445,494,1476,0.335,2834,6009,0.472,1320,1775,0.744,1233,2550,3783,1741,627,342,1131,1750,8470,62,20,59,23,7.12,-0.04,7.08,114.5,107.1,95.9,0.296,0.289,0.534,12.4,27.5,0.222,0.478,12.0,68.3,0.176,America West Arena,726066
5,2005-06,2006,Joe Johnson,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,ATL,NBA,SG,82,82,40.7,7.7,17.0,.453,1.6,4.4,.356,6.1,12.6,.487,.499,3.2,4.0,.791,1.2,2.9,4.1,6.5,1.3,0.4,3.3,2.3,20.2,3340,10.0,22.2,0.453,2.0,5.7,0.356,8.0,16.4,0.487,4.1,5.2,0.791,1.6,3.8,5.3,8.5,1.6,0.5,4.2,3.0,26.3,109,114,3340,17.9,0.537,0.258,0.237,3.4,8.8,6.0,29.1,1.6,0.7,14.8,24.6,5.5,0.4,6.0,0.086,3.1,-2.1,1.0,2.5,82.0,19880,2946,6496,0.454,424,1154,0.367,2522,5342,0.472,1656,2207,0.75,1069,2232,3301,1625,587,394,1284,2054,7972,82.0,19880,3075,6433,0.478,444,1205,0.368,2631,5228,0.503,1768,2372,0.745,981,2335,3316,1689,597,422,1227,1855,8362,26,56,28,54,-4.76,0.07,-4.69,106.4,111.6,90.4,0.34,0.178,0.486,14.7,31.4,0.255,0.513,14.1,69.5,0.275,Philips Arena,617817
6,2006-07,2007,Joe Johnson,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,25,ATL,NBA,SG,57,57,41.4,9.4,20.0,.471,2.1,5.5,.381,7.3,14.5,.504,.523,4.1,5.5,.748,0.9,3.3,4.2,4.4,1.1,0.2,3.1,2.0,25.0,2359,12.1,25.8,0.471,2.7,7.1,0.381,9.4,18.7,0.504,5.3,7.1,0.748,1.2,4.2,5.4,5.6,1.4,0.2,4.0,2.6,32.2,109,111,2359,19.5,0.558,0.274,0.276,2.7,9.6,6.1,21.8,1.4,0.4,12.1,28.3,4.1,1.0,5.1,0.105,4.2,-1.7,2.5,2.7,82.0,19880,2831,6372,0.444,341,1038,0.329,2490,5334,0.467,1677,2203,0.761,976,2312,3288,1573,609,446,1306,1970,7680,82.0,19880,2953,6335,0.466,465,1236,0.376,2488,5099,0.488,1699,2315,0.734,948,2370,3318,1732,597,421,1247,1853,8070,30,52,27,55,-4.76,-0.1,-4.86,103.0,108.3,90.0,0.346,0.163,0.471,15.1,29.2,0.263,0.503,14.5,70.9,0.268,Philips Arena,639375
7,2007-08,2008,Joe Johnson,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,26,ATL,NBA,SG,82,82,40.8,7.9,18.3,.432,2.1,5.4,.381,5.8,12.8,.454,.489,3.9,4.6,.834,1.0,3.5,4.5,5.8,1.0,0.2,2.7,2.0,21.7,3343,10.2,23.6,0.432,2.7,7.0,0.381,7.5,16.6,0.454,5.0,6.0,0.834,1.3,4.5,5.8,7.5,1.3,0.3,3.5,2.6,28.1,109,112,3343,17.3,0.535,0.297,0.253,2.9,9.9,6.4,25.5,1.3,0.4,11.8,25.6,5.3,1.7,7.0,0.1,2.7,-1.5,1.2,2.7,82.0,19855,2975,6552,0.454,384,1078,0.356,2591,5474,0.473,1720,2227,0.772,1008,2454,3462,1804,600,448,1223,1673,8054,82.0,19855,3115,6733,0.463,512,1413,0.362,2603,5320,0.489,1461,1943,0.752,968,2386,3354,1825,615,421,1123,1793,8203,37,45,36,46,-1.82,-0.41,-2.23,106.9,108.9,91.1,0.34,0.165,0.483,14.0,29.7,0.263,0.501,12.9,71.7,0.217,Philips Arena,667518
8,2008-09,2009,Joe Johnson,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,27,ATL,NBA,SG,79,79,39.5,7.8,18.0,.437,1.9,5.2,.360,6.0,12.7,.468,.489,3.8,4.6,.826,0.8,3.6,4.4,5.8,1.1,0.2,2.5,2.2,21.4,3124,10.6,24.3,0.437,2.6,7.1,0.36,8.1,17.2,0.468,5.1,6.2,0.826,1.1,4.8,5.9,7.8,1.4,0.3,3.3,3.0,28.9,110,110,3124,18.2,0.534,0.292,0.255,2.4,10.5,6.5,26.4,1.4,0.5,11.0,26.6,5.1,2.5,7.6,0.116,2.7,-0.9,1.8,3.1,82.0,19705,2956,6451,0.458,597,1633,0.366,2359,4818,0.49,1537,2085,0.737,870,2412,3282,1657,603,376,1048,1610,8046,82.0,19705,3002,6609,0.454,528,1496,0.353,2474,5113,0.484,1385,1800,0.769,955,2481,3436,1705,530,354,1121,1681,7917,47,35,46,36,1.57,0.13,1.7,109.3,107.6,89.6,0.323,0.253,0.504,12.5,26.0,0.238,0.494,13.2,71.6,0.21,Philips Arena,686688
9,2009-10,2010,Joe Johnson,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,28,ATL,NBA,SG,76,76,38.0,8.4,18.2,.458,1.7,4.6,.369,6.7,13.6,.488,.505,2.9,3.5,.818,1.0,3.7,4.6,4.9,1.1,0.1,1.9,1.9,21.3,2886,11.7,25.6,0.458,2.4,6.5,0.369,9.3,19.1,0.488,4.1,5.0,0.818,1.4,5.1,6.5,6.8,1.5,0.1,2.7,2.7,29.9,112,109,2886,19.3,0.538,0.253,0.194,3.0,11.4,7.1,22.0,1.5,0.1,8.8,26.3,6.0,2.4,8.4,0.14,3.4,-0.7,2.7,3.4,82.0,19855,3181,6801,0.468,524,1455,0.36,2657,5346,0.497,1452,1914,0.759,969,2451,3420,1789,592,413,980,1632,8338,82.0,19855,3048,6623,0.46,480,1392,0.345,2568,5231,0.491,1380,1852,0.745,922,2471,3393,1719,506,359,1135,1582,7956,53,29,54,28,4.66,-0.22,4.44,111.9,106.7,90.1,0.281,0.214,0.506,11.4,28.2,0.213,0.496,13.2,72.7,0.208,Philips Arena,678375
